Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Latvia,Latvia,LV,218.07,261.25,68.79,45.28,entsoe.eu,false,
2023-01-01 01:00:00,Latvia,Latvia,LV,222.27,267.75,68.18,44.32,entsoe.eu,false,
2023-01-01 02:00:00,Latvia,Latvia,LV,229.15,272.99,67.48,42.64,entsoe.eu,false,
2023-01-01 03:00:00,Latvia,Latvia,LV,234.44,280.51,66.61,41.45,entsoe.eu,false,
2023-01-01 04:00:00,Latvia,Latvia,LV,234.92,281.92,66.22,41.37,entsoe.eu,false,
2023-01-01 05:00:00,Latvia,Latvia,LV,235.78,283.24,65.97,41.3,entsoe.eu,false,
2023-01-01 06:00:00,Latvia,Latvia,LV,150.9,203.82,76.97,65.29,entsoe.eu,false,
2023-01-01 07:00:00,Latvia,Latvia,LV,147.47,201.12,80.08,72.53,entsoe.eu,false,
2023-01-01 08:00:00,Latvia,Latvia,LV,177.43,231.36,77.87,71.34,entsoe.eu,false,
2023-01-01 09:00:00,Latvia,Latvia,LV,36.22,60.1,95.06,93.88,entsoe.eu,false,
2023-01-01 10:00:00,Latvia,Latvia,LV,40.81,64.75,94.54,92.09,entsoe.eu,false,
2023-01-01 11:00:00,Latvia,Latvia,LV,54.02,80.35,92.95,89.22,entsoe.eu,false,
2023-01-01 12:00:00,Latvia,Latvia,LV,56.96,83.66,92.63,88.65,entsoe.eu,false,
2023-01-01 13:00:00,Latvia,Latvia,LV,48.54,74.06,93.52,91.68,entsoe.eu,false,
2023-01-01 14:00:00,Latvia,Latvia,LV,36.16,59.58,95.06,95.02,entsoe.eu,false,
2023-01-01 15:00:00,Latvia,Latvia,LV,42.17,66.02,94.46,91.51,entsoe.eu,false,
2023-01-01 16:00:00,Latvia,Latvia,LV,65.5,87.95,91.17,85.9,entsoe.eu,false,
2023-01-01 17:00:00,Latvia,Latvia,LV,63.02,86.01,91.54,86.42,entsoe.eu,false,
2023-01-01 18:00:00,Latvia,Latvia,LV,69.68,92.7,90.62,84.59,entsoe.eu,false,
2023-01-01 19:00:00,Latvia,Latvia,LV,71.4,93.73,90.32,84.24,entsoe.eu,false,
2023-01-01 20:00:00,Latvia,Latvia,LV,26.56,46.27,96.42,95.06,entsoe.eu,false,
2023-01-01 21:00:00,Latvia,Latvia,LV,41.07,62.6,94.77,92.37,entsoe.eu,false,
2023-01-01 22:00:00,Latvia,Latvia,LV,46.25,71.57,93.87,91.97,entsoe.eu,false,
2023-01-01 23:00:00,Latvia,Latvia,LV,130.54,161.74,82.68,71.78,entsoe.eu,false,
2023-01-02 00:00:00,Latvia,Latvia,LV,147.69,178.87,80.5,68.55,entsoe.eu,false,
2023-01-02 01:00:00,Latvia,Latvia,LV,158.2,189.75,79.11,66.27,entsoe.eu,false,
2023-01-02 02:00:00,Latvia,Latvia,LV,146.44,179.28,80.96,70.78,entsoe.eu,false,
2023-01-02 03:00:00,Latvia,Latvia,LV,87.96,121.76,89.26,86.48,entsoe.eu,false,
2023-01-02 04:00:00,Latvia,Latvia,LV,141.1,173.76,82.01,74.73,entsoe.eu,false,
2023-01-02 05:00:00,Latvia,Latvia,LV,178.17,209.24,77.15,66.5,entsoe.eu,false,
2023-01-02 06:00:00,Latvia,Latvia,LV,167.23,196.13,78.95,70.43,entsoe.eu,false,
2023-01-02 07:00:00,Latvia,Latvia,LV,159.89,189.02,80.27,73.75,entsoe.eu,false,
2023-01-02 08:00:00,Latvia,Latvia,LV,95.17,125.8,88.91,86.62,entsoe.eu,false,
2023-01-02 09:00:00,Latvia,Latvia,LV,52.04,79.38,93.78,92.58,entsoe.eu,false,
2023-01-02 10:00:00,Latvia,Latvia,LV,26.6,49.92,96.43,96.01,entsoe.eu,false,
2023-01-02 11:00:00,Latvia,Latvia,LV,17.09,38.05,97.47,97.41,entsoe.eu,false,
2023-01-02 12:00:00,Latvia,Latvia,LV,23.14,45.57,96.79,96.2,entsoe.eu,false,
2023-01-02 13:00:00,Latvia,Latvia,LV,10.04,30.0,98.31,98.27,entsoe.eu,false,
2023-01-02 14:00:00,Latvia,Latvia,LV,9.39,29.16,98.37,98.37,entsoe.eu,false,
2023-01-02 15:00:00,Latvia,Latvia,LV,83.73,107.91,89.79,87.64,entsoe.eu,false,
2023-01-02 16:00:00,Latvia,Latvia,LV,74.36,97.97,90.92,88.91,entsoe.eu,false,
2023-01-02 17:00:00,Latvia,Latvia,LV,19.97,40.47,97.23,97.1,entsoe.eu,false,
2023-01-02 18:00:00,Latvia,Latvia,LV,9.17,28.74,98.41,98.41,entsoe.eu,false,
2023-01-02 19:00:00,Latvia,Latvia,LV,9.68,29.37,98.32,98.32,entsoe.eu,false,
2023-01-02 20:00:00,Latvia,Latvia,LV,37.65,61.08,95.07,94.43,entsoe.eu,false,
2023-01-02 21:00:00,Latvia,Latvia,LV,12.83,34.35,97.77,97.77,entsoe.eu,false,
2023-01-02 22:00:00,Latvia,Latvia,LV,50.03,75.24,93.71,92.79,entsoe.eu,false,
2023-01-02 23:00:00,Latvia,Latvia,LV,14.54,36.13,97.47,97.47,entsoe.eu,false,
2023-01-03 00:00:00,Latvia,Latvia,LV,14.54,35.58,97.47,97.47,entsoe.eu,false,
