Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Moldova,Moldova,MD,347.47,463.86,6.09,6.09,moldelectrica.md,false,
2023-01-01 01:00:00,Moldova,Moldova,MD,346.82,463.02,6.26,6.26,moldelectrica.md,false,
2023-01-01 02:00:00,Moldova,Moldova,MD,346.29,462.69,6.41,6.41,moldelectrica.md,false,
2023-01-01 03:00:00,Moldova,Moldova,MD,347.08,463.23,6.19,6.19,moldelectrica.md,false,
2023-01-01 04:00:00,Moldova,Moldova,MD,348.15,464.29,5.9,5.9,moldelectrica.md,false,
2023-01-01 05:00:00,Moldova,Moldova,MD,349.07,465.08,5.66,5.66,moldelectrica.md,false,
2023-01-01 06:00:00,Moldova,Moldova,MD,351.3,467.73,5.06,5.06,moldelectrica.md,false,
2023-01-01 07:00:00,Moldova,Moldova,MD,352.7,469.56,4.68,4.68,moldelectrica.md,false,
2023-01-01 08:00:00,Moldova,Moldova,MD,353.5,470.5,4.46,4.46,moldelectrica.md,false,
2023-01-01 09:00:00,Moldova,Moldova,MD,353.8,470.71,4.38,4.38,moldelectrica.md,false,
2023-01-01 10:00:00,Moldova,Moldova,MD,353.82,470.66,4.37,4.37,moldelectrica.md,false,
2023-01-01 11:00:00,Moldova,Moldova,MD,353.27,470.24,4.52,4.52,moldelectrica.md,false,
2023-01-01 12:00:00,Moldova,Moldova,MD,352.93,470.05,4.61,4.61,moldelectrica.md,false,
2023-01-01 13:00:00,Moldova,Moldova,MD,353.31,470.35,4.51,4.51,moldelectrica.md,false,
2023-01-01 14:00:00,Moldova,Moldova,MD,354.13,471.32,4.29,4.29,moldelectrica.md,false,
2023-01-01 15:00:00,Moldova,Moldova,MD,354.86,472.44,4.09,4.09,moldelectrica.md,false,
2023-01-01 16:00:00,Moldova,Moldova,MD,354.89,472.47,4.08,4.08,moldelectrica.md,false,
2023-01-01 17:00:00,Moldova,Moldova,MD,354.89,472.35,4.08,4.08,moldelectrica.md,false,
2023-01-01 18:00:00,Moldova,Moldova,MD,354.55,471.88,4.18,4.18,moldelectrica.md,false,
2023-01-01 19:00:00,Moldova,Moldova,MD,353.67,470.7,4.41,4.41,moldelectrica.md,false,
2023-01-01 20:00:00,Moldova,Moldova,MD,351.0,468.19,5.13,5.13,moldelectrica.md,false,
2023-01-01 21:00:00,Moldova,Moldova,MD,349.16,466.08,5.63,5.63,moldelectrica.md,false,
2023-01-01 22:00:00,Moldova,Moldova,MD,348.41,464.78,5.84,5.84,moldelectrica.md,false,
2023-01-01 23:00:00,Moldova,Moldova,MD,342.31,454.3,8.71,6.63,moldelectrica.md,false,
2023-01-02 00:00:00,Moldova,Moldova,MD,346.64,462.9,6.31,6.31,moldelectrica.md,false,
2023-01-02 01:00:00,Moldova,Moldova,MD,347.43,463.43,6.1,6.1,moldelectrica.md,false,
2023-01-02 02:00:00,Moldova,Moldova,MD,347.46,463.47,6.09,6.09,moldelectrica.md,false,
2023-01-02 03:00:00,Moldova,Moldova,MD,347.71,463.77,6.02,6.02,moldelectrica.md,false,
2023-01-02 04:00:00,Moldova,Moldova,MD,350.54,466.99,5.26,5.26,moldelectrica.md,false,
2023-01-02 05:00:00,Moldova,Moldova,MD,353.51,470.21,4.46,4.46,moldelectrica.md,false,
2023-01-02 06:00:00,Moldova,Moldova,MD,355.78,472.9,3.84,3.84,moldelectrica.md,false,
2023-01-02 07:00:00,Moldova,Moldova,MD,357.04,474.37,3.5,3.5,moldelectrica.md,false,
2023-01-02 08:00:00,Moldova,Moldova,MD,357.65,475.0,3.34,3.34,moldelectrica.md,false,
2023-01-02 09:00:00,Moldova,Moldova,MD,357.5,474.82,3.38,3.38,moldelectrica.md,false,
2023-01-02 10:00:00,Moldova,Moldova,MD,357.24,474.5,3.45,3.45,moldelectrica.md,false,
2023-01-02 11:00:00,Moldova,Moldova,MD,356.98,474.18,3.52,3.52,moldelectrica.md,false,
2023-01-02 12:00:00,Moldova,Moldova,MD,357.05,474.27,3.5,3.5,moldelectrica.md,false,
2023-01-02 13:00:00,Moldova,Moldova,MD,357.14,474.45,3.47,3.47,moldelectrica.md,false,
2023-01-02 14:00:00,Moldova,Moldova,MD,357.19,474.69,3.46,3.46,moldelectrica.md,false,
2023-01-02 15:00:00,Moldova,Moldova,MD,356.96,474.77,3.52,3.52,moldelectrica.md,false,
2023-01-02 16:00:00,Moldova,Moldova,MD,356.84,474.57,3.56,3.56,moldelectrica.md,false,
2023-01-02 17:00:00,Moldova,Moldova,MD,355.99,473.85,3.79,3.79,moldelectrica.md,false,
2023-01-02 18:00:00,Moldova,Moldova,MD,355.4,473.13,3.95,3.95,moldelectrica.md,false,
2023-01-02 19:00:00,Moldova,Moldova,MD,355.0,472.15,4.15,4.1,moldelectrica.md,false,
2023-01-02 20:00:00,Moldova,Moldova,MD,352.74,470.05,4.67,4.67,moldelectrica.md,false,
2023-01-02 21:00:00,Moldova,Moldova,MD,349.37,465.32,6.22,5.87,moldelectrica.md,false,
2023-01-02 22:00:00,Moldova,Moldova,MD,348.45,465.34,5.83,5.83,moldelectrica.md,false,
2023-01-02 23:00:00,Moldova,Moldova,MD,346.74,463.38,6.29,6.29,moldelectrica.md,false,
2023-01-03 00:00:00,Moldova,Moldova,MD,345.99,462.53,6.49,6.49,moldelectrica.md,false,
2023-01-03 01:00:00,Moldova,Moldova,MD,345.96,462.49,6.5,6.5,moldelectrica.md,false,
2023-01-03 02:00:00,Moldova,Moldova,MD,346.01,462.55,6.48,6.48,moldelectrica.md,false,
2023-01-03 03:00:00,Moldova,Moldova,MD,347.79,464.23,6.0,6.0,moldelectrica.md,false,
2023-01-03 04:00:00,Moldova,Moldova,MD,350.42,467.29,5.29,5.29,moldelectrica.md,false,
2023-01-03 05:00:00,Moldova,Moldova,MD,352.88,470.07,4.63,4.63,moldelectrica.md,false,
2023-01-03 06:00:00,Moldova,Moldova,MD,355.09,471.8,4.32,4.15,moldelectrica.md,false,
2023-01-03 07:00:00,Moldova,Moldova,MD,355.81,472.67,4.19,3.99,moldelectrica.md,false,
2023-01-03 08:00:00,Moldova,Moldova,MD,357.4,475.23,3.4,3.4,moldelectrica.md,false,
2023-01-03 09:00:00,Moldova,Moldova,MD,356.7,474.24,3.59,3.59,moldelectrica.md,false,
2023-01-03 10:00:00,Moldova,Moldova,MD,356.69,474.15,3.6,3.6,moldelectrica.md,false,
2023-01-03 11:00:00,Moldova,Moldova,MD,356.45,473.93,3.66,3.66,moldelectrica.md,false,
2023-01-03 12:00:00,Moldova,Moldova,MD,356.76,474.17,3.58,3.58,moldelectrica.md,false,
2023-01-03 13:00:00,Moldova,Moldova,MD,356.68,474.21,3.6,3.6,moldelectrica.md,false,
2023-01-03 14:00:00,Moldova,Moldova,MD,357.0,474.59,3.51,3.51,moldelectrica.md,false,
