Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Montenegro,Montenegro,ME,376.69,414.08,50.23,45.85,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 01:00:00,Montenegro,Montenegro,ME,399.87,438.53,47.19,43.6,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 02:00:00,Montenegro,Montenegro,ME,401.95,440.51,46.89,43.97,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 03:00:00,Montenegro,Montenegro,ME,356.9,391.19,52.97,52.41,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 04:00:00,Montenegro,Montenegro,ME,361.67,396.2,52.37,51.77,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 05:00:00,Montenegro,Montenegro,ME,340.44,373.63,55.17,54.49,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 06:00:00,Montenegro,Montenegro,ME,287.02,316.6,62.21,61.82,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 07:00:00,Montenegro,Montenegro,ME,287.92,317.59,62.06,61.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 08:00:00,Montenegro,Montenegro,ME,298.38,328.9,60.66,60.1,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 09:00:00,Montenegro,Montenegro,ME,300.81,332.17,60.28,58.64,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 10:00:00,Montenegro,Montenegro,ME,286.67,317.04,62.14,60.89,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 11:00:00,Montenegro,Montenegro,ME,300.72,332.24,60.25,58.4,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 12:00:00,Montenegro,Montenegro,ME,324.04,357.25,57.14,54.96,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 13:00:00,Montenegro,Montenegro,ME,339.64,374.67,55.01,50.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 14:00:00,Montenegro,Montenegro,ME,327.86,362.56,56.56,50.85,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 15:00:00,Montenegro,Montenegro,ME,315.28,349.3,58.22,51.86,Electricity Maps Estimation,false,
2023-01-01 16:00:00,Montenegro,Montenegro,ME,312.98,344.64,59.25,53.21,Electricity Maps Estimation,false,
2023-01-01 17:00:00,Montenegro,Montenegro,ME,315.7,347.27,58.91,53.66,Electricity Maps Estimation,false,
2023-01-01 18:00:00,Montenegro,Montenegro,ME,319.93,351.03,58.73,53.06,Electricity Maps Estimation,false,
2023-01-01 19:00:00,Montenegro,Montenegro,ME,325.25,357.36,57.72,52.48,Electricity Maps Estimation,false,
2023-01-01 20:00:00,Montenegro,Montenegro,ME,329.24,361.78,57.07,52.16,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 21:00:00,Montenegro,Montenegro,ME,333.04,366.08,56.41,51.98,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 22:00:00,Montenegro,Montenegro,ME,318.03,352.52,57.76,51.2,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 23:00:00,Montenegro,Montenegro,ME,380.15,418.27,49.78,42.96,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 00:00:00,Montenegro,Montenegro,ME,368.17,405.01,51.29,45.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 01:00:00,Montenegro,Montenegro,ME,389.74,427.47,48.43,45.17,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 02:00:00,Montenegro,Montenegro,ME,400.5,438.97,46.99,43.89,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 03:00:00,Montenegro,Montenegro,ME,391.9,430.24,48.08,43.74,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 04:00:00,Montenegro,Montenegro,ME,387.16,424.84,48.78,44.85,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 05:00:00,Montenegro,Montenegro,ME,343.67,378.16,54.56,51.66,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 06:00:00,Montenegro,Montenegro,ME,322.13,354.53,57.49,56.4,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 07:00:00,Montenegro,Montenegro,ME,299.66,330.21,60.5,60.15,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 08:00:00,Montenegro,Montenegro,ME,295.48,325.87,61.07,60.64,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 09:00:00,Montenegro,Montenegro,ME,306.95,338.47,59.71,59.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Montenegro,Montenegro,ME,291.51,322.01,61.75,61.15,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
