Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,North Macedonia,North Macedonia,MK,458.45,524.66,37.19,23.58,entsoe.eu,false,
2023-01-01 01:00:00,North Macedonia,North Macedonia,MK,473.42,542.93,34.49,20.08,entsoe.eu,false,
2023-01-01 02:00:00,North Macedonia,North Macedonia,MK,508.5,582.16,29.37,15.26,entsoe.eu,false,
2023-01-01 03:00:00,North Macedonia,North Macedonia,MK,532.06,607.51,25.85,13.35,entsoe.eu,false,
2023-01-01 04:00:00,North Macedonia,North Macedonia,MK,541.02,617.08,24.79,11.68,entsoe.eu,false,
2023-01-01 05:00:00,North Macedonia,North Macedonia,MK,529.62,610.42,22.13,10.2,entsoe.eu,false,
2023-01-01 06:00:00,North Macedonia,North Macedonia,MK,505.83,591.18,20.94,10.85,entsoe.eu,false,
2023-01-01 07:00:00,North Macedonia,North Macedonia,MK,467.8,549.05,26.85,15.67,entsoe.eu,false,
2023-01-01 08:00:00,North Macedonia,North Macedonia,MK,464.97,544.53,28.07,15.92,entsoe.eu,false,
2023-01-01 09:00:00,North Macedonia,North Macedonia,MK,436.53,511.79,32.95,19.68,entsoe.eu,false,
2023-01-01 10:00:00,North Macedonia,North Macedonia,MK,418.98,491.93,35.66,22.5,entsoe.eu,false,
2023-01-01 11:00:00,North Macedonia,North Macedonia,MK,420.57,494.3,35.14,22.17,entsoe.eu,false,
2023-01-01 12:00:00,North Macedonia,North Macedonia,MK,424.7,499.11,34.32,21.76,entsoe.eu,false,
2023-01-01 13:00:00,North Macedonia,North Macedonia,MK,441.43,516.08,32.14,20.4,entsoe.eu,false,
2023-01-01 14:00:00,North Macedonia,North Macedonia,MK,442.12,516.73,31.56,21.72,entsoe.eu,false,
2023-01-01 15:00:00,North Macedonia,North Macedonia,MK,426.57,499.03,33.95,24.74,entsoe.eu,false,
2023-01-01 16:00:00,North Macedonia,North Macedonia,MK,419.16,489.91,35.26,26.33,entsoe.eu,false,
2023-01-01 17:00:00,North Macedonia,North Macedonia,MK,424.59,496.19,34.54,25.48,entsoe.eu,false,
2023-01-01 18:00:00,North Macedonia,North Macedonia,MK,435.4,508.04,32.92,23.55,entsoe.eu,false,
2023-01-01 19:00:00,North Macedonia,North Macedonia,MK,439.5,512.75,32.42,22.48,entsoe.eu,false,
2023-01-01 20:00:00,North Macedonia,North Macedonia,MK,444.68,518.79,31.71,21.59,entsoe.eu,false,
2023-01-01 21:00:00,North Macedonia,North Macedonia,MK,443.59,517.17,32.48,21.47,entsoe.eu,false,
2023-01-01 22:00:00,North Macedonia,North Macedonia,MK,452.22,526.26,32.19,19.56,entsoe.eu,false,
2023-01-01 23:00:00,North Macedonia,North Macedonia,MK,453.02,518.39,38.24,23.26,entsoe.eu,false,
2023-01-02 00:00:00,North Macedonia,North Macedonia,MK,478.43,546.62,34.84,19.27,entsoe.eu,false,
2023-01-02 01:00:00,North Macedonia,North Macedonia,MK,507.41,579.01,30.63,14.95,entsoe.eu,false,
2023-01-02 02:00:00,North Macedonia,North Macedonia,MK,539.51,614.46,26.29,10.35,entsoe.eu,false,
2023-01-02 03:00:00,North Macedonia,North Macedonia,MK,573.36,651.62,21.75,5.93,entsoe.eu,false,
2023-01-02 04:00:00,North Macedonia,North Macedonia,MK,550.18,626.42,24.98,9.06,entsoe.eu,false,
2023-01-02 05:00:00,North Macedonia,North Macedonia,MK,478.39,553.28,30.57,17.13,entsoe.eu,false,
2023-01-02 06:00:00,North Macedonia,North Macedonia,MK,494.75,576.78,24.49,13.2,entsoe.eu,false,
2023-01-02 07:00:00,North Macedonia,North Macedonia,MK,461.28,538.98,29.82,19.11,entsoe.eu,false,
2023-01-02 08:00:00,North Macedonia,North Macedonia,MK,429.19,503.11,34.54,24.05,entsoe.eu,false,
2023-01-02 09:00:00,North Macedonia,North Macedonia,MK,405.4,475.98,38.33,27.85,entsoe.eu,false,
2023-01-02 10:00:00,North Macedonia,North Macedonia,MK,391.6,461.7,39.94,29.43,entsoe.eu,false,
2023-01-02 11:00:00,North Macedonia,North Macedonia,MK,394.59,464.75,39.38,29.16,entsoe.eu,false,
2023-01-02 12:00:00,North Macedonia,North Macedonia,MK,398.09,468.73,38.7,28.68,entsoe.eu,false,
2023-01-02 13:00:00,North Macedonia,North Macedonia,MK,401.04,472.69,37.43,28.4,entsoe.eu,false,
2023-01-02 14:00:00,North Macedonia,North Macedonia,MK,405.32,476.49,36.96,28.85,entsoe.eu,false,
2023-01-02 15:00:00,North Macedonia,North Macedonia,MK,388.12,457.26,39.14,32.74,entsoe.eu,false,
2023-01-02 16:00:00,North Macedonia,North Macedonia,MK,373.65,440.95,41.7,34.52,entsoe.eu,false,
2023-01-02 17:00:00,North Macedonia,North Macedonia,MK,371.91,439.02,42.12,34.56,entsoe.eu,false,
2023-01-02 18:00:00,North Macedonia,North Macedonia,MK,378.31,445.99,41.44,33.52,entsoe.eu,false,
2023-01-02 19:00:00,North Macedonia,North Macedonia,MK,391.22,460.46,39.71,31.42,entsoe.eu,false,
2023-01-02 20:00:00,North Macedonia,North Macedonia,MK,392.55,461.53,39.58,30.46,entsoe.eu,false,
2023-01-02 21:00:00,North Macedonia,North Macedonia,MK,375.82,442.4,41.89,32.45,entsoe.eu,false,
2023-01-02 22:00:00,North Macedonia,North Macedonia,MK,378.25,443.79,42.88,32.21,entsoe.eu,false,
2023-01-02 23:00:00,North Macedonia,North Macedonia,MK,404.85,466.23,44.41,31.33,entsoe.eu,false,
2023-01-03 00:00:00,North Macedonia,North Macedonia,MK,431.0,495.53,40.79,27.12,entsoe.eu,false,
2023-01-03 01:00:00,North Macedonia,North Macedonia,MK,462.93,531.21,36.42,22.41,entsoe.eu,false,
2023-01-03 02:00:00,North Macedonia,North Macedonia,MK,491.51,562.96,32.54,18.44,entsoe.eu,false,
2023-01-03 03:00:00,North Macedonia,North Macedonia,MK,505.91,578.57,30.6,17.34,entsoe.eu,false,
2023-01-03 04:00:00,North Macedonia,North Macedonia,MK,503.59,575.6,30.79,19.19,entsoe.eu,false,
2023-01-03 05:00:00,North Macedonia,North Macedonia,MK,486.61,561.91,29.3,20.0,entsoe.eu,false,
2023-01-03 06:00:00,North Macedonia,North Macedonia,MK,470.97,549.99,27.75,19.61,entsoe.eu,false,
2023-01-03 07:00:00,North Macedonia,North Macedonia,MK,435.13,510.57,32.88,25.31,entsoe.eu,false,
2023-01-03 08:00:00,North Macedonia,North Macedonia,MK,424.34,497.73,35.18,26.83,entsoe.eu,false,
2023-01-03 09:00:00,North Macedonia,North Macedonia,MK,406.15,477.52,38.09,29.57,entsoe.eu,false,
2023-01-03 10:00:00,North Macedonia,North Macedonia,MK,407.13,478.05,38.37,29.22,entsoe.eu,false,
2023-01-03 11:00:00,North Macedonia,North Macedonia,MK,407.45,478.94,38.02,28.88,entsoe.eu,false,
2023-01-03 12:00:00,North Macedonia,North Macedonia,MK,410.83,482.29,37.41,28.76,entsoe.eu,false,
