Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Malaysia,Peninsula,MY-WM,553.4,633.4,8.0,8.0,www.gso.org.my,false,
2023-01-01 01:00:00,Malaysia,Peninsula,MY-WM,539.8,619.61,9.85,9.85,www.gso.org.my,false,
2023-01-01 02:00:00,Malaysia,Peninsula,MY-WM,526.37,606.5,11.24,11.24,www.gso.org.my,false,
2023-01-01 03:00:00,Malaysia,Peninsula,MY-WM,521.55,601.62,11.87,11.87,www.gso.org.my,false,
2023-01-01 04:00:00,Malaysia,Peninsula,MY-WM,520.33,599.72,12.52,12.52,www.gso.org.my,false,
2023-01-01 05:00:00,Malaysia,Peninsula,MY-WM,515.81,595.31,12.96,12.96,www.gso.org.my,false,
2023-01-01 06:00:00,Malaysia,Peninsula,MY-WM,512.1,592.57,12.66,12.66,www.gso.org.my,false,
2023-01-01 07:00:00,Malaysia,Peninsula,MY-WM,508.07,589.26,12.43,12.43,www.gso.org.my,false,
2023-01-01 08:00:00,Malaysia,Peninsula,MY-WM,508.02,590.18,11.6,11.6,www.gso.org.my,false,
2023-01-01 09:00:00,Malaysia,Peninsula,MY-WM,513.99,596.93,10.23,10.23,www.gso.org.my,false,
2023-01-01 10:00:00,Malaysia,Peninsula,MY-WM,533.23,617.86,6.87,6.87,www.gso.org.my,false,
2023-01-01 11:00:00,Malaysia,Peninsula,MY-WM,520.87,602.94,9.68,9.68,www.gso.org.my,false,
2023-01-01 12:00:00,Malaysia,Peninsula,MY-WM,512.73,593.47,11.36,11.36,www.gso.org.my,false,
2023-01-01 13:00:00,Malaysia,Peninsula,MY-WM,518.52,599.79,10.44,10.44,www.gso.org.my,false,
2023-01-01 14:00:00,Malaysia,Peninsula,MY-WM,523.53,605.3,9.62,9.62,www.gso.org.my,false,
2023-01-01 15:00:00,Malaysia,Peninsula,MY-WM,519.3,601.94,9.48,9.48,www.gso.org.my,false,
2023-01-01 16:00:00,Malaysia,Peninsula,MY-WM,524.87,607.36,9.02,9.02,www.gso.org.my,false,
2023-01-01 17:00:00,Malaysia,Peninsula,MY-WM,539.18,623.55,6.38,6.38,www.gso.org.my,false,
2023-01-01 18:00:00,Malaysia,Peninsula,MY-WM,539.82,624.78,5.93,5.93,www.gso.org.my,false,
2023-01-01 19:00:00,Malaysia,Peninsula,MY-WM,547.37,631.21,5.88,5.88,www.gso.org.my,false,
2023-01-01 20:00:00,Malaysia,Peninsula,MY-WM,550.02,633.12,6.1,6.1,www.gso.org.my,false,
2023-01-01 21:00:00,Malaysia,Peninsula,MY-WM,551.48,634.41,6.07,6.07,www.gso.org.my,false,
2023-01-01 22:00:00,Malaysia,Peninsula,MY-WM,548.09,631.32,6.21,6.21,www.gso.org.my,false,
2023-01-01 23:00:00,Malaysia,Peninsula,MY-WM,551.95,634.52,6.27,6.27,www.gso.org.my,false,
2023-01-02 00:00:00,Malaysia,Peninsula,MY-WM,544.56,627.31,7.04,7.04,www.gso.org.my,false,
2023-01-02 01:00:00,Malaysia,Peninsula,MY-WM,535.53,617.8,8.5,8.5,www.gso.org.my,false,
2023-01-02 02:00:00,Malaysia,Peninsula,MY-WM,532.35,613.94,9.42,9.42,www.gso.org.my,false,
2023-01-02 03:00:00,Malaysia,Peninsula,MY-WM,523.08,604.47,10.71,10.71,www.gso.org.my,false,
2023-01-02 04:00:00,Malaysia,Peninsula,MY-WM,522.46,603.17,11.28,11.28,www.gso.org.my,false,
2023-01-02 05:00:00,Malaysia,Peninsula,MY-WM,518.39,599.04,11.81,11.81,www.gso.org.my,false,
2023-01-02 06:00:00,Malaysia,Peninsula,MY-WM,515.32,597.54,11.0,11.0,www.gso.org.my,false,
2023-01-02 07:00:00,Malaysia,Peninsula,MY-WM,518.42,600.53,10.58,10.58,www.gso.org.my,false,
2023-01-02 08:00:00,Malaysia,Peninsula,MY-WM,521.87,603.69,10.23,10.23,www.gso.org.my,false,
2023-01-02 09:00:00,Malaysia,Peninsula,MY-WM,531.32,613.92,8.59,8.59,www.gso.org.my,false,
2023-01-02 10:00:00,Malaysia,Peninsula,MY-WM,541.89,625.42,6.72,6.72,www.gso.org.my,false,
2023-01-02 11:00:00,Malaysia,Peninsula,MY-WM,527.39,609.08,9.29,9.29,www.gso.org.my,false,
2023-01-02 12:00:00,Malaysia,Peninsula,MY-WM,526.08,607.49,9.6,9.6,www.gso.org.my,false,
2023-01-02 13:00:00,Malaysia,Peninsula,MY-WM,528.34,609.98,9.23,9.23,www.gso.org.my,false,
2023-01-02 14:00:00,Malaysia,Peninsula,MY-WM,540.9,623.93,7.07,7.07,www.gso.org.my,false,
2023-01-02 15:00:00,Malaysia,Peninsula,MY-WM,547.5,631.54,5.74,5.74,www.gso.org.my,false,
2023-01-02 16:00:00,Malaysia,Peninsula,MY-WM,542.67,627.77,5.55,5.55,www.gso.org.my,false,
2023-01-02 17:00:00,Malaysia,Peninsula,MY-WM,536.04,622.28,5.49,5.49,www.gso.org.my,false,
2023-01-02 18:00:00,Malaysia,Peninsula,MY-WM,532.46,618.65,5.86,5.86,www.gso.org.my,false,
2023-01-02 19:00:00,Malaysia,Peninsula,MY-WM,537.42,622.69,5.97,5.97,www.gso.org.my,false,
2023-01-02 20:00:00,Malaysia,Peninsula,MY-WM,545.88,629.91,5.94,5.94,www.gso.org.my,false,
2023-01-02 21:00:00,Malaysia,Peninsula,MY-WM,546.1,630.04,5.98,5.98,www.gso.org.my,false,
2023-01-02 22:00:00,Malaysia,Peninsula,MY-WM,543.78,628.33,5.8,5.8,www.gso.org.my,false,
2023-01-02 23:00:00,Malaysia,Peninsula,MY-WM,556.1,639.76,5.15,5.15,www.gso.org.my,false,
2023-01-03 00:00:00,Malaysia,Peninsula,MY-WM,550.01,633.56,5.96,5.96,www.gso.org.my,false,
2023-01-03 01:00:00,Malaysia,Peninsula,MY-WM,553.69,635.68,6.78,6.78,www.gso.org.my,false,
2023-01-03 02:00:00,Malaysia,Peninsula,MY-WM,546.46,628.37,7.68,7.68,www.gso.org.my,false,
2023-01-03 03:00:00,Malaysia,Peninsula,MY-WM,538.61,620.38,8.71,8.71,www.gso.org.my,false,
2023-01-03 04:00:00,Malaysia,Peninsula,MY-WM,535.73,615.84,10.21,10.21,www.gso.org.my,false,
2023-01-03 05:00:00,Malaysia,Peninsula,MY-WM,533.27,613.9,10.13,10.13,www.gso.org.my,false,
2023-01-03 06:00:00,Malaysia,Peninsula,MY-WM,519.55,600.69,11.07,11.07,www.gso.org.my,false,
2023-01-03 07:00:00,Malaysia,Peninsula,MY-WM,513.11,592.15,12.94,12.94,www.gso.org.my,false,
2023-01-03 08:00:00,Malaysia,Peninsula,MY-WM,516.01,594.82,12.64,12.64,www.gso.org.my,false,
2023-01-03 09:00:00,Malaysia,Peninsula,MY-WM,503.2,582.29,13.65,13.65,www.gso.org.my,false,
2023-01-03 10:00:00,Malaysia,Peninsula,MY-WM,537.75,619.84,8.05,8.05,www.gso.org.my,false,
2023-01-03 11:00:00,Malaysia,Peninsula,MY-WM,521.69,602.81,10.26,10.26,www.gso.org.my,false,
2023-01-03 12:00:00,Malaysia,Peninsula,MY-WM,511.83,591.76,12.01,12.01,www.gso.org.my,false,
2023-01-03 13:00:00,Malaysia,Peninsula,MY-WM,525.51,606.62,9.87,9.87,www.gso.org.my,false,
2023-01-03 14:00:00,Malaysia,Peninsula,MY-WM,542.53,625.84,6.72,6.72,www.gso.org.my,false,
2023-01-03 15:00:00,Malaysia,Peninsula,MY-WM,554.45,637.75,5.52,5.52,www.gso.org.my,false,
2023-01-03 16:00:00,Malaysia,Peninsula,MY-WM,567.52,650.53,4.41,4.41,www.gso.org.my,false,
2023-01-03 17:00:00,Malaysia,Peninsula,MY-WM,569.08,651.65,4.55,4.55,www.gso.org.my,false,
2023-01-03 18:00:00,Malaysia,Peninsula,MY-WM,574.98,656.47,4.68,4.68,www.gso.org.my,false,
2023-01-03 19:00:00,Malaysia,Peninsula,MY-WM,581.22,661.57,4.79,4.79,www.gso.org.my,false,
2023-01-03 20:00:00,Malaysia,Peninsula,MY-WM,584.49,664.21,4.88,4.88,www.gso.org.my,false,
2023-01-03 21:00:00,Malaysia,Peninsula,MY-WM,585.61,665.71,4.5,4.5,www.gso.org.my,false,
2023-01-03 22:00:00,Malaysia,Peninsula,MY-WM,578.13,659.56,4.39,4.39,www.gso.org.my,false,
2023-01-03 23:00:00,Malaysia,Peninsula,MY-WM,578.53,660.11,4.25,4.25,www.gso.org.my,false,
2023-01-04 00:00:00,Malaysia,Peninsula,MY-WM,559.25,642.25,5.36,5.36,www.gso.org.my,false,
2023-01-04 01:00:00,Malaysia,Peninsula,MY-WM,548.64,631.91,6.45,6.45,www.gso.org.my,false,
2023-01-04 02:00:00,Malaysia,Peninsula,MY-WM,530.09,612.19,9.28,9.28,www.gso.org.my,false,
2023-01-04 03:00:00,Malaysia,Peninsula,MY-WM,527.71,610.88,8.92,8.92,www.gso.org.my,false,
2023-01-04 04:00:00,Malaysia,Peninsula,MY-WM,533.41,616.3,8.54,8.54,www.gso.org.my,false,
