Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Malaysia,Malaysia,MY,474.2,548.8,20.64,20.64,,false,
2023-01-01 01:00:00,Malaysia,Malaysia,MY,462.45,536.7,22.26,22.26,,false,
2023-01-01 02:00:00,Malaysia,Malaysia,MY,457.76,532.88,22.33,22.33,,false,
2023-01-01 03:00:00,Malaysia,Malaysia,MY,450.52,525.05,23.52,23.52,,false,
2023-01-01 04:00:00,Malaysia,Malaysia,MY,449.33,523.29,24.07,24.07,,false,
2023-01-01 05:00:00,Malaysia,Malaysia,MY,448.14,522.22,24.15,24.15,,false,
2023-01-01 06:00:00,Malaysia,Malaysia,MY,447.57,522.2,23.76,23.76,,false,
2023-01-01 07:00:00,Malaysia,Malaysia,MY,446.14,521.34,23.41,23.41,,false,
2023-01-01 08:00:00,Malaysia,Malaysia,MY,442.9,518.55,23.26,23.26,,false,
2023-01-01 09:00:00,Malaysia,Malaysia,MY,448.35,524.93,21.91,21.91,,false,
2023-01-01 10:00:00,Malaysia,Malaysia,MY,457.94,535.39,20.15,20.15,,false,
2023-01-01 11:00:00,Malaysia,Malaysia,MY,451.28,527.04,21.79,21.79,,false,
2023-01-01 12:00:00,Malaysia,Malaysia,MY,449.41,524.29,22.51,22.51,,false,
2023-01-01 13:00:00,Malaysia,Malaysia,MY,455.83,531.29,21.49,21.49,,false,
2023-01-01 14:00:00,Malaysia,Malaysia,MY,459.61,535.52,20.85,20.85,,false,
2023-01-01 15:00:00,Malaysia,Malaysia,MY,458.48,535.38,20.34,20.34,,false,
2023-01-01 16:00:00,Malaysia,Malaysia,MY,456.88,533.46,20.74,20.74,,false,
2023-01-01 17:00:00,Malaysia,Malaysia,MY,464.76,542.31,19.36,19.36,,false,
2023-01-01 18:00:00,Malaysia,Malaysia,MY,464.32,542.14,19.26,19.26,,false,
2023-01-01 19:00:00,Malaysia,Malaysia,MY,467.83,544.77,19.5,19.5,,false,
2023-01-01 20:00:00,Malaysia,Malaysia,MY,469.65,546.27,19.55,19.55,,false,
2023-01-01 21:00:00,Malaysia,Malaysia,MY,468.18,544.59,19.85,19.85,,false,
2023-01-01 22:00:00,Malaysia,Malaysia,MY,465.46,542.05,19.99,19.99,,false,
2023-01-01 23:00:00,Malaysia,Malaysia,MY,463.12,539.35,20.47,20.47,,false,
2023-01-02 00:00:00,Malaysia,Malaysia,MY,462.91,539.45,20.4,20.4,,false,
2023-01-02 01:00:00,Malaysia,Malaysia,MY,455.32,531.44,21.55,21.55,,false,
2023-01-02 02:00:00,Malaysia,Malaysia,MY,455.18,531.28,21.68,21.68,,false,
2023-01-02 03:00:00,Malaysia,Malaysia,MY,449.49,525.33,22.56,22.56,,false,
2023-01-02 04:00:00,Malaysia,Malaysia,MY,447.3,522.58,23.22,23.22,,false,
2023-01-02 05:00:00,Malaysia,Malaysia,MY,444.9,520.03,23.6,23.6,,false,
2023-01-02 06:00:00,Malaysia,Malaysia,MY,447.3,523.55,22.5,22.5,,false,
2023-01-02 07:00:00,Malaysia,Malaysia,MY,449.89,526.14,22.11,22.11,,false,
2023-01-02 08:00:00,Malaysia,Malaysia,MY,451.06,527.18,21.91,21.91,,false,
2023-01-02 09:00:00,Malaysia,Malaysia,MY,455.09,531.82,20.98,20.98,,false,
2023-01-02 10:00:00,Malaysia,Malaysia,MY,457.24,534.06,20.57,20.57,,false,
2023-01-02 11:00:00,Malaysia,Malaysia,MY,451.97,527.9,21.57,21.57,,false,
2023-01-02 12:00:00,Malaysia,Malaysia,MY,454.7,530.4,21.4,21.4,,false,
2023-01-02 13:00:00,Malaysia,Malaysia,MY,458.78,534.76,20.82,20.82,,false,
2023-01-02 14:00:00,Malaysia,Malaysia,MY,468.2,545.23,19.22,19.22,,false,
2023-01-02 15:00:00,Malaysia,Malaysia,MY,474.01,552.07,17.99,17.99,,false,
2023-01-02 16:00:00,Malaysia,Malaysia,MY,470.81,549.45,17.97,17.97,,false,
2023-01-02 17:00:00,Malaysia,Malaysia,MY,465.17,544.21,18.32,18.32,,false,
2023-01-02 18:00:00,Malaysia,Malaysia,MY,461.87,540.87,18.71,18.71,,false,
2023-01-02 19:00:00,Malaysia,Malaysia,MY,464.02,542.29,18.99,18.99,,false,
2023-01-02 20:00:00,Malaysia,Malaysia,MY,469.22,546.76,18.96,18.96,,false,
2023-01-02 21:00:00,Malaysia,Malaysia,MY,470.34,548.02,18.77,18.77,,false,
2023-01-02 22:00:00,Malaysia,Malaysia,MY,469.77,548.02,18.42,18.42,,false,
2023-01-02 23:00:00,Malaysia,Malaysia,MY,472.43,549.65,18.82,18.82,,false,
2023-01-03 00:00:00,Malaysia,Malaysia,MY,474.35,551.91,18.43,18.43,,false,
2023-01-03 01:00:00,Malaysia,Malaysia,MY,479.93,556.93,18.3,18.3,,false,
2023-01-03 02:00:00,Malaysia,Malaysia,MY,476.52,553.63,18.63,18.63,,false,
2023-01-03 03:00:00,Malaysia,Malaysia,MY,470.52,547.34,19.53,19.53,,false,
2023-01-03 04:00:00,Malaysia,Malaysia,MY,470.71,546.62,20.21,20.21,,false,
2023-01-03 05:00:00,Malaysia,Malaysia,MY,466.63,542.44,20.68,20.68,,false,
2023-01-03 06:00:00,Malaysia,Malaysia,MY,454.83,530.57,21.79,21.79,,false,
2023-01-03 07:00:00,Malaysia,Malaysia,MY,455.74,530.55,22.19,22.19,,false,
2023-01-03 08:00:00,Malaysia,Malaysia,MY,457.95,532.82,21.8,21.8,,false,
2023-01-03 09:00:00,Malaysia,Malaysia,MY,446.8,521.93,22.7,22.7,,false,
2023-01-03 10:00:00,Malaysia,Malaysia,MY,464.93,541.48,19.86,19.86,,false,
2023-01-03 11:00:00,Malaysia,Malaysia,MY,455.2,531.0,21.27,21.27,,false,
2023-01-03 12:00:00,Malaysia,Malaysia,MY,451.57,526.63,22.09,22.09,,false,
2023-01-03 13:00:00,Malaysia,Malaysia,MY,462.17,538.05,20.51,20.51,,false,
2023-01-03 14:00:00,Malaysia,Malaysia,MY,474.18,551.62,18.29,18.29,,false,
2023-01-03 15:00:00,Malaysia,Malaysia,MY,486.04,564.05,16.77,16.77,,false,
2023-01-03 16:00:00,Malaysia,Malaysia,MY,494.94,572.75,16.05,16.05,,false,
2023-01-03 17:00:00,Malaysia,Malaysia,MY,494.42,571.79,16.42,16.42,,false,
2023-01-03 18:00:00,Malaysia,Malaysia,MY,497.81,574.45,16.59,16.59,,false,
2023-01-03 19:00:00,Malaysia,Malaysia,MY,500.94,576.73,16.85,16.85,,false,
2023-01-03 20:00:00,Malaysia,Malaysia,MY,502.47,577.93,16.93,16.93,,false,
2023-01-03 21:00:00,Malaysia,Malaysia,MY,501.74,577.39,16.88,16.88,,false,
2023-01-03 22:00:00,Malaysia,Malaysia,MY,496.72,573.22,16.81,16.81,,false,
2023-01-03 23:00:00,Malaysia,Malaysia,MY,494.23,570.74,17.06,17.06,,false,
2023-01-04 00:00:00,Malaysia,Malaysia,MY,486.83,564.74,16.91,16.91,,false,
2023-01-04 01:00:00,Malaysia,Malaysia,MY,478.43,556.41,17.81,17.81,,false,
2023-01-04 02:00:00,Malaysia,Malaysia,MY,463.08,539.95,20.18,20.18,,false,
2023-01-04 03:00:00,Malaysia,Malaysia,MY,462.53,540.35,19.7,19.7,,false,
2023-01-04 04:00:00,Malaysia,Malaysia,MY,467.05,544.74,19.36,19.36,,false,
2023-01-04 05:00:00,Malaysia,Malaysia,MY,462.53,539.48,20.32,20.32,,false,
2023-01-04 06:00:00,Malaysia,Malaysia,MY,452.39,528.63,21.68,21.68,,false,
2023-01-04 07:00:00,Malaysia,Malaysia,MY,449.09,524.98,22.12,22.12,,false,
2023-01-04 08:00:00,Malaysia,Malaysia,MY,447.18,523.0,22.19,22.19,,false,
2023-01-04 09:00:00,Malaysia,Malaysia,MY,459.85,537.07,19.96,19.96,,false,
2023-01-04 10:00:00,Malaysia,Malaysia,MY,465.99,543.27,19.26,19.26,,false,
2023-01-04 11:00:00,Malaysia,Malaysia,MY,463.63,541.17,19.29,19.29,,false,
2023-01-04 12:00:00,Malaysia,Malaysia,MY,467.21,544.93,18.78,18.78,,false,
2023-01-04 13:00:00,Malaysia,Malaysia,MY,474.48,552.29,18.02,18.02,,false,
2023-01-04 14:00:00,Malaysia,Malaysia,MY,481.44,558.79,17.64,17.64,,false,
2023-01-04 15:00:00,Malaysia,Malaysia,MY,490.05,566.43,17.45,17.45,,false,
2023-01-04 16:00:00,Malaysia,Malaysia,MY,496.47,570.92,18.1,18.1,,false,
2023-01-04 17:00:00,Malaysia,Malaysia,MY,497.26,570.88,18.6,18.6,,false,
2023-01-04 18:00:00,Malaysia,Malaysia,MY,501.68,574.67,18.6,18.6,,false,
2023-01-04 19:00:00,Malaysia,Malaysia,MY,505.13,577.38,18.77,18.77,,false,
2023-01-04 20:00:00,Malaysia,Malaysia,MY,511.15,583.9,17.85,17.85,,false,
2023-01-04 21:00:00,Malaysia,Malaysia,MY,509.21,582.3,17.83,17.83,,false,
2023-01-04 22:00:00,Malaysia,Malaysia,MY,501.49,575.15,18.2,18.2,,false,
2023-01-04 23:00:00,Malaysia,Malaysia,MY,494.72,567.69,19.33,19.33,,false,
2023-01-05 00:00:00,Malaysia,Malaysia,MY,487.42,561.8,19.17,19.17,,false,
2023-01-05 01:00:00,Malaysia,Malaysia,MY,475.41,549.74,20.47,20.47,,false,
2023-01-05 02:00:00,Malaysia,Malaysia,MY,463.36,537.64,21.85,21.85,,false,
2023-01-05 03:00:00,Malaysia,Malaysia,MY,460.49,535.61,22.16,22.16,,false,
2023-01-05 04:00:00,Malaysia,Malaysia,MY,462.55,537.69,22.23,22.23,,false,
2023-01-05 05:00:00,Malaysia,Malaysia,MY,457.5,532.36,22.9,22.9,,false,
2023-01-05 06:00:00,Malaysia,Malaysia,MY,454.19,529.46,22.84,22.84,,false,
2023-01-05 07:00:00,Malaysia,Malaysia,MY,458.48,534.06,22.13,22.13,,false,
2023-01-05 08:00:00,Malaysia,Malaysia,MY,456.24,531.73,22.32,22.32,,false,
2023-01-05 09:00:00,Malaysia,Malaysia,MY,462.64,538.8,21.16,21.16,,false,
2023-01-05 10:00:00,Malaysia,Malaysia,MY,469.16,545.64,20.23,20.23,,false,
2023-01-05 11:00:00,Malaysia,Malaysia,MY,463.79,540.39,20.6,20.6,,false,
2023-01-05 12:00:00,Malaysia,Malaysia,MY,462.82,539.15,20.83,20.83,,false,
2023-01-05 13:00:00,Malaysia,Malaysia,MY,470.56,549.24,19.98,19.98,,false,
2023-01-05 14:00:00,Malaysia,Malaysia,MY,480.19,560.54,18.82,18.82,,false,
2023-01-05 15:00:00,Malaysia,Malaysia,MY,486.55,566.16,18.67,18.67,,false,
2023-01-05 16:00:00,Malaysia,Malaysia,MY,495.02,573.63,18.79,18.79,,false,
2023-01-05 17:00:00,Malaysia,Malaysia,MY,503.55,581.67,18.43,18.43,,false,
2023-01-05 18:00:00,Malaysia,Malaysia,MY,506.62,583.9,18.79,18.79,,false,
2023-01-05 19:00:00,Malaysia,Malaysia,MY,506.78,583.9,18.94,18.94,,false,
2023-01-05 20:00:00,Malaysia,Malaysia,MY,511.92,588.72,18.18,18.18,,false,
2023-01-05 21:00:00,Malaysia,Malaysia,MY,509.34,586.43,18.55,18.55,,false,
2023-01-05 22:00:00,Malaysia,Malaysia,MY,504.13,581.65,18.91,18.91,,false,
2023-01-05 23:00:00,Malaysia,Malaysia,MY,499.72,576.85,19.57,19.57,,false,
2023-01-06 00:00:00,Malaysia,Malaysia,MY,494.52,573.11,19.06,19.06,,false,
2023-01-06 01:00:00,Malaysia,Malaysia,MY,480.15,558.8,20.37,20.37,,false,
2023-01-06 02:00:00,Malaysia,Malaysia,MY,471.54,550.3,21.19,21.19,,false,
2023-01-06 03:00:00,Malaysia,Malaysia,MY,464.94,543.4,22.03,22.03,,false,
2023-01-06 04:00:00,Malaysia,Malaysia,MY,470.67,549.33,21.34,21.34,,false,
