Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Nigeria,Nigeria,NG,272.33,366.99,26.4,26.4,niggrid.org,false,
2023-01-01 01:00:00,Nigeria,Nigeria,NG,277.3,373.25,25.05,25.05,niggrid.org,false,
2023-01-01 02:00:00,Nigeria,Nigeria,NG,286.96,385.42,22.44,22.44,niggrid.org,false,
2023-01-01 03:00:00,Nigeria,Nigeria,NG,280.99,377.9,24.06,24.06,niggrid.org,false,
2023-01-01 04:00:00,Nigeria,Nigeria,NG,274.32,369.5,25.86,25.86,niggrid.org,false,
2023-01-01 05:00:00,Nigeria,Nigeria,NG,295.01,395.56,20.27,20.27,niggrid.org,false,
2023-01-01 06:00:00,Nigeria,Nigeria,NG,270.92,365.21,26.78,26.78,niggrid.org,false,
2023-01-01 07:00:00,Nigeria,Nigeria,NG,270.28,364.4,26.95,26.95,niggrid.org,false,
2023-01-01 08:00:00,Nigeria,Nigeria,NG,304.66,407.7,17.66,17.66,niggrid.org,false,
2023-01-01 09:00:00,Nigeria,Nigeria,NG,272.76,367.52,26.28,26.28,niggrid.org,false,
2023-01-01 10:00:00,Nigeria,Nigeria,NG,269.05,362.85,27.28,27.28,niggrid.org,false,
2023-01-01 11:00:00,Nigeria,Nigeria,NG,270.2,364.31,26.97,26.97,niggrid.org,false,
2023-01-01 12:00:00,Nigeria,Nigeria,NG,268.85,362.61,27.34,27.34,niggrid.org,false,
2023-01-01 13:00:00,Nigeria,Nigeria,NG,266.79,360.02,27.89,27.89,niggrid.org,false,
2023-01-01 14:00:00,Nigeria,Nigeria,NG,266.67,359.85,27.93,27.93,niggrid.org,false,
2023-01-01 15:00:00,Nigeria,Nigeria,NG,267.19,360.51,27.79,27.79,niggrid.org,false,
2023-01-01 16:00:00,Nigeria,Nigeria,NG,269.81,363.81,27.08,27.08,niggrid.org,false,
2023-01-01 17:00:00,Nigeria,Nigeria,NG,263.47,355.83,28.79,28.79,niggrid.org,false,
2023-01-01 18:00:00,Nigeria,Nigeria,NG,264.65,357.31,28.47,28.47,niggrid.org,false,
2023-01-01 19:00:00,Nigeria,Nigeria,NG,264.63,357.29,28.48,28.48,niggrid.org,false,
2023-01-01 20:00:00,Nigeria,Nigeria,NG,253.17,342.86,31.58,31.58,niggrid.org,false,
2023-01-01 21:00:00,Nigeria,Nigeria,NG,269.97,364.01,27.04,27.04,niggrid.org,false,
2023-01-01 22:00:00,Nigeria,Nigeria,NG,370.0,490.0,0.0,0.0,niggrid.org,false,
2023-01-01 23:00:00,Nigeria,Nigeria,NG,288.92,387.89,21.91,21.91,niggrid.org,false,
2023-01-02 00:00:00,Nigeria,Nigeria,NG,286.7,385.09,22.51,22.51,niggrid.org,false,
2023-01-02 01:00:00,Nigeria,Nigeria,NG,290.86,390.33,21.39,21.39,niggrid.org,false,
2023-01-02 02:00:00,Nigeria,Nigeria,NG,292.26,392.09,21.01,21.01,niggrid.org,false,
2023-01-02 03:00:00,Nigeria,Nigeria,NG,289.0,387.99,21.89,21.89,niggrid.org,false,
2023-01-02 04:00:00,Nigeria,Nigeria,NG,285.15,383.14,22.93,22.93,niggrid.org,false,
2023-01-02 05:00:00,Nigeria,Nigeria,NG,287.61,386.23,22.27,22.27,niggrid.org,false,
2023-01-02 06:00:00,Nigeria,Nigeria,NG,270.96,365.26,26.77,26.77,niggrid.org,false,
2023-01-02 07:00:00,Nigeria,Nigeria,NG,264.2,356.75,28.59,28.59,niggrid.org,false,
2023-01-02 08:00:00,Nigeria,Nigeria,NG,270.29,364.42,26.95,26.95,niggrid.org,false,
