Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Nicaragua,Nicaragua,NI,114.38,208.52,74.0,74.0,cndc.org.ni,false,
2023-01-01 01:00:00,Nicaragua,Nicaragua,NI,106.98,193.34,76.03,76.03,cndc.org.ni,false,
2023-01-01 02:00:00,Nicaragua,Nicaragua,NI,101.58,186.14,77.46,77.46,cndc.org.ni,false,
2023-01-01 03:00:00,Nicaragua,Nicaragua,NI,88.84,186.66,78.47,78.47,cndc.org.ni,false,
2023-01-01 04:00:00,Nicaragua,Nicaragua,NI,148.23,239.92,67.74,67.74,cndc.org.ni,false,
2023-01-01 05:00:00,Nicaragua,Nicaragua,NI,150.13,258.8,66.3,66.3,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 06:00:00,Nicaragua,Nicaragua,NI,147.86,274.72,65.6,65.6,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 07:00:00,Nicaragua,Nicaragua,NI,144.78,291.18,64.97,64.97,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 08:00:00,Nicaragua,Nicaragua,NI,152.18,308.91,62.76,62.76,cndc.org.ni,false,
2023-01-01 09:00:00,Nicaragua,Nicaragua,NI,192.29,294.52,58.1,58.1,cndc.org.ni,false,
2023-01-01 10:00:00,Nicaragua,Nicaragua,NI,187.49,296.22,58.69,58.69,cndc.org.ni,false,
2023-01-01 11:00:00,Nicaragua,Nicaragua,NI,201.39,300.22,56.46,56.46,cndc.org.ni,false,
2023-01-01 12:00:00,Nicaragua,Nicaragua,NI,174.31,287.92,61.24,61.24,cndc.org.ni,false,
2023-01-01 13:00:00,Nicaragua,Nicaragua,NI,123.94,219.97,73.0,73.0,cndc.org.ni,false,
2023-01-01 14:00:00,Nicaragua,Nicaragua,NI,179.97,252.41,62.76,62.76,cndc.org.ni,false,
2023-01-01 15:00:00,Nicaragua,Nicaragua,NI,160.15,240.84,66.4,66.4,cndc.org.ni,false,
2023-01-01 16:00:00,Nicaragua,Nicaragua,NI,188.03,207.1,64.49,64.49,cndc.org.ni,false,
2023-01-01 17:00:00,Nicaragua,Nicaragua,NI,147.9,212.67,70.23,70.23,cndc.org.ni,false,
2023-01-01 18:00:00,Nicaragua,Nicaragua,NI,177.65,221.94,65.13,65.13,cndc.org.ni,false,
2023-01-01 19:00:00,Nicaragua,Nicaragua,NI,196.95,224.0,62.06,62.06,cndc.org.ni,false,
2023-01-01 20:00:00,Nicaragua,Nicaragua,NI,144.97,175.58,72.78,72.78,cndc.org.ni,false,
2023-01-01 21:00:00,Nicaragua,Nicaragua,NI,151.24,208.06,69.41,69.41,cndc.org.ni,false,
2023-01-01 22:00:00,Nicaragua,Nicaragua,NI,172.06,264.33,62.33,62.33,cndc.org.ni,false,
2023-01-01 23:00:00,Nicaragua,Nicaragua,NI,163.05,259.53,63.84,63.84,cndc.org.ni,false,
2023-01-02 00:00:00,Nicaragua,Nicaragua,NI,154.98,275.27,63.44,63.44,cndc.org.ni,false,
2023-01-02 01:00:00,Nicaragua,Nicaragua,NI,165.48,269.73,62.27,62.27,cndc.org.ni,false,
2023-01-02 02:00:00,Nicaragua,Nicaragua,NI,161.16,259.49,63.83,63.83,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 03:00:00,Nicaragua,Nicaragua,NI,147.02,243.94,67.15,67.15,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 04:00:00,Nicaragua,Nicaragua,NI,145.29,227.99,68.75,68.75,cndc.org.ni,false,
2023-01-02 05:00:00,Nicaragua,Nicaragua,NI,151.3,238.78,67.47,67.47,cndc.org.ni,false,
2023-01-02 06:00:00,Nicaragua,Nicaragua,NI,128.51,214.73,72.31,72.31,cndc.org.ni,false,
2023-01-02 07:00:00,Nicaragua,Nicaragua,NI,150.06,218.18,69.26,69.26,cndc.org.ni,false,
2023-01-02 08:00:00,Nicaragua,Nicaragua,NI,163.91,222.62,66.97,66.97,cndc.org.ni,false,
2023-01-02 09:00:00,Nicaragua,Nicaragua,NI,156.16,216.79,68.48,68.48,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Nicaragua,Nicaragua,NI,146.1,210.11,70.37,70.37,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,Nicaragua,Nicaragua,NI,134.75,202.82,72.49,72.49,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 12:00:00,Nicaragua,Nicaragua,NI,127.69,197.15,73.89,73.89,cndc.org.ni,false,
2023-01-02 13:00:00,Nicaragua,Nicaragua,NI,119.39,178.45,76.26,76.26,cndc.org.ni,false,
2023-01-02 14:00:00,Nicaragua,Nicaragua,NI,148.25,185.29,71.75,71.75,cndc.org.ni,false,
2023-01-02 15:00:00,Nicaragua,Nicaragua,NI,136.96,182.23,73.63,73.63,cndc.org.ni,false,
2023-01-02 16:00:00,Nicaragua,Nicaragua,NI,121.21,181.74,75.7,75.7,cndc.org.ni,false,
2023-01-02 17:00:00,Nicaragua,Nicaragua,NI,172.0,228.14,65.29,65.29,cndc.org.ni,false,
2023-01-02 18:00:00,Nicaragua,Nicaragua,NI,183.05,248.67,62.27,62.27,cndc.org.ni,false,
2023-01-02 19:00:00,Nicaragua,Nicaragua,NI,227.04,281.09,53.75,53.75,cndc.org.ni,false,
2023-01-02 20:00:00,Nicaragua,Nicaragua,NI,212.9,289.08,55.2,55.2,cndc.org.ni,false,
2023-01-02 21:00:00,Nicaragua,Nicaragua,NI,148.37,261.03,66.33,66.33,cndc.org.ni,false,
2023-01-02 22:00:00,Nicaragua,Nicaragua,NI,146.8,266.02,65.95,65.95,cndc.org.ni,false,
2023-01-02 23:00:00,Nicaragua,Nicaragua,NI,175.42,285.12,60.7,60.7,cndc.org.ni,false,
2023-01-03 00:00:00,Nicaragua,Nicaragua,NI,155.83,272.49,63.91,63.91,cndc.org.ni,false,
2023-01-03 01:00:00,Nicaragua,Nicaragua,NI,141.23,265.39,66.39,66.39,cndc.org.ni,false,
2023-01-03 02:00:00,Nicaragua,Nicaragua,NI,152.85,261.64,65.19,65.19,cndc.org.ni,false,
2023-01-03 03:00:00,Nicaragua,Nicaragua,NI,136.0,246.81,68.6,68.6,cndc.org.ni,false,
2023-01-03 04:00:00,Nicaragua,Nicaragua,NI,162.34,255.66,64.34,64.34,cndc.org.ni,false,
2023-01-03 05:00:00,Nicaragua,Nicaragua,NI,162.27,234.69,65.98,65.98,cndc.org.ni,false,
2023-01-03 06:00:00,Nicaragua,Nicaragua,NI,135.42,213.56,71.34,71.34,cndc.org.ni,false,
2023-01-03 07:00:00,Nicaragua,Nicaragua,NI,142.82,208.27,70.68,70.68,cndc.org.ni,false,
2023-01-03 08:00:00,Nicaragua,Nicaragua,NI,145.35,210.86,70.19,70.19,cndc.org.ni,false,
2023-01-03 09:00:00,Nicaragua,Nicaragua,NI,136.24,197.55,72.44,72.44,cndc.org.ni,false,
2023-01-03 10:00:00,Nicaragua,Nicaragua,NI,118.85,184.51,75.89,75.89,cndc.org.ni,false,
2023-01-03 11:00:00,Nicaragua,Nicaragua,NI,107.58,179.22,77.62,77.62,cndc.org.ni,false,
2023-01-03 12:00:00,Nicaragua,Nicaragua,NI,113.09,203.7,75.25,75.25,cndc.org.ni,false,
2023-01-03 13:00:00,Nicaragua,Nicaragua,NI,104.47,209.64,75.73,75.73,cndc.org.ni,false,
2023-01-03 14:00:00,Nicaragua,Nicaragua,NI,139.65,243.28,68.37,68.37,cndc.org.ni,false,
2023-01-03 15:00:00,Nicaragua,Nicaragua,NI,163.51,278.32,62.38,62.38,cndc.org.ni,false,
2023-01-03 16:00:00,Nicaragua,Nicaragua,NI,170.2,298.85,59.93,59.93,cndc.org.ni,false,
2023-01-03 17:00:00,Nicaragua,Nicaragua,NI,195.85,324.75,54.34,54.34,cndc.org.ni,false,
2023-01-03 18:00:00,Nicaragua,Nicaragua,NI,200.49,336.42,52.77,52.77,cndc.org.ni,false,
2023-01-03 19:00:00,Nicaragua,Nicaragua,NI,193.74,340.36,53.52,53.52,cndc.org.ni,false,
