Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Panama,Panama,PA,244.3,321.82,53.65,53.65,https://www.cnd.com.pa/,false,
2023-01-01 01:00:00,Panama,Panama,PA,247.92,327.57,52.75,52.75,https://www.cnd.com.pa/,false,
2023-01-01 02:00:00,Panama,Panama,PA,255.65,336.63,51.42,51.42,https://www.cnd.com.pa/,false,
2023-01-01 03:00:00,Panama,Panama,PA,264.76,347.75,49.69,49.69,https://www.cnd.com.pa/,false,
2023-01-01 04:00:00,Panama,Panama,PA,290.25,381.68,44.34,44.34,https://www.cnd.com.pa/,false,
2023-01-01 05:00:00,Panama,Panama,PA,302.75,395.81,42.17,42.17,https://www.cnd.com.pa/,false,
2023-01-01 06:00:00,Panama,Panama,PA,305.92,399.99,41.44,41.44,https://www.cnd.com.pa/,false,
2023-01-01 07:00:00,Panama,Panama,PA,307.52,402.13,41.13,41.13,https://www.cnd.com.pa/,false,
2023-01-01 08:00:00,Panama,Panama,PA,311.28,406.47,40.49,40.49,https://www.cnd.com.pa/,false,
2023-01-01 09:00:00,Panama,Panama,PA,320.14,417.6,38.79,38.79,https://www.cnd.com.pa/,false,
2023-01-01 10:00:00,Panama,Panama,PA,324.8,423.31,37.88,37.88,https://www.cnd.com.pa/,false,
2023-01-01 11:00:00,Panama,Panama,PA,328.94,426.55,37.37,37.37,https://www.cnd.com.pa/,false,
2023-01-01 12:00:00,Panama,Panama,PA,325.25,416.55,39.12,39.12,https://www.cnd.com.pa/,false,
2023-01-01 13:00:00,Panama,Panama,PA,312.2,401.4,41.72,41.72,https://www.cnd.com.pa/,false,
2023-01-01 14:00:00,Panama,Panama,PA,271.06,344.08,51.08,51.08,https://www.cnd.com.pa/,false,
2023-01-01 15:00:00,Panama,Panama,PA,253.3,319.25,55.29,55.29,https://www.cnd.com.pa/,false,
2023-01-01 16:00:00,Panama,Panama,PA,232.03,288.14,60.8,60.8,https://www.cnd.com.pa/,false,
2023-01-01 17:00:00,Panama,Panama,PA,220.49,274.33,63.57,63.57,https://www.cnd.com.pa/,false,
2023-01-01 18:00:00,Panama,Panama,PA,217.35,270.71,64.11,64.11,https://www.cnd.com.pa/,false,
