Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Peru,Peru,PE,104.18,155.84,71.84,71.84,coes.org.pe,false,
2023-01-01 01:00:00,Peru,Peru,PE,105.89,158.0,71.38,71.38,coes.org.pe,false,
2023-01-01 02:00:00,Peru,Peru,PE,96.12,145.72,74.02,74.02,coes.org.pe,false,
2023-01-01 03:00:00,Peru,Peru,PE,87.79,135.23,76.27,76.27,coes.org.pe,false,
2023-01-01 04:00:00,Peru,Peru,PE,89.19,137.2,75.89,75.89,coes.org.pe,false,
2023-01-01 05:00:00,Peru,Peru,PE,85.73,132.9,76.83,76.83,coes.org.pe,false,
2023-01-01 06:00:00,Peru,Peru,PE,83.34,129.93,77.47,77.47,coes.org.pe,false,
2023-01-01 07:00:00,Peru,Peru,PE,90.01,138.29,75.67,75.67,coes.org.pe,false,
2023-01-01 08:00:00,Peru,Peru,PE,92.27,141.13,75.06,75.06,coes.org.pe,false,
2023-01-01 09:00:00,Peru,Peru,PE,94.61,144.07,74.43,74.43,coes.org.pe,false,
2023-01-01 10:00:00,Peru,Peru,PE,98.55,149.17,73.36,73.36,coes.org.pe,false,
2023-01-01 11:00:00,Peru,Peru,PE,102.06,154.03,72.42,72.42,coes.org.pe,false,
2023-01-01 12:00:00,Peru,Peru,PE,94.47,144.87,74.47,74.47,coes.org.pe,false,
2023-01-01 13:00:00,Peru,Peru,PE,89.52,138.48,75.81,75.81,coes.org.pe,false,
2023-01-01 14:00:00,Peru,Peru,PE,85.22,132.84,76.97,76.97,coes.org.pe,false,
2023-01-01 15:00:00,Peru,Peru,PE,83.14,130.08,77.53,77.53,coes.org.pe,false,
2023-01-01 16:00:00,Peru,Peru,PE,82.14,128.66,77.8,77.8,coes.org.pe,false,
2023-01-01 17:00:00,Peru,Peru,PE,80.23,125.94,78.32,78.32,coes.org.pe,false,
2023-01-01 18:00:00,Peru,Peru,PE,80.19,125.55,78.33,78.33,coes.org.pe,false,
2023-01-01 19:00:00,Peru,Peru,PE,79.71,124.72,78.46,78.46,coes.org.pe,false,
2023-01-01 20:00:00,Peru,Peru,PE,79.28,124.1,78.57,78.57,coes.org.pe,false,
2023-01-01 21:00:00,Peru,Peru,PE,79.47,124.03,78.52,78.52,coes.org.pe,false,
2023-01-01 22:00:00,Peru,Peru,PE,77.43,121.37,79.07,79.07,coes.org.pe,false,
2023-01-01 23:00:00,Peru,Peru,PE,73.53,116.51,80.13,80.13,coes.org.pe,false,
2023-01-02 00:00:00,Peru,Peru,PE,73.15,116.21,80.23,80.23,coes.org.pe,false,
2023-01-02 01:00:00,Peru,Peru,PE,74.23,117.66,79.94,79.94,coes.org.pe,false,
2023-01-02 02:00:00,Peru,Peru,PE,72.85,115.92,80.31,80.31,coes.org.pe,false,
2023-01-02 03:00:00,Peru,Peru,PE,69.07,111.07,81.33,81.33,coes.org.pe,false,
2023-01-02 04:00:00,Peru,Peru,PE,69.67,111.8,81.17,81.17,coes.org.pe,false,
2023-01-02 05:00:00,Peru,Peru,PE,72.62,115.47,80.37,80.37,coes.org.pe,false,
2023-01-02 06:00:00,Peru,Peru,PE,74.7,118.17,79.81,79.81,coes.org.pe,false,
2023-01-02 07:00:00,Peru,Peru,PE,75.74,119.62,79.53,79.53,coes.org.pe,false,
