Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,French Polynesia,French Polynesia,PF,249.29,415.15,38.6,38.6,edt.pf,false,
2023-01-01 01:00:00,French Polynesia,French Polynesia,PF,269.0,444.03,33.74,33.74,edt.pf,false,
2023-01-01 02:00:00,French Polynesia,French Polynesia,PF,286.56,469.33,29.42,29.42,edt.pf,false,
2023-01-01 03:00:00,French Polynesia,French Polynesia,PF,294.54,479.29,27.45,27.45,edt.pf,false,
2023-01-01 04:00:00,French Polynesia,French Polynesia,PF,297.29,482.51,26.78,26.78,edt.pf,false,
2023-01-01 05:00:00,French Polynesia,French Polynesia,PF,314.28,508.59,22.59,22.59,edt.pf,false,
2023-01-01 06:00:00,French Polynesia,French Polynesia,PF,302.22,489.99,25.56,25.56,edt.pf,false,
2023-01-01 07:00:00,French Polynesia,French Polynesia,PF,298.8,484.71,26.4,26.4,edt.pf,false,
2023-01-01 08:00:00,French Polynesia,French Polynesia,PF,322.05,520.56,20.68,20.68,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 09:00:00,French Polynesia,French Polynesia,PF,332.81,537.16,18.03,18.03,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 10:00:00,French Polynesia,French Polynesia,PF,348.82,561.84,14.08,14.08,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 11:00:00,French Polynesia,French Polynesia,PF,366.73,589.46,9.67,9.67,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 12:00:00,French Polynesia,French Polynesia,PF,377.41,605.92,7.04,7.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 13:00:00,French Polynesia,French Polynesia,PF,380.79,611.14,6.21,6.21,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 14:00:00,French Polynesia,French Polynesia,PF,394.7,632.58,2.78,2.78,edt.pf,false,
2023-01-01 15:00:00,French Polynesia,French Polynesia,PF,396.01,634.62,2.46,2.46,edt.pf,false,
2023-01-01 16:00:00,French Polynesia,French Polynesia,PF,383.49,615.56,5.54,5.54,edt.pf,false,
