Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Papua New Guinea,Papua New Guinea,PG,498.21,614.1,8.48,8.48,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 01:00:00,Papua New Guinea,Papua New Guinea,PG,498.81,615.23,7.89,7.89,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 02:00:00,Papua New Guinea,Papua New Guinea,PG,500.4,616.48,8.33,8.33,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 03:00:00,Papua New Guinea,Papua New Guinea,PG,500.75,616.71,8.43,8.43,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 04:00:00,Papua New Guinea,Papua New Guinea,PG,498.78,616.26,6.66,6.66,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 05:00:00,Papua New Guinea,Papua New Guinea,PG,489.72,608.04,5.48,5.48,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 06:00:00,Papua New Guinea,Papua New Guinea,PG,473.03,587.52,9.46,9.46,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 07:00:00,Papua New Guinea,Papua New Guinea,PG,452.84,563.29,13.6,13.6,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 08:00:00,Papua New Guinea,Papua New Guinea,PG,429.97,536.6,17.33,17.33,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 09:00:00,Papua New Guinea,Papua New Guinea,PG,444.01,553.29,14.68,14.68,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 10:00:00,Papua New Guinea,Papua New Guinea,PG,467.17,582.59,8.26,8.26,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 11:00:00,Papua New Guinea,Papua New Guinea,PG,466.33,581.38,8.64,8.64,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 12:00:00,Papua New Guinea,Papua New Guinea,PG,468.87,581.97,10.91,10.91,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 13:00:00,Papua New Guinea,Papua New Guinea,PG,479.13,591.7,11.76,11.76,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 14:00:00,Papua New Guinea,Papua New Guinea,PG,496.98,612.64,8.66,8.66,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 15:00:00,Papua New Guinea,Papua New Guinea,PG,485.26,598.91,10.61,10.61,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 16:00:00,Papua New Guinea,Papua New Guinea,PG,482.45,596.9,9.58,9.58,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 17:00:00,Papua New Guinea,Papua New Guinea,PG,485.76,599.75,10.19,10.19,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 18:00:00,Papua New Guinea,Papua New Guinea,PG,473.3,583.21,14.56,14.56,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 19:00:00,Papua New Guinea,Papua New Guinea,PG,476.2,586.38,14.35,14.35,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 20:00:00,Papua New Guinea,Papua New Guinea,PG,479.9,589.8,14.81,14.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
