Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Philippines,Luzon,PH-LU,553.5,628.22,15.38,15.38,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 01:00:00,Philippines,Luzon,PH-LU,541.3,617.16,17.77,17.77,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 02:00:00,Philippines,Luzon,PH-LU,535.4,612.12,19.14,19.14,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 03:00:00,Philippines,Luzon,PH-LU,535.59,612.37,19.33,19.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 04:00:00,Philippines,Luzon,PH-LU,536.54,613.19,19.29,19.29,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 05:00:00,Philippines,Luzon,PH-LU,533.49,610.24,19.53,19.53,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 06:00:00,Philippines,Luzon,PH-LU,537.88,614.6,18.9,18.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 07:00:00,Philippines,Luzon,PH-LU,546.81,623.79,17.61,17.61,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 08:00:00,Philippines,Luzon,PH-LU,558.78,636.3,15.89,15.89,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 09:00:00,Philippines,Luzon,PH-LU,566.01,643.67,14.9,14.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 10:00:00,Philippines,Luzon,PH-LU,563.84,641.12,14.97,14.97,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 11:00:00,Philippines,Luzon,PH-LU,565.86,641.78,14.45,14.45,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 12:00:00,Philippines,Luzon,PH-LU,569.22,643.43,13.63,13.63,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 13:00:00,Philippines,Luzon,PH-LU,577.32,650.52,11.86,11.86,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 14:00:00,Philippines,Luzon,PH-LU,582.66,656.12,11.03,11.03,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 15:00:00,Philippines,Luzon,PH-LU,585.65,659.13,10.58,10.58,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 16:00:00,Philippines,Luzon,PH-LU,587.74,661.35,10.24,10.24,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 17:00:00,Philippines,Luzon,PH-LU,586.55,660.44,10.18,10.18,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 18:00:00,Philippines,Luzon,PH-LU,585.4,659.63,10.12,10.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 19:00:00,Philippines,Luzon,PH-LU,584.74,659.19,10.08,10.08,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 20:00:00,Philippines,Luzon,PH-LU,584.74,659.27,10.04,10.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 21:00:00,Philippines,Luzon,PH-LU,586.29,660.77,9.92,9.92,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 22:00:00,Philippines,Luzon,PH-LU,583.24,657.41,10.56,10.56,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 23:00:00,Philippines,Luzon,PH-LU,570.94,644.4,12.48,12.48,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 00:00:00,Philippines,Luzon,PH-LU,553.5,628.22,15.38,15.38,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 01:00:00,Philippines,Luzon,PH-LU,541.3,617.16,17.77,17.77,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 02:00:00,Philippines,Luzon,PH-LU,535.4,612.12,19.14,19.14,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 03:00:00,Philippines,Luzon,PH-LU,535.59,612.37,19.33,19.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 04:00:00,Philippines,Luzon,PH-LU,536.54,613.19,19.29,19.29,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 05:00:00,Philippines,Luzon,PH-LU,533.49,610.24,19.53,19.53,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 06:00:00,Philippines,Luzon,PH-LU,537.88,614.6,18.9,18.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 07:00:00,Philippines,Luzon,PH-LU,546.81,623.79,17.61,17.61,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 08:00:00,Philippines,Luzon,PH-LU,558.78,636.3,15.89,15.89,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 09:00:00,Philippines,Luzon,PH-LU,566.01,643.67,14.9,14.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Philippines,Luzon,PH-LU,563.84,641.12,14.97,14.97,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,Philippines,Luzon,PH-LU,565.86,641.78,14.45,14.45,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 12:00:00,Philippines,Luzon,PH-LU,569.22,643.43,13.63,13.63,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 13:00:00,Philippines,Luzon,PH-LU,577.32,650.52,11.86,11.86,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 14:00:00,Philippines,Luzon,PH-LU,582.66,656.12,11.03,11.03,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 15:00:00,Philippines,Luzon,PH-LU,585.65,659.13,10.58,10.58,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 16:00:00,Philippines,Luzon,PH-LU,587.74,661.35,10.24,10.24,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 17:00:00,Philippines,Luzon,PH-LU,586.55,660.44,10.18,10.18,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 18:00:00,Philippines,Luzon,PH-LU,585.4,659.63,10.12,10.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 19:00:00,Philippines,Luzon,PH-LU,584.74,659.19,10.08,10.08,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 20:00:00,Philippines,Luzon,PH-LU,584.74,659.27,10.04,10.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 21:00:00,Philippines,Luzon,PH-LU,586.29,660.77,9.92,9.92,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 22:00:00,Philippines,Luzon,PH-LU,583.24,657.41,10.56,10.56,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 23:00:00,Philippines,Luzon,PH-LU,570.94,644.4,12.48,12.48,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 00:00:00,Philippines,Luzon,PH-LU,553.5,628.22,15.38,15.38,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 01:00:00,Philippines,Luzon,PH-LU,541.3,617.16,17.77,17.77,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 02:00:00,Philippines,Luzon,PH-LU,535.4,612.12,19.14,19.14,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 03:00:00,Philippines,Luzon,PH-LU,535.59,612.37,19.33,19.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 04:00:00,Philippines,Luzon,PH-LU,536.54,613.19,19.29,19.29,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 05:00:00,Philippines,Luzon,PH-LU,533.49,610.24,19.53,19.53,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 06:00:00,Philippines,Luzon,PH-LU,537.88,614.6,18.9,18.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 07:00:00,Philippines,Luzon,PH-LU,546.81,623.79,17.61,17.61,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 08:00:00,Philippines,Luzon,PH-LU,558.78,636.3,15.89,15.89,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 09:00:00,Philippines,Luzon,PH-LU,566.01,643.67,14.9,14.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 10:00:00,Philippines,Luzon,PH-LU,563.84,641.12,14.97,14.97,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 11:00:00,Philippines,Luzon,PH-LU,565.86,641.78,14.45,14.45,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 12:00:00,Philippines,Luzon,PH-LU,569.22,643.43,13.63,13.63,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 13:00:00,Philippines,Luzon,PH-LU,577.32,650.52,11.86,11.86,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 14:00:00,Philippines,Luzon,PH-LU,582.66,656.12,11.03,11.03,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 15:00:00,Philippines,Luzon,PH-LU,585.65,659.13,10.58,10.58,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 16:00:00,Philippines,Luzon,PH-LU,587.74,661.35,10.24,10.24,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 17:00:00,Philippines,Luzon,PH-LU,586.55,660.44,10.18,10.18,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 18:00:00,Philippines,Luzon,PH-LU,585.4,659.63,10.12,10.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 19:00:00,Philippines,Luzon,PH-LU,584.74,659.19,10.08,10.08,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 20:00:00,Philippines,Luzon,PH-LU,584.74,659.27,10.04,10.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 21:00:00,Philippines,Luzon,PH-LU,586.29,660.77,9.92,9.92,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 22:00:00,Philippines,Luzon,PH-LU,583.24,657.41,10.56,10.56,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 23:00:00,Philippines,Luzon,PH-LU,570.94,644.4,12.48,12.48,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 00:00:00,Philippines,Luzon,PH-LU,553.5,628.22,15.38,15.38,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 01:00:00,Philippines,Luzon,PH-LU,541.3,617.16,17.77,17.77,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 02:00:00,Philippines,Luzon,PH-LU,535.4,612.12,19.14,19.14,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 03:00:00,Philippines,Luzon,PH-LU,535.59,612.37,19.33,19.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 04:00:00,Philippines,Luzon,PH-LU,536.54,613.19,19.29,19.29,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 05:00:00,Philippines,Luzon,PH-LU,533.49,610.24,19.53,19.53,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 06:00:00,Philippines,Luzon,PH-LU,537.88,614.6,18.9,18.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 07:00:00,Philippines,Luzon,PH-LU,546.81,623.79,17.61,17.61,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 08:00:00,Philippines,Luzon,PH-LU,558.78,636.3,15.89,15.89,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 09:00:00,Philippines,Luzon,PH-LU,566.01,643.67,14.9,14.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 10:00:00,Philippines,Luzon,PH-LU,563.84,641.12,14.97,14.97,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 11:00:00,Philippines,Luzon,PH-LU,565.86,641.78,14.45,14.45,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 12:00:00,Philippines,Luzon,PH-LU,569.22,643.43,13.63,13.63,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 13:00:00,Philippines,Luzon,PH-LU,577.32,650.52,11.86,11.86,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 14:00:00,Philippines,Luzon,PH-LU,582.66,656.12,11.03,11.03,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 15:00:00,Philippines,Luzon,PH-LU,585.65,659.13,10.58,10.58,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 16:00:00,Philippines,Luzon,PH-LU,587.74,661.35,10.24,10.24,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 17:00:00,Philippines,Luzon,PH-LU,586.55,660.44,10.18,10.18,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 18:00:00,Philippines,Luzon,PH-LU,585.4,659.63,10.12,10.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 19:00:00,Philippines,Luzon,PH-LU,584.74,659.19,10.08,10.08,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 20:00:00,Philippines,Luzon,PH-LU,584.74,659.27,10.04,10.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 21:00:00,Philippines,Luzon,PH-LU,586.29,660.77,9.92,9.92,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 22:00:00,Philippines,Luzon,PH-LU,583.24,657.41,10.56,10.56,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-04 23:00:00,Philippines,Luzon,PH-LU,570.94,644.4,12.48,12.48,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 00:00:00,Philippines,Luzon,PH-LU,553.5,628.22,15.38,15.38,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 01:00:00,Philippines,Luzon,PH-LU,541.3,617.16,17.77,17.77,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 02:00:00,Philippines,Luzon,PH-LU,535.4,612.12,19.14,19.14,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 03:00:00,Philippines,Luzon,PH-LU,535.59,612.37,19.33,19.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 04:00:00,Philippines,Luzon,PH-LU,536.54,613.19,19.29,19.29,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 05:00:00,Philippines,Luzon,PH-LU,533.49,610.24,19.53,19.53,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 06:00:00,Philippines,Luzon,PH-LU,537.88,614.6,18.9,18.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 07:00:00,Philippines,Luzon,PH-LU,546.81,623.79,17.61,17.61,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 08:00:00,Philippines,Luzon,PH-LU,558.78,636.3,15.89,15.89,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 09:00:00,Philippines,Luzon,PH-LU,566.01,643.67,14.9,14.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 10:00:00,Philippines,Luzon,PH-LU,563.84,641.12,14.97,14.97,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 11:00:00,Philippines,Luzon,PH-LU,565.86,641.78,14.45,14.45,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 12:00:00,Philippines,Luzon,PH-LU,569.22,643.43,13.63,13.63,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 13:00:00,Philippines,Luzon,PH-LU,577.32,650.52,11.86,11.86,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 14:00:00,Philippines,Luzon,PH-LU,582.66,656.12,11.03,11.03,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 15:00:00,Philippines,Luzon,PH-LU,585.65,659.13,10.58,10.58,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 16:00:00,Philippines,Luzon,PH-LU,587.74,661.35,10.24,10.24,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 17:00:00,Philippines,Luzon,PH-LU,586.55,660.44,10.18,10.18,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 18:00:00,Philippines,Luzon,PH-LU,585.4,659.63,10.12,10.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 19:00:00,Philippines,Luzon,PH-LU,584.74,659.19,10.08,10.08,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 20:00:00,Philippines,Luzon,PH-LU,584.74,659.27,10.04,10.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 21:00:00,Philippines,Luzon,PH-LU,586.29,660.77,9.92,9.92,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 22:00:00,Philippines,Luzon,PH-LU,583.24,657.41,10.56,10.56,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-05 23:00:00,Philippines,Luzon,PH-LU,570.94,644.4,12.48,12.48,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 00:00:00,Philippines,Luzon,PH-LU,553.5,628.22,15.38,15.38,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 01:00:00,Philippines,Luzon,PH-LU,541.3,617.16,17.77,17.77,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 02:00:00,Philippines,Luzon,PH-LU,535.4,612.12,19.14,19.14,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 03:00:00,Philippines,Luzon,PH-LU,535.59,612.37,19.33,19.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 04:00:00,Philippines,Luzon,PH-LU,536.54,613.19,19.29,19.29,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 05:00:00,Philippines,Luzon,PH-LU,533.49,610.24,19.53,19.53,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 06:00:00,Philippines,Luzon,PH-LU,537.88,614.6,18.9,18.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 07:00:00,Philippines,Luzon,PH-LU,546.81,623.79,17.61,17.61,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 08:00:00,Philippines,Luzon,PH-LU,558.78,636.3,15.89,15.89,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 09:00:00,Philippines,Luzon,PH-LU,566.01,643.67,14.9,14.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 10:00:00,Philippines,Luzon,PH-LU,563.84,641.12,14.97,14.97,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 11:00:00,Philippines,Luzon,PH-LU,565.86,641.78,14.45,14.45,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 12:00:00,Philippines,Luzon,PH-LU,569.22,643.43,13.63,13.63,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 13:00:00,Philippines,Luzon,PH-LU,577.32,650.52,11.86,11.86,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 14:00:00,Philippines,Luzon,PH-LU,582.66,656.12,11.03,11.03,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 15:00:00,Philippines,Luzon,PH-LU,585.65,659.13,10.58,10.58,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 16:00:00,Philippines,Luzon,PH-LU,587.74,661.35,10.24,10.24,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 17:00:00,Philippines,Luzon,PH-LU,586.55,660.44,10.18,10.18,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 18:00:00,Philippines,Luzon,PH-LU,585.4,659.63,10.12,10.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 19:00:00,Philippines,Luzon,PH-LU,584.74,659.19,10.08,10.08,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 20:00:00,Philippines,Luzon,PH-LU,584.74,659.27,10.04,10.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 21:00:00,Philippines,Luzon,PH-LU,586.29,660.77,9.92,9.92,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 22:00:00,Philippines,Luzon,PH-LU,583.24,657.41,10.56,10.56,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-06 23:00:00,Philippines,Luzon,PH-LU,570.94,644.4,12.48,12.48,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 00:00:00,Philippines,Luzon,PH-LU,553.5,628.22,15.38,15.38,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 01:00:00,Philippines,Luzon,PH-LU,541.3,617.16,17.77,17.77,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 02:00:00,Philippines,Luzon,PH-LU,535.4,612.12,19.14,19.14,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 03:00:00,Philippines,Luzon,PH-LU,535.59,612.37,19.33,19.33,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 04:00:00,Philippines,Luzon,PH-LU,536.54,613.19,19.29,19.29,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 05:00:00,Philippines,Luzon,PH-LU,533.49,610.24,19.53,19.53,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 06:00:00,Philippines,Luzon,PH-LU,537.88,614.6,18.9,18.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 07:00:00,Philippines,Luzon,PH-LU,546.81,623.79,17.61,17.61,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 08:00:00,Philippines,Luzon,PH-LU,558.78,636.3,15.89,15.89,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 09:00:00,Philippines,Luzon,PH-LU,566.01,643.67,14.9,14.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 10:00:00,Philippines,Luzon,PH-LU,563.84,641.12,14.97,14.97,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 11:00:00,Philippines,Luzon,PH-LU,565.86,641.78,14.45,14.45,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 12:00:00,Philippines,Luzon,PH-LU,569.22,643.43,13.63,13.63,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 13:00:00,Philippines,Luzon,PH-LU,577.32,650.52,11.86,11.86,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-07 14:00:00,Philippines,Luzon,PH-LU,582.66,656.12,11.03,11.03,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
