Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Philippines,Philippines,PH,532.02,603.27,20.66,20.66,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 01:00:00,Philippines,Philippines,PH,524.55,596.74,22.2,22.2,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 02:00:00,Philippines,Philippines,PH,521.37,594.32,23.02,23.02,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 03:00:00,Philippines,Philippines,PH,521.37,594.46,23.15,23.15,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 04:00:00,Philippines,Philippines,PH,521.5,594.48,23.19,23.19,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 05:00:00,Philippines,Philippines,PH,522.41,595.78,22.89,22.89,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 06:00:00,Philippines,Philippines,PH,527.99,601.6,22.06,22.06,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 07:00:00,Philippines,Philippines,PH,536.6,610.47,20.83,20.83,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 08:00:00,Philippines,Philippines,PH,547.15,621.33,19.36,19.36,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 09:00:00,Philippines,Philippines,PH,553.81,628.1,18.46,18.46,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 10:00:00,Philippines,Philippines,PH,553.91,628.25,18.25,18.25,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 11:00:00,Philippines,Philippines,PH,554.78,628.06,17.96,17.96,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 12:00:00,Philippines,Philippines,PH,556.88,628.85,17.42,17.42,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 13:00:00,Philippines,Philippines,PH,561.42,632.5,16.34,16.34,,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 14:00:00,Philippines,Philippines,PH,563.66,634.74,15.99,15.99,,true,ESTIMATED_TIME_SLICER_AVERAGE
