Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Portugal,Portugal,PT,20.86,50.6,96.59,96.59,entsoe.eu,false,
2023-01-01 01:00:00,Portugal,Portugal,PT,14.71,46.61,96.3,96.3,entsoe.eu,false,
2023-01-01 02:00:00,Portugal,Portugal,PT,15.11,47.49,96.21,96.21,entsoe.eu,false,
2023-01-01 03:00:00,Portugal,Portugal,PT,13.96,45.0,96.49,96.49,entsoe.eu,false,
2023-01-01 04:00:00,Portugal,Portugal,PT,14.84,46.64,96.26,96.26,entsoe.eu,false,
2023-01-01 05:00:00,Portugal,Portugal,PT,15.12,47.4,96.19,96.19,entsoe.eu,false,
2023-01-01 06:00:00,Portugal,Portugal,PT,15.77,49.11,96.02,96.02,entsoe.eu,false,
2023-01-01 07:00:00,Portugal,Portugal,PT,17.33,52.6,95.64,95.64,entsoe.eu,false,
2023-01-01 08:00:00,Portugal,Portugal,PT,17.43,52.88,95.61,95.61,entsoe.eu,false,
2023-01-01 09:00:00,Portugal,Portugal,PT,16.74,50.93,95.8,95.72,entsoe.eu,false,
2023-01-01 10:00:00,Portugal,Portugal,PT,14.55,46.9,96.33,96.33,entsoe.eu,false,
2023-01-01 11:00:00,Portugal,Portugal,PT,12.61,42.06,96.82,96.82,entsoe.eu,false,
2023-01-01 12:00:00,Portugal,Portugal,PT,10.0,38.29,97.52,97.52,entsoe.eu,false,
2023-01-01 13:00:00,Portugal,Portugal,PT,10.3,38.46,97.44,97.44,entsoe.eu,false,
2023-01-01 14:00:00,Portugal,Portugal,PT,10.41,37.92,97.4,97.4,entsoe.eu,false,
2023-01-01 15:00:00,Portugal,Portugal,PT,19.67,46.45,97.41,97.41,entsoe.eu,false,
2023-01-01 16:00:00,Portugal,Portugal,PT,25.92,52.21,97.06,97.06,entsoe.eu,false,
2023-01-01 17:00:00,Portugal,Portugal,PT,45.44,68.78,96.48,96.48,entsoe.eu,false,
2023-01-01 18:00:00,Portugal,Portugal,PT,60.57,82.2,96.08,96.08,entsoe.eu,false,
2023-01-01 19:00:00,Portugal,Portugal,PT,61.79,83.29,96.06,96.06,entsoe.eu,false,
2023-01-01 20:00:00,Portugal,Portugal,PT,56.75,79.12,95.95,95.95,entsoe.eu,false,
2023-01-01 21:00:00,Portugal,Portugal,PT,44.64,66.59,97.3,97.3,entsoe.eu,false,
2023-01-01 22:00:00,Portugal,Portugal,PT,39.13,62.07,97.61,97.61,entsoe.eu,false,
2023-01-01 23:00:00,Portugal,Portugal,PT,26.41,54.45,96.98,96.98,entsoe.eu,false,
2023-01-02 00:00:00,Portugal,Portugal,PT,30.56,61.8,96.34,96.34,entsoe.eu,false,
2023-01-02 01:00:00,Portugal,Portugal,PT,31.45,65.32,95.57,94.93,entsoe.eu,false,
2023-01-02 02:00:00,Portugal,Portugal,PT,36.02,70.26,95.77,95.65,entsoe.eu,false,
2023-01-02 03:00:00,Portugal,Portugal,PT,40.43,74.91,94.56,94.56,entsoe.eu,false,
2023-01-02 04:00:00,Portugal,Portugal,PT,51.26,88.62,90.78,90.78,entsoe.eu,false,
2023-01-02 05:00:00,Portugal,Portugal,PT,81.97,122.74,84.51,84.51,entsoe.eu,false,
2023-01-02 06:00:00,Portugal,Portugal,PT,92.56,137.54,80.37,80.37,entsoe.eu,false,
2023-01-02 07:00:00,Portugal,Portugal,PT,104.37,145.3,80.8,80.8,entsoe.eu,false,
2023-01-02 08:00:00,Portugal,Portugal,PT,104.92,144.55,80.95,80.95,entsoe.eu,false,
2023-01-02 09:00:00,Portugal,Portugal,PT,110.76,152.69,79.04,79.04,entsoe.eu,false,
2023-01-02 10:00:00,Portugal,Portugal,PT,110.8,156.55,77.02,77.02,entsoe.eu,false,
2023-01-02 11:00:00,Portugal,Portugal,PT,96.75,138.88,80.62,80.62,entsoe.eu,false,
2023-01-02 12:00:00,Portugal,Portugal,PT,94.2,135.85,81.24,81.24,entsoe.eu,false,
2023-01-02 13:00:00,Portugal,Portugal,PT,95.63,138.13,80.69,80.69,entsoe.eu,false,
2023-01-02 14:00:00,Portugal,Portugal,PT,98.16,140.31,80.58,80.58,entsoe.eu,false,
2023-01-02 15:00:00,Portugal,Portugal,PT,104.52,146.27,80.1,80.1,entsoe.eu,false,
2023-01-02 16:00:00,Portugal,Portugal,PT,111.31,150.98,80.46,80.46,entsoe.eu,false,
2023-01-02 17:00:00,Portugal,Portugal,PT,115.85,156.57,79.17,79.17,entsoe.eu,false,
2023-01-02 18:00:00,Portugal,Portugal,PT,116.16,156.2,79.63,79.63,entsoe.eu,false,
2023-01-02 19:00:00,Portugal,Portugal,PT,118.68,159.71,78.95,78.95,entsoe.eu,false,
2023-01-02 20:00:00,Portugal,Portugal,PT,117.59,159.42,78.62,78.62,entsoe.eu,false,
2023-01-02 21:00:00,Portugal,Portugal,PT,115.77,158.37,78.34,78.34,entsoe.eu,false,
2023-01-02 22:00:00,Portugal,Portugal,PT,110.89,153.79,78.9,78.9,entsoe.eu,false,
2023-01-02 23:00:00,Portugal,Portugal,PT,97.82,144.25,78.69,78.5,entsoe.eu,false,
2023-01-03 00:00:00,Portugal,Portugal,PT,89.48,137.87,78.11,76.79,entsoe.eu,false,
2023-01-03 01:00:00,Portugal,Portugal,PT,88.04,139.13,76.8,75.98,entsoe.eu,false,
2023-01-03 02:00:00,Portugal,Portugal,PT,86.37,136.87,77.27,76.4,entsoe.eu,false,
2023-01-03 03:00:00,Portugal,Portugal,PT,81.72,130.8,78.27,78.27,entsoe.eu,false,
2023-01-03 04:00:00,Portugal,Portugal,PT,82.62,131.03,78.19,78.19,entsoe.eu,false,
2023-01-03 05:00:00,Portugal,Portugal,PT,101.01,148.76,76.73,76.73,entsoe.eu,false,
2023-01-03 06:00:00,Portugal,Portugal,PT,105.29,151.06,76.86,76.86,entsoe.eu,false,
2023-01-03 07:00:00,Portugal,Portugal,PT,112.67,154.96,78.32,78.32,entsoe.eu,false,
2023-01-03 08:00:00,Portugal,Portugal,PT,115.52,155.74,79.2,79.2,entsoe.eu,false,
2023-01-03 09:00:00,Portugal,Portugal,PT,111.53,157.37,76.28,76.28,entsoe.eu,false,
2023-01-03 10:00:00,Portugal,Portugal,PT,107.13,157.23,74.3,74.3,entsoe.eu,false,
2023-01-03 11:00:00,Portugal,Portugal,PT,107.41,162.18,71.56,70.91,entsoe.eu,false,
2023-01-03 12:00:00,Portugal,Portugal,PT,111.59,167.51,70.38,69.84,entsoe.eu,false,
2023-01-03 13:00:00,Portugal,Portugal,PT,109.94,165.48,70.67,70.48,entsoe.eu,false,
2023-01-03 14:00:00,Portugal,Portugal,PT,107.2,162.26,71.34,71.34,entsoe.eu,false,
2023-01-03 15:00:00,Portugal,Portugal,PT,112.66,169.16,70.04,69.65,entsoe.eu,false,
2023-01-03 16:00:00,Portugal,Portugal,PT,134.43,186.4,70.13,70.13,entsoe.eu,false,
2023-01-03 17:00:00,Portugal,Portugal,PT,144.36,191.38,71.86,71.86,entsoe.eu,false,
2023-01-03 18:00:00,Portugal,Portugal,PT,148.96,199.09,69.17,69.17,entsoe.eu,false,
2023-01-03 19:00:00,Portugal,Portugal,PT,144.42,193.08,70.42,70.42,entsoe.eu,false,
2023-01-03 20:00:00,Portugal,Portugal,PT,142.86,193.68,69.27,69.27,entsoe.eu,false,
2023-01-03 21:00:00,Portugal,Portugal,PT,138.65,193.59,67.21,67.21,entsoe.eu,false,
2023-01-03 22:00:00,Portugal,Portugal,PT,134.6,194.12,64.82,64.51,entsoe.eu,false,
2023-01-03 23:00:00,Portugal,Portugal,PT,123.25,174.9,71.27,71.27,entsoe.eu,false,
2023-01-04 00:00:00,Portugal,Portugal,PT,97.5,143.82,77.75,77.75,entsoe.eu,false,
2023-01-04 01:00:00,Portugal,Portugal,PT,88.68,134.69,79.32,79.32,entsoe.eu,false,
2023-01-04 02:00:00,Portugal,Portugal,PT,84.3,133.9,77.59,77.59,entsoe.eu,false,
2023-01-04 03:00:00,Portugal,Portugal,PT,82.98,132.18,77.94,77.94,entsoe.eu,false,
2023-01-04 04:00:00,Portugal,Portugal,PT,80.65,129.01,78.7,78.7,entsoe.eu,false,
2023-01-04 05:00:00,Portugal,Portugal,PT,89.09,138.82,77.26,77.26,entsoe.eu,false,
2023-01-04 06:00:00,Portugal,Portugal,PT,107.31,161.99,71.72,70.5,entsoe.eu,false,
2023-01-04 07:00:00,Portugal,Portugal,PT,114.95,154.33,79.57,79.57,entsoe.eu,false,
2023-01-04 08:00:00,Portugal,Portugal,PT,113.07,151.47,80.35,80.35,entsoe.eu,false,
2023-01-04 09:00:00,Portugal,Portugal,PT,108.59,151.03,78.62,78.62,entsoe.eu,false,
2023-01-04 10:00:00,Portugal,Portugal,PT,100.43,145.07,77.93,77.93,entsoe.eu,false,
2023-01-04 11:00:00,Portugal,Portugal,PT,110.76,161.21,74.68,72.47,entsoe.eu,false,
2023-01-04 12:00:00,Portugal,Portugal,PT,107.88,159.81,74.34,70.97,entsoe.eu,false,
2023-01-04 13:00:00,Portugal,Portugal,PT,103.08,153.71,75.71,72.99,entsoe.eu,false,
2023-01-04 14:00:00,Portugal,Portugal,PT,107.51,156.62,76.2,73.36,entsoe.eu,false,
2023-01-04 15:00:00,Portugal,Portugal,PT,102.24,149.44,77.05,74.93,entsoe.eu,false,
2023-01-04 16:00:00,Portugal,Portugal,PT,117.79,163.97,75.58,75.58,entsoe.eu,false,
2023-01-04 17:00:00,Portugal,Portugal,PT,118.67,154.66,81.59,81.59,entsoe.eu,false,
2023-01-04 18:00:00,Portugal,Portugal,PT,117.71,154.0,81.55,81.55,entsoe.eu,false,
2023-01-04 19:00:00,Portugal,Portugal,PT,118.01,153.9,81.7,81.7,entsoe.eu,false,
2023-01-04 20:00:00,Portugal,Portugal,PT,124.12,164.33,78.07,78.07,entsoe.eu,false,
2023-01-04 21:00:00,Portugal,Portugal,PT,116.58,159.11,77.49,77.49,entsoe.eu,false,
2023-01-04 22:00:00,Portugal,Portugal,PT,103.36,147.77,77.74,76.56,entsoe.eu,false,
2023-01-04 23:00:00,Portugal,Portugal,PT,92.89,133.76,81.07,81.07,entsoe.eu,false,
2023-01-05 00:00:00,Portugal,Portugal,PT,68.49,108.23,84.74,84.74,entsoe.eu,false,
2023-01-05 01:00:00,Portugal,Portugal,PT,72.68,112.97,84.02,84.02,entsoe.eu,false,
2023-01-05 02:00:00,Portugal,Portugal,PT,67.1,108.04,84.31,84.31,entsoe.eu,false,
2023-01-05 03:00:00,Portugal,Portugal,PT,62.13,103.01,84.38,84.38,entsoe.eu,false,
2023-01-05 04:00:00,Portugal,Portugal,PT,70.09,110.88,83.63,83.63,entsoe.eu,false,
2023-01-05 05:00:00,Portugal,Portugal,PT,92.46,135.91,79.5,79.5,entsoe.eu,false,
2023-01-05 06:00:00,Portugal,Portugal,PT,117.6,163.19,75.16,75.16,entsoe.eu,false,
2023-01-05 07:00:00,Portugal,Portugal,PT,132.03,177.2,73.73,73.73,entsoe.eu,false,
2023-01-05 08:00:00,Portugal,Portugal,PT,142.24,188.55,72.1,72.1,entsoe.eu,false,
2023-01-05 09:00:00,Portugal,Portugal,PT,133.91,187.67,68.49,68.49,entsoe.eu,false,
2023-01-05 10:00:00,Portugal,Portugal,PT,128.6,184.08,68.19,68.19,entsoe.eu,false,
2023-01-05 11:00:00,Portugal,Portugal,PT,130.73,188.11,67.01,67.01,entsoe.eu,false,
2023-01-05 12:00:00,Portugal,Portugal,PT,120.03,174.74,70.13,70.13,entsoe.eu,false,
2023-01-05 13:00:00,Portugal,Portugal,PT,117.59,175.37,68.55,68.55,entsoe.eu,false,
2023-01-05 14:00:00,Portugal,Portugal,PT,120.11,178.52,67.98,67.63,entsoe.eu,false,
2023-01-05 15:00:00,Portugal,Portugal,PT,132.78,194.42,64.61,64.15,entsoe.eu,false,
2023-01-05 16:00:00,Portugal,Portugal,PT,153.41,209.04,65.71,65.71,entsoe.eu,false,
2023-01-05 17:00:00,Portugal,Portugal,PT,157.97,208.31,68.7,68.7,entsoe.eu,false,
2023-01-05 18:00:00,Portugal,Portugal,PT,158.82,209.61,68.28,68.28,entsoe.eu,false,
2023-01-05 19:00:00,Portugal,Portugal,PT,157.65,209.32,67.66,67.66,entsoe.eu,false,
2023-01-05 20:00:00,Portugal,Portugal,PT,158.78,209.26,67.9,67.9,entsoe.eu,false,
2023-01-05 21:00:00,Portugal,Portugal,PT,152.75,203.4,68.52,68.52,entsoe.eu,false,
2023-01-05 22:00:00,Portugal,Portugal,PT,145.27,202.53,65.65,65.65,entsoe.eu,false,
2023-01-05 23:00:00,Portugal,Portugal,PT,123.23,174.47,72.62,72.62,entsoe.eu,false,
2023-01-06 00:00:00,Portugal,Portugal,PT,102.75,147.64,79.66,79.37,entsoe.eu,false,
2023-01-06 01:00:00,Portugal,Portugal,PT,78.15,115.19,87.32,87.32,entsoe.eu,false,
2023-01-06 02:00:00,Portugal,Portugal,PT,69.01,100.34,91.93,91.93,entsoe.eu,false,
2023-01-06 03:00:00,Portugal,Portugal,PT,64.26,99.04,90.77,90.22,entsoe.eu,false,
2023-01-06 04:00:00,Portugal,Portugal,PT,68.49,99.1,91.85,91.85,entsoe.eu,false,
2023-01-06 05:00:00,Portugal,Portugal,PT,68.98,100.29,90.98,90.98,entsoe.eu,false,
2023-01-06 06:00:00,Portugal,Portugal,PT,75.42,105.32,90.77,90.77,entsoe.eu,false,
2023-01-06 07:00:00,Portugal,Portugal,PT,81.53,112.19,89.18,89.18,entsoe.eu,false,
2023-01-06 08:00:00,Portugal,Portugal,PT,89.0,121.77,86.75,85.13,entsoe.eu,false,
2023-01-06 09:00:00,Portugal,Portugal,PT,88.69,124.44,84.76,82.98,entsoe.eu,false,
2023-01-06 10:00:00,Portugal,Portugal,PT,79.18,111.93,87.73,87.24,entsoe.eu,false,
2023-01-06 11:00:00,Portugal,Portugal,PT,70.53,104.19,88.07,87.44,entsoe.eu,false,
2023-01-06 12:00:00,Portugal,Portugal,PT,69.34,104.38,87.34,85.99,entsoe.eu,false,
2023-01-06 13:00:00,Portugal,Portugal,PT,73.15,109.21,86.87,85.36,entsoe.eu,false,
2023-01-06 14:00:00,Portugal,Portugal,PT,67.06,107.44,84.99,80.67,entsoe.eu,false,
2023-01-06 15:00:00,Portugal,Portugal,PT,70.18,109.08,85.4,80.73,entsoe.eu,false,
2023-01-06 16:00:00,Portugal,Portugal,PT,92.1,130.59,83.43,81.01,entsoe.eu,false,
2023-01-06 17:00:00,Portugal,Portugal,PT,98.33,133.51,84.22,84.22,entsoe.eu,false,
2023-01-06 18:00:00,Portugal,Portugal,PT,94.99,127.8,85.51,85.51,entsoe.eu,false,
2023-01-06 19:00:00,Portugal,Portugal,PT,89.26,123.06,85.29,85.29,entsoe.eu,false,
2023-01-06 20:00:00,Portugal,Portugal,PT,78.44,110.77,86.99,86.99,entsoe.eu,false,
2023-01-06 21:00:00,Portugal,Portugal,PT,59.59,90.22,89.63,89.63,entsoe.eu,false,
2023-01-06 22:00:00,Portugal,Portugal,PT,45.07,75.51,90.99,90.99,entsoe.eu,false,
2023-01-06 23:00:00,Portugal,Portugal,PT,55.51,80.99,93.32,93.32,entsoe.eu,false,
2023-01-07 00:00:00,Portugal,Portugal,PT,37.11,59.81,97.42,97.42,entsoe.eu,false,
2023-01-07 01:00:00,Portugal,Portugal,PT,18.7,43.64,97.75,97.75,entsoe.eu,false,
2023-01-07 02:00:00,Portugal,Portugal,PT,18.59,43.45,97.78,97.78,entsoe.eu,false,
2023-01-07 03:00:00,Portugal,Portugal,PT,21.7,46.92,97.69,97.69,entsoe.eu,false,
2023-01-07 04:00:00,Portugal,Portugal,PT,17.71,43.81,97.63,97.63,entsoe.eu,false,
2023-01-07 05:00:00,Portugal,Portugal,PT,16.74,42.79,97.65,97.65,entsoe.eu,false,
2023-01-07 06:00:00,Portugal,Portugal,PT,17.12,42.38,97.76,97.76,entsoe.eu,false,
2023-01-07 07:00:00,Portugal,Portugal,PT,22.98,47.16,96.97,96.97,entsoe.eu,false,
2023-01-07 08:00:00,Portugal,Portugal,PT,25.09,48.6,97.09,97.09,entsoe.eu,false,
2023-01-07 09:00:00,Portugal,Portugal,PT,23.62,47.42,97.08,97.08,entsoe.eu,false,
2023-01-07 10:00:00,Portugal,Portugal,PT,21.63,46.02,97.02,97.02,entsoe.eu,false,
2023-01-07 11:00:00,Portugal,Portugal,PT,14.68,39.99,96.97,96.97,entsoe.eu,false,
2023-01-07 12:00:00,Portugal,Portugal,PT,12.25,38.23,96.89,96.89,entsoe.eu,false,
2023-01-07 13:00:00,Portugal,Portugal,PT,13.22,39.12,96.83,96.83,entsoe.eu,false,
2023-01-07 14:00:00,Portugal,Portugal,PT,12.5,38.44,96.83,96.83,entsoe.eu,false,
2023-01-07 15:00:00,Portugal,Portugal,PT,12.59,38.2,96.8,96.8,entsoe.eu,false,
2023-01-07 16:00:00,Portugal,Portugal,PT,32.22,55.16,96.68,96.68,entsoe.eu,false,
2023-01-07 17:00:00,Portugal,Portugal,PT,43.66,69.55,93.89,93.89,entsoe.eu,false,
2023-01-07 18:00:00,Portugal,Portugal,PT,63.02,85.86,93.96,93.96,entsoe.eu,false,
2023-01-07 19:00:00,Portugal,Portugal,PT,63.34,86.9,93.72,93.72,entsoe.eu,false,
2023-01-07 20:00:00,Portugal,Portugal,PT,65.33,89.07,93.66,93.66,entsoe.eu,false,
2023-01-07 21:00:00,Portugal,Portugal,PT,48.42,75.05,93.77,93.77,entsoe.eu,false,
2023-01-07 22:00:00,Portugal,Portugal,PT,29.66,55.37,96.24,96.24,entsoe.eu,false,
2023-01-07 23:00:00,Portugal,Portugal,PT,14.83,43.72,96.23,96.23,entsoe.eu,false,
2023-01-08 00:00:00,Portugal,Portugal,PT,10.27,37.84,97.45,97.45,entsoe.eu,false,
2023-01-08 01:00:00,Portugal,Portugal,PT,10.52,38.58,97.39,97.39,entsoe.eu,false,
2023-01-08 02:00:00,Portugal,Portugal,PT,10.08,37.6,97.5,97.5,entsoe.eu,false,
2023-01-08 03:00:00,Portugal,Portugal,PT,10.21,37.93,97.47,97.47,entsoe.eu,false,
