Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Romania,Romania,RO,294.66,340.11,61.88,34.53,entsoe.eu,false,
2023-01-01 01:00:00,Romania,Romania,RO,287.21,332.06,62.85,35.63,entsoe.eu,false,
2023-01-01 02:00:00,Romania,Romania,RO,299.9,346.07,61.3,32.15,entsoe.eu,false,
2023-01-01 03:00:00,Romania,Romania,RO,318.72,367.59,58.71,29.13,entsoe.eu,false,
2023-01-01 04:00:00,Romania,Romania,RO,318.06,366.74,58.85,29.38,entsoe.eu,false,
2023-01-01 05:00:00,Romania,Romania,RO,311.73,359.27,59.78,29.8,entsoe.eu,false,
2023-01-01 06:00:00,Romania,Romania,RO,312.39,360.21,59.74,29.83,entsoe.eu,false,
2023-01-01 07:00:00,Romania,Romania,RO,314.85,364.55,59.14,31.79,entsoe.eu,false,
2023-01-01 08:00:00,Romania,Romania,RO,311.68,361.76,59.56,32.51,entsoe.eu,false,
2023-01-01 09:00:00,Romania,Romania,RO,310.4,360.45,59.81,31.82,entsoe.eu,false,
2023-01-01 10:00:00,Romania,Romania,RO,317.08,368.61,58.79,31.87,entsoe.eu,false,
2023-01-01 11:00:00,Romania,Romania,RO,320.43,371.89,58.37,30.52,entsoe.eu,false,
2023-01-01 12:00:00,Romania,Romania,RO,329.8,381.74,57.18,28.27,entsoe.eu,false,
2023-01-01 13:00:00,Romania,Romania,RO,326.49,376.64,57.66,28.06,entsoe.eu,false,
2023-01-01 14:00:00,Romania,Romania,RO,306.28,353.35,60.29,32.18,entsoe.eu,false,
2023-01-01 15:00:00,Romania,Romania,RO,294.45,338.39,61.96,33.47,entsoe.eu,false,
2023-01-01 16:00:00,Romania,Romania,RO,277.18,319.56,64.17,37.68,entsoe.eu,false,
2023-01-01 17:00:00,Romania,Romania,RO,275.73,318.35,64.32,38.36,entsoe.eu,false,
2023-01-01 18:00:00,Romania,Romania,RO,277.83,320.54,64.15,37.87,entsoe.eu,false,
2023-01-01 19:00:00,Romania,Romania,RO,275.15,317.54,64.45,38.29,entsoe.eu,false,
2023-01-01 20:00:00,Romania,Romania,RO,278.22,321.76,63.95,38.26,entsoe.eu,false,
2023-01-01 21:00:00,Romania,Romania,RO,292.93,338.78,61.96,35.82,entsoe.eu,false,
2023-01-01 22:00:00,Romania,Romania,RO,310.71,358.66,59.55,31.78,entsoe.eu,false,
2023-01-01 23:00:00,Romania,Romania,RO,319.55,368.47,58.53,31.05,entsoe.eu,false,
2023-01-02 00:00:00,Romania,Romania,RO,322.97,372.52,58.22,31.56,entsoe.eu,false,
2023-01-02 01:00:00,Romania,Romania,RO,320.45,369.97,58.5,32.08,entsoe.eu,false,
2023-01-02 02:00:00,Romania,Romania,RO,325.85,376.21,57.75,31.42,entsoe.eu,false,
2023-01-02 03:00:00,Romania,Romania,RO,326.07,376.25,57.76,30.8,entsoe.eu,false,
2023-01-02 04:00:00,Romania,Romania,RO,325.18,375.15,57.78,30.91,entsoe.eu,false,
2023-01-02 05:00:00,Romania,Romania,RO,306.11,354.25,60.09,35.43,entsoe.eu,false,
2023-01-02 06:00:00,Romania,Romania,RO,315.28,366.65,57.88,35.14,entsoe.eu,false,
2023-01-02 07:00:00,Romania,Romania,RO,316.82,368.62,57.97,35.87,entsoe.eu,false,
2023-01-02 08:00:00,Romania,Romania,RO,306.64,358.5,58.96,37.2,entsoe.eu,false,
2023-01-02 09:00:00,Romania,Romania,RO,292.9,343.81,60.5,38.46,entsoe.eu,false,
2023-01-02 10:00:00,Romania,Romania,RO,291.87,342.6,60.9,38.78,entsoe.eu,false,
2023-01-02 11:00:00,Romania,Romania,RO,305.24,357.13,59.16,35.56,entsoe.eu,false,
2023-01-02 12:00:00,Romania,Romania,RO,309.89,362.14,58.5,34.8,entsoe.eu,false,
2023-01-02 13:00:00,Romania,Romania,RO,312.46,363.8,58.22,33.42,entsoe.eu,false,
2023-01-02 14:00:00,Romania,Romania,RO,313.08,363.73,58.07,32.75,entsoe.eu,false,
2023-01-02 15:00:00,Romania,Romania,RO,305.5,354.82,58.95,34.07,entsoe.eu,false,
2023-01-02 16:00:00,Romania,Romania,RO,285.75,332.62,61.57,38.04,entsoe.eu,false,
2023-01-02 17:00:00,Romania,Romania,RO,281.39,328.18,62.03,39.2,entsoe.eu,false,
2023-01-02 18:00:00,Romania,Romania,RO,276.11,322.35,62.77,40.26,entsoe.eu,false,
2023-01-02 19:00:00,Romania,Romania,RO,270.27,315.07,64.14,41.77,entsoe.eu,false,
2023-01-02 20:00:00,Romania,Romania,RO,276.94,321.9,63.54,40.28,entsoe.eu,false,
2023-01-02 21:00:00,Romania,Romania,RO,292.04,338.81,61.25,36.32,entsoe.eu,false,
2023-01-02 22:00:00,Romania,Romania,RO,308.3,357.31,58.98,33.08,entsoe.eu,false,
2023-01-02 23:00:00,Romania,Romania,RO,301.77,348.72,60.77,34.01,entsoe.eu,false,
2023-01-03 00:00:00,Romania,Romania,RO,305.93,353.65,60.17,33.31,entsoe.eu,false,
2023-01-03 01:00:00,Romania,Romania,RO,311.3,360.04,59.42,32.69,entsoe.eu,false,
2023-01-03 02:00:00,Romania,Romania,RO,324.7,374.55,58.02,31.28,entsoe.eu,false,
2023-01-03 03:00:00,Romania,Romania,RO,326.56,376.08,57.89,30.92,entsoe.eu,false,
2023-01-03 04:00:00,Romania,Romania,RO,314.79,361.91,59.39,31.98,entsoe.eu,false,
2023-01-03 05:00:00,Romania,Romania,RO,275.23,317.6,64.29,38.64,entsoe.eu,false,
2023-01-03 06:00:00,Romania,Romania,RO,266.67,309.42,64.99,41.35,entsoe.eu,false,
2023-01-03 07:00:00,Romania,Romania,RO,260.57,303.16,66.0,43.4,entsoe.eu,false,
2023-01-03 08:00:00,Romania,Romania,RO,259.25,301.98,66.39,44.28,entsoe.eu,false,
