Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Serbia,Serbia,RS,420.85,467.43,43.15,30.82,entsoe.eu,false,
2023-01-01 01:00:00,Serbia,Serbia,RS,428.57,475.74,42.02,30.45,entsoe.eu,false,
2023-01-01 02:00:00,Serbia,Serbia,RS,453.54,502.9,38.43,26.98,entsoe.eu,false,
2023-01-01 03:00:00,Serbia,Serbia,RS,456.83,506.66,37.61,28.05,entsoe.eu,false,
2023-01-01 04:00:00,Serbia,Serbia,RS,439.97,488.07,39.9,31.26,entsoe.eu,false,
2023-01-01 05:00:00,Serbia,Serbia,RS,450.29,499.49,38.39,29.34,entsoe.eu,false,
2023-01-01 06:00:00,Serbia,Serbia,RS,448.65,497.21,38.67,30.8,entsoe.eu,false,
2023-01-01 07:00:00,Serbia,Serbia,RS,424.01,470.47,42.18,34.44,entsoe.eu,false,
2023-01-01 08:00:00,Serbia,Serbia,RS,402.01,446.76,45.37,36.84,entsoe.eu,false,
2023-01-01 09:00:00,Serbia,Serbia,RS,382.58,425.87,48.18,38.65,entsoe.eu,false,
2023-01-01 10:00:00,Serbia,Serbia,RS,384.95,428.61,47.97,38.28,entsoe.eu,false,
2023-01-01 11:00:00,Serbia,Serbia,RS,393.02,437.49,46.79,36.67,entsoe.eu,false,
2023-01-01 12:00:00,Serbia,Serbia,RS,397.48,442.28,46.03,36.17,entsoe.eu,false,
2023-01-01 13:00:00,Serbia,Serbia,RS,393.75,438.5,46.24,36.1,entsoe.eu,false,
2023-01-01 14:00:00,Serbia,Serbia,RS,390.29,434.99,46.46,36.89,entsoe.eu,false,
2023-01-01 15:00:00,Serbia,Serbia,RS,377.91,421.04,48.26,39.25,entsoe.eu,false,
2023-01-01 16:00:00,Serbia,Serbia,RS,376.69,418.64,48.75,40.16,entsoe.eu,false,
2023-01-01 17:00:00,Serbia,Serbia,RS,397.73,441.31,45.95,37.45,entsoe.eu,false,
2023-01-01 18:00:00,Serbia,Serbia,RS,397.13,440.19,46.24,37.51,entsoe.eu,false,
2023-01-01 19:00:00,Serbia,Serbia,RS,397.52,441.25,46.07,36.96,entsoe.eu,false,
