Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Russia,Europe-Ural,RU-1,397.56,362.01,30.91,2.54,so-ups.ru,false,
2023-01-01 01:00:00,Russia,Europe-Ural,RU-1,397.24,361.64,30.97,2.47,so-ups.ru,false,
2023-01-01 02:00:00,Russia,Europe-Ural,RU-1,396.86,361.65,31.03,2.62,so-ups.ru,false,
2023-01-01 03:00:00,Russia,Europe-Ural,RU-1,395.29,360.43,31.31,3.08,so-ups.ru,false,
2023-01-01 04:00:00,Russia,Europe-Ural,RU-1,394.33,359.62,31.47,3.41,so-ups.ru,false,
2023-01-01 05:00:00,Russia,Europe-Ural,RU-1,388.91,355.18,32.41,4.73,so-ups.ru,false,
2023-01-01 06:00:00,Russia,Europe-Ural,RU-1,389.25,355.37,32.34,4.89,so-ups.ru,false,
2023-01-01 07:00:00,Russia,Europe-Ural,RU-1,391.17,357.13,32.01,4.89,so-ups.ru,false,
2023-01-01 08:00:00,Russia,Europe-Ural,RU-1,390.45,356.43,32.12,5.02,so-ups.ru,false,
2023-01-01 09:00:00,Russia,Europe-Ural,RU-1,390.59,356.38,32.08,5.03,so-ups.ru,false,
2023-01-01 10:00:00,Russia,Europe-Ural,RU-1,391.09,356.61,32.0,5.04,so-ups.ru,false,
2023-01-01 11:00:00,Russia,Europe-Ural,RU-1,387.41,353.55,32.62,5.79,so-ups.ru,false,
2023-01-01 12:00:00,Russia,Europe-Ural,RU-1,387.89,353.91,32.54,5.96,so-ups.ru,false,
2023-01-01 13:00:00,Russia,Europe-Ural,RU-1,381.19,348.15,33.7,7.64,so-ups.ru,false,
2023-01-01 14:00:00,Russia,Europe-Ural,RU-1,379.35,346.57,34.03,8.02,so-ups.ru,false,
2023-01-01 15:00:00,Russia,Europe-Ural,RU-1,378.01,345.33,34.29,8.25,so-ups.ru,false,
2023-01-01 16:00:00,Russia,Europe-Ural,RU-1,381.73,348.54,33.66,7.39,so-ups.ru,false,
2023-01-01 17:00:00,Russia,Europe-Ural,RU-1,381.88,348.78,33.63,7.28,so-ups.ru,false,
2023-01-01 18:00:00,Russia,Europe-Ural,RU-1,387.63,353.76,32.64,5.87,so-ups.ru,false,
2023-01-01 19:00:00,Russia,Europe-Ural,RU-1,388.09,354.1,32.56,5.24,so-ups.ru,false,
2023-01-01 20:00:00,Russia,Europe-Ural,RU-1,388.47,354.42,32.48,4.48,so-ups.ru,false,
2023-01-01 21:00:00,Russia,Europe-Ural,RU-1,393.57,358.81,31.6,3.13,so-ups.ru,false,
2023-01-01 22:00:00,Russia,Europe-Ural,RU-1,393.82,359.16,31.55,2.57,so-ups.ru,false,
2023-01-01 23:00:00,Russia,Europe-Ural,RU-1,392.18,357.86,31.86,2.56,so-ups.ru,false,
2023-01-02 00:00:00,Russia,Europe-Ural,RU-1,392.58,358.34,31.8,2.55,so-ups.ru,false,
2023-01-02 01:00:00,Russia,Europe-Ural,RU-1,394.21,359.7,31.52,2.51,so-ups.ru,false,
2023-01-02 02:00:00,Russia,Europe-Ural,RU-1,392.9,358.51,31.74,3.15,so-ups.ru,false,
2023-01-02 03:00:00,Russia,Europe-Ural,RU-1,388.59,354.8,32.46,4.39,so-ups.ru,false,
2023-01-02 04:00:00,Russia,Europe-Ural,RU-1,390.91,356.99,32.07,4.57,so-ups.ru,false,
2023-01-02 05:00:00,Russia,Europe-Ural,RU-1,393.5,359.31,31.66,4.76,so-ups.ru,false,
2023-01-02 06:00:00,Russia,Europe-Ural,RU-1,395.66,361.26,31.29,4.93,so-ups.ru,false,
2023-01-02 07:00:00,Russia,Europe-Ural,RU-1,395.85,361.38,31.25,5.12,so-ups.ru,false,
2023-01-02 08:00:00,Russia,Europe-Ural,RU-1,394.84,360.34,31.37,5.3,so-ups.ru,false,
2023-01-02 09:00:00,Russia,Europe-Ural,RU-1,394.2,359.66,31.47,5.31,so-ups.ru,false,
2023-01-02 10:00:00,Russia,Europe-Ural,RU-1,394.55,359.8,31.4,5.21,so-ups.ru,false,
2023-01-02 11:00:00,Russia,Europe-Ural,RU-1,391.78,357.37,31.9,5.83,so-ups.ru,false,
2023-01-02 12:00:00,Russia,Europe-Ural,RU-1,390.46,356.27,32.11,6.23,so-ups.ru,false,
2023-01-02 13:00:00,Russia,Europe-Ural,RU-1,384.65,351.38,33.1,7.68,so-ups.ru,false,
2023-01-02 14:00:00,Russia,Europe-Ural,RU-1,381.41,348.61,33.66,8.32,so-ups.ru,false,
2023-01-02 15:00:00,Russia,Europe-Ural,RU-1,382.82,349.88,33.51,8.12,so-ups.ru,false,
2023-01-02 16:00:00,Russia,Europe-Ural,RU-1,386.62,352.98,32.85,7.24,so-ups.ru,false,
2023-01-02 17:00:00,Russia,Europe-Ural,RU-1,389.3,355.13,32.35,6.46,so-ups.ru,false,
2023-01-02 18:00:00,Russia,Europe-Ural,RU-1,388.64,354.53,32.41,6.15,so-ups.ru,false,
2023-01-02 19:00:00,Russia,Europe-Ural,RU-1,392.6,358.13,31.78,4.85,so-ups.ru,false,
2023-01-02 20:00:00,Russia,Europe-Ural,RU-1,390.27,356.0,32.2,4.6,so-ups.ru,false,
2023-01-02 21:00:00,Russia,Europe-Ural,RU-1,394.86,360.07,31.39,3.25,so-ups.ru,false,
2023-01-02 22:00:00,Russia,Europe-Ural,RU-1,396.65,361.84,31.09,2.53,so-ups.ru,false,
2023-01-02 23:00:00,Russia,Europe-Ural,RU-1,394.88,360.32,31.36,2.55,so-ups.ru,false,
2023-01-03 00:00:00,Russia,Europe-Ural,RU-1,394.45,359.77,31.42,2.53,so-ups.ru,false,
2023-01-03 01:00:00,Russia,Europe-Ural,RU-1,396.31,361.51,31.13,2.5,so-ups.ru,false,
2023-01-03 02:00:00,Russia,Europe-Ural,RU-1,395.51,360.8,31.27,3.17,so-ups.ru,false,
2023-01-03 03:00:00,Russia,Europe-Ural,RU-1,391.42,357.4,31.98,4.52,so-ups.ru,false,
2023-01-03 04:00:00,Russia,Europe-Ural,RU-1,394.02,359.69,31.5,4.66,so-ups.ru,false,
2023-01-03 05:00:00,Russia,Europe-Ural,RU-1,396.64,361.84,31.06,4.86,so-ups.ru,false,
2023-01-03 06:00:00,Russia,Europe-Ural,RU-1,398.42,363.41,30.74,5.17,so-ups.ru,false,
2023-01-03 07:00:00,Russia,Europe-Ural,RU-1,396.18,361.28,31.11,5.83,so-ups.ru,false,
2023-01-03 08:00:00,Russia,Europe-Ural,RU-1,396.7,361.86,31.03,5.75,so-ups.ru,false,
2023-01-03 09:00:00,Russia,Europe-Ural,RU-1,396.37,361.36,31.07,5.75,so-ups.ru,false,
2023-01-03 10:00:00,Russia,Europe-Ural,RU-1,394.68,360.01,31.35,6.12,so-ups.ru,false,
2023-01-03 11:00:00,Russia,Europe-Ural,RU-1,393.6,359.1,31.51,6.4,so-ups.ru,false,
2023-01-03 12:00:00,Russia,Europe-Ural,RU-1,390.27,356.16,32.1,7.07,so-ups.ru,false,
2023-01-03 13:00:00,Russia,Europe-Ural,RU-1,384.77,351.49,33.07,8.52,so-ups.ru,false,
2023-01-03 14:00:00,Russia,Europe-Ural,RU-1,383.35,350.41,33.32,8.83,so-ups.ru,false,
2023-01-03 15:00:00,Russia,Europe-Ural,RU-1,386.1,352.66,32.87,8.06,so-ups.ru,false,
2023-01-03 16:00:00,Russia,Europe-Ural,RU-1,388.71,354.81,32.42,7.42,so-ups.ru,false,
2023-01-03 17:00:00,Russia,Europe-Ural,RU-1,393.18,358.47,31.64,6.24,so-ups.ru,false,
2023-01-03 18:00:00,Russia,Europe-Ural,RU-1,393.33,358.54,31.63,5.75,so-ups.ru,false,
2023-01-03 19:00:00,Russia,Europe-Ural,RU-1,395.18,360.39,31.35,4.86,so-ups.ru,false,
2023-01-03 20:00:00,Russia,Europe-Ural,RU-1,390.44,356.28,32.17,4.87,so-ups.ru,false,
2023-01-03 21:00:00,Russia,Europe-Ural,RU-1,397.11,361.98,31.0,3.1,so-ups.ru,false,
