Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Russia,East,RU-AS,425.86,515.04,25.94,25.94,so-ups.ru,false,
2023-01-01 01:00:00,Russia,East,RU-AS,430.8,520.73,25.08,25.08,so-ups.ru,false,
2023-01-01 02:00:00,Russia,East,RU-AS,425.42,514.53,26.01,26.01,so-ups.ru,false,
2023-01-01 03:00:00,Russia,East,RU-AS,424.42,513.37,26.19,26.19,so-ups.ru,false,
2023-01-01 04:00:00,Russia,East,RU-AS,411.72,498.73,28.4,28.4,so-ups.ru,false,
2023-01-01 05:00:00,Russia,East,RU-AS,407.44,493.79,29.14,29.14,so-ups.ru,false,
2023-01-01 06:00:00,Russia,East,RU-AS,406.52,492.73,29.3,29.3,so-ups.ru,false,
2023-01-01 07:00:00,Russia,East,RU-AS,400.61,485.92,30.33,30.33,so-ups.ru,false,
2023-01-01 08:00:00,Russia,East,RU-AS,410.68,497.54,28.58,28.58,so-ups.ru,false,
2023-01-01 09:00:00,Russia,East,RU-AS,412.35,499.46,28.29,28.29,so-ups.ru,false,
2023-01-01 10:00:00,Russia,East,RU-AS,416.26,503.97,27.61,27.61,so-ups.ru,false,
2023-01-01 11:00:00,Russia,East,RU-AS,410.14,496.91,28.67,28.67,so-ups.ru,false,
2023-01-01 12:00:00,Russia,East,RU-AS,410.0,496.75,28.7,28.7,so-ups.ru,false,
2023-01-01 13:00:00,Russia,East,RU-AS,392.99,477.14,31.65,31.65,so-ups.ru,false,
2023-01-01 14:00:00,Russia,East,RU-AS,379.5,461.58,34.0,34.0,so-ups.ru,false,
2023-01-01 15:00:00,Russia,East,RU-AS,364.32,444.07,36.64,36.64,so-ups.ru,false,
2023-01-01 16:00:00,Russia,East,RU-AS,366.01,446.02,36.35,36.35,so-ups.ru,false,
2023-01-01 17:00:00,Russia,East,RU-AS,367.89,448.19,36.02,36.02,so-ups.ru,false,
2023-01-01 18:00:00,Russia,East,RU-AS,370.89,451.66,35.5,35.5,so-ups.ru,false,
2023-01-01 19:00:00,Russia,East,RU-AS,374.9,456.28,34.8,34.8,so-ups.ru,false,
2023-01-01 20:00:00,Russia,East,RU-AS,380.08,462.24,33.9,33.9,so-ups.ru,false,
2023-01-01 21:00:00,Russia,East,RU-AS,343.88,420.51,40.19,40.19,so-ups.ru,false,
2023-01-01 22:00:00,Russia,East,RU-AS,357.77,436.52,37.78,37.78,so-ups.ru,false,
2023-01-01 23:00:00,Russia,East,RU-AS,371.05,451.84,35.47,35.47,so-ups.ru,false,
2023-01-02 00:00:00,Russia,East,RU-AS,372.62,453.64,35.2,35.2,so-ups.ru,false,
2023-01-02 01:00:00,Russia,East,RU-AS,371.63,452.5,35.37,35.37,so-ups.ru,false,
2023-01-02 02:00:00,Russia,East,RU-AS,369.57,450.13,35.73,35.73,so-ups.ru,false,
2023-01-02 03:00:00,Russia,East,RU-AS,366.32,446.38,36.29,36.29,so-ups.ru,false,
2023-01-02 04:00:00,Russia,East,RU-AS,352.84,430.83,38.64,38.64,so-ups.ru,false,
2023-01-02 05:00:00,Russia,East,RU-AS,347.61,424.81,39.55,39.55,so-ups.ru,false,
2023-01-02 06:00:00,Russia,East,RU-AS,343.87,420.5,40.2,40.2,so-ups.ru,false,
2023-01-02 07:00:00,Russia,East,RU-AS,343.27,419.81,40.3,40.3,so-ups.ru,false,
2023-01-02 08:00:00,Russia,East,RU-AS,352.8,430.8,38.64,38.64,so-ups.ru,false,
2023-01-02 09:00:00,Russia,East,RU-AS,352.98,431.0,38.61,38.61,so-ups.ru,false,
2023-01-02 10:00:00,Russia,East,RU-AS,353.08,431.11,38.6,38.6,so-ups.ru,false,
2023-01-02 11:00:00,Russia,East,RU-AS,355.52,433.93,38.17,38.17,so-ups.ru,false,
2023-01-02 12:00:00,Russia,East,RU-AS,354.21,432.41,38.4,38.4,so-ups.ru,false,
2023-01-02 13:00:00,Russia,East,RU-AS,341.54,417.81,40.6,40.6,so-ups.ru,false,
2023-01-02 14:00:00,Russia,East,RU-AS,328.48,402.75,42.87,42.87,so-ups.ru,false,
2023-01-02 15:00:00,Russia,East,RU-AS,320.05,393.03,44.34,44.34,so-ups.ru,false,
2023-01-02 16:00:00,Russia,East,RU-AS,318.44,391.18,44.62,44.62,so-ups.ru,false,
2023-01-02 17:00:00,Russia,East,RU-AS,323.16,396.62,43.8,43.8,so-ups.ru,false,
2023-01-02 18:00:00,Russia,East,RU-AS,324.03,397.63,43.65,43.65,so-ups.ru,false,
2023-01-02 19:00:00,Russia,East,RU-AS,324.98,398.71,43.48,43.48,so-ups.ru,false,
2023-01-02 20:00:00,Russia,East,RU-AS,329.57,404.01,42.68,42.68,so-ups.ru,false,
2023-01-02 21:00:00,Russia,East,RU-AS,368.1,448.43,35.98,35.98,so-ups.ru,false,
2023-01-02 22:00:00,Russia,East,RU-AS,385.21,468.16,33.01,33.01,so-ups.ru,false,
2023-01-02 23:00:00,Russia,East,RU-AS,399.48,484.62,30.52,30.52,so-ups.ru,false,
2023-01-03 00:00:00,Russia,East,RU-AS,393.94,478.23,31.49,31.49,so-ups.ru,false,
2023-01-03 01:00:00,Russia,East,RU-AS,401.97,487.49,30.09,30.09,so-ups.ru,false,
2023-01-03 02:00:00,Russia,East,RU-AS,398.23,483.18,30.74,30.74,so-ups.ru,false,
2023-01-03 03:00:00,Russia,East,RU-AS,397.36,482.17,30.89,30.89,so-ups.ru,false,
2023-01-03 04:00:00,Russia,East,RU-AS,385.39,468.38,32.98,32.98,so-ups.ru,false,
2023-01-03 05:00:00,Russia,East,RU-AS,371.78,452.67,35.34,35.34,so-ups.ru,false,
2023-01-03 06:00:00,Russia,East,RU-AS,371.46,452.31,35.4,35.4,so-ups.ru,false,
2023-01-03 07:00:00,Russia,East,RU-AS,364.84,444.68,36.55,36.55,so-ups.ru,false,
2023-01-03 08:00:00,Russia,East,RU-AS,373.35,454.49,35.07,35.07,so-ups.ru,false,
2023-01-03 09:00:00,Russia,East,RU-AS,381.74,464.16,33.61,33.61,so-ups.ru,false,
2023-01-03 10:00:00,Russia,East,RU-AS,385.14,468.09,33.02,33.02,so-ups.ru,false,
2023-01-03 11:00:00,Russia,East,RU-AS,385.91,468.97,32.88,32.88,so-ups.ru,false,
2023-01-03 12:00:00,Russia,East,RU-AS,386.35,469.48,32.81,32.81,so-ups.ru,false,
2023-01-03 13:00:00,Russia,East,RU-AS,375.51,456.98,34.69,34.69,so-ups.ru,false,
2023-01-03 14:00:00,Russia,East,RU-AS,357.64,436.38,37.8,37.8,so-ups.ru,false,
2023-01-03 15:00:00,Russia,East,RU-AS,342.59,419.02,40.42,40.42,so-ups.ru,false,
2023-01-03 16:00:00,Russia,East,RU-AS,343.54,420.11,40.25,40.25,so-ups.ru,false,
2023-01-03 17:00:00,Russia,East,RU-AS,344.36,421.06,40.11,40.11,so-ups.ru,false,
2023-01-03 18:00:00,Russia,East,RU-AS,348.53,425.87,39.39,39.39,so-ups.ru,false,
2023-01-03 19:00:00,Russia,East,RU-AS,354.17,432.37,38.41,38.41,so-ups.ru,false,
2023-01-03 20:00:00,Russia,East,RU-AS,363.78,443.45,36.73,36.73,so-ups.ru,false,
2023-01-03 21:00:00,Russia,East,RU-AS,374.12,455.38,34.94,34.94,so-ups.ru,false,
2023-01-03 22:00:00,Russia,East,RU-AS,391.09,474.94,31.99,31.99,so-ups.ru,false,
2023-01-03 23:00:00,Russia,East,RU-AS,410.52,497.35,28.6,28.6,so-ups.ru,false,
2023-01-04 00:00:00,Russia,East,RU-AS,412.95,500.15,28.18,28.18,so-ups.ru,false,
2023-01-04 01:00:00,Russia,East,RU-AS,416.24,503.95,27.61,27.61,so-ups.ru,false,
2023-01-04 02:00:00,Russia,East,RU-AS,393.97,478.27,31.48,31.48,so-ups.ru,false,
2023-01-04 03:00:00,Russia,East,RU-AS,398.38,483.35,30.72,30.72,so-ups.ru,false,
2023-01-04 04:00:00,Russia,East,RU-AS,384.04,466.82,33.21,33.21,so-ups.ru,false,
2023-01-04 05:00:00,Russia,East,RU-AS,377.17,458.89,34.41,34.41,so-ups.ru,false,
2023-01-04 06:00:00,Russia,East,RU-AS,370.16,450.81,35.63,35.63,so-ups.ru,false,
2023-01-04 07:00:00,Russia,East,RU-AS,362.13,441.55,37.02,37.02,so-ups.ru,false,
2023-01-04 08:00:00,Russia,East,RU-AS,376.77,458.44,34.47,34.47,so-ups.ru,false,
2023-01-04 09:00:00,Russia,East,RU-AS,382.99,465.61,33.39,33.39,so-ups.ru,false,
2023-01-04 10:00:00,Russia,East,RU-AS,379.27,461.32,34.04,34.04,so-ups.ru,false,
2023-01-04 11:00:00,Russia,East,RU-AS,387.61,470.93,32.59,32.59,so-ups.ru,false,
2023-01-04 12:00:00,Russia,East,RU-AS,387.85,471.21,32.55,32.55,so-ups.ru,false,
2023-01-04 13:00:00,Russia,East,RU-AS,370.89,451.65,35.5,35.5,so-ups.ru,false,
2023-01-04 14:00:00,Russia,East,RU-AS,357.2,435.87,37.88,37.88,so-ups.ru,false,
2023-01-04 15:00:00,Russia,East,RU-AS,338.09,413.83,41.2,41.2,so-ups.ru,false,
2023-01-04 16:00:00,Russia,East,RU-AS,338.84,414.69,41.07,41.07,so-ups.ru,false,
2023-01-04 17:00:00,Russia,East,RU-AS,343.83,420.45,40.2,40.2,so-ups.ru,false,
2023-01-04 18:00:00,Russia,East,RU-AS,343.11,419.62,40.33,40.33,so-ups.ru,false,
2023-01-04 19:00:00,Russia,East,RU-AS,345.84,422.77,39.85,39.85,so-ups.ru,false,
2023-01-04 20:00:00,Russia,East,RU-AS,354.22,432.43,38.4,38.4,so-ups.ru,false,
2023-01-04 21:00:00,Russia,East,RU-AS,367.28,447.49,36.13,36.13,so-ups.ru,false,
2023-01-04 22:00:00,Russia,East,RU-AS,372.7,453.73,35.18,35.18,so-ups.ru,false,
2023-01-04 23:00:00,Russia,East,RU-AS,396.83,481.56,30.99,30.99,so-ups.ru,false,
2023-01-05 00:00:00,Russia,East,RU-AS,391.89,475.87,31.84,31.84,so-ups.ru,false,
2023-01-05 01:00:00,Russia,East,RU-AS,392.24,476.27,31.79,31.79,so-ups.ru,false,
2023-01-05 02:00:00,Russia,East,RU-AS,392.51,476.58,31.74,31.74,so-ups.ru,false,
2023-01-05 03:00:00,Russia,East,RU-AS,389.42,473.02,32.27,32.27,so-ups.ru,false,
2023-01-05 04:00:00,Russia,East,RU-AS,370.94,451.71,35.49,35.49,so-ups.ru,false,
2023-01-05 05:00:00,Russia,East,RU-AS,368.0,448.32,36.0,36.0,so-ups.ru,false,
2023-01-05 06:00:00,Russia,East,RU-AS,363.05,442.61,36.86,36.86,so-ups.ru,false,
2023-01-05 07:00:00,Russia,East,RU-AS,358.92,437.85,37.58,37.58,so-ups.ru,false,
2023-01-05 08:00:00,Russia,East,RU-AS,370.55,451.26,35.56,35.56,so-ups.ru,false,
2023-01-05 09:00:00,Russia,East,RU-AS,377.76,459.57,34.3,34.3,so-ups.ru,false,
2023-01-05 10:00:00,Russia,East,RU-AS,372.98,454.06,35.13,35.13,so-ups.ru,false,
2023-01-05 11:00:00,Russia,East,RU-AS,381.42,463.79,33.67,33.67,so-ups.ru,false,
2023-01-05 12:00:00,Russia,East,RU-AS,378.38,460.29,34.2,34.2,so-ups.ru,false,
2023-01-05 13:00:00,Russia,East,RU-AS,372.4,453.39,35.24,35.24,so-ups.ru,false,
2023-01-05 14:00:00,Russia,East,RU-AS,353.36,431.44,38.55,38.55,so-ups.ru,false,
2023-01-05 15:00:00,Russia,East,RU-AS,342.4,418.81,40.45,40.45,so-ups.ru,false,
2023-01-05 16:00:00,Russia,East,RU-AS,347.64,424.85,39.54,39.54,so-ups.ru,false,
2023-01-05 17:00:00,Russia,East,RU-AS,347.07,424.18,39.64,39.64,so-ups.ru,false,
2023-01-05 18:00:00,Russia,East,RU-AS,349.43,426.91,39.23,39.23,so-ups.ru,false,
2023-01-05 19:00:00,Russia,East,RU-AS,350.91,428.62,38.97,38.97,so-ups.ru,false,
2023-01-05 20:00:00,Russia,East,RU-AS,359.57,438.6,37.47,37.47,so-ups.ru,false,
2023-01-05 21:00:00,Russia,East,RU-AS,359.86,438.93,37.42,37.42,so-ups.ru,false,
2023-01-05 22:00:00,Russia,East,RU-AS,376.91,458.6,34.45,34.45,so-ups.ru,false,
2023-01-05 23:00:00,Russia,East,RU-AS,396.3,480.95,31.08,31.08,so-ups.ru,false,
2023-01-06 00:00:00,Russia,East,RU-AS,401.23,486.63,30.22,30.22,so-ups.ru,false,
2023-01-06 01:00:00,Russia,East,RU-AS,399.31,484.42,30.56,30.56,so-ups.ru,false,
2023-01-06 02:00:00,Russia,East,RU-AS,396.43,481.1,31.06,31.06,so-ups.ru,false,
2023-01-06 03:00:00,Russia,East,RU-AS,395.21,479.69,31.27,31.27,so-ups.ru,false,
2023-01-06 04:00:00,Russia,East,RU-AS,374.63,455.96,34.85,34.85,so-ups.ru,false,
2023-01-06 05:00:00,Russia,East,RU-AS,374.15,455.41,34.93,34.93,so-ups.ru,false,
2023-01-06 06:00:00,Russia,East,RU-AS,363.22,442.81,36.83,36.83,so-ups.ru,false,
2023-01-06 07:00:00,Russia,East,RU-AS,360.45,439.61,37.31,37.31,so-ups.ru,false,
2023-01-06 08:00:00,Russia,East,RU-AS,375.48,456.94,34.7,34.7,so-ups.ru,false,
2023-01-06 09:00:00,Russia,East,RU-AS,375.22,456.64,34.74,34.74,so-ups.ru,false,
2023-01-06 10:00:00,Russia,East,RU-AS,378.53,460.47,34.17,34.17,so-ups.ru,false,
2023-01-06 11:00:00,Russia,East,RU-AS,381.45,463.83,33.66,33.66,so-ups.ru,false,
2023-01-06 12:00:00,Russia,East,RU-AS,385.05,467.98,33.03,33.03,so-ups.ru,false,
2023-01-06 13:00:00,Russia,East,RU-AS,371.37,452.21,35.41,35.41,so-ups.ru,false,
2023-01-06 14:00:00,Russia,East,RU-AS,348.89,426.29,39.32,39.32,so-ups.ru,false,
2023-01-06 15:00:00,Russia,East,RU-AS,335.48,410.83,41.66,41.66,so-ups.ru,false,
2023-01-06 16:00:00,Russia,East,RU-AS,339.01,414.9,41.04,41.04,so-ups.ru,false,
2023-01-06 17:00:00,Russia,East,RU-AS,339.76,415.75,40.91,40.91,so-ups.ru,false,
2023-01-06 18:00:00,Russia,East,RU-AS,345.48,422.36,39.92,39.92,so-ups.ru,false,
2023-01-06 19:00:00,Russia,East,RU-AS,348.94,426.35,39.31,39.31,so-ups.ru,false,
2023-01-06 20:00:00,Russia,East,RU-AS,354.45,432.69,38.36,38.36,so-ups.ru,false,
2023-01-06 21:00:00,Russia,East,RU-AS,363.93,443.63,36.71,36.71,so-ups.ru,false,
2023-01-06 22:00:00,Russia,East,RU-AS,381.67,464.08,33.62,33.62,so-ups.ru,false,
2023-01-06 23:00:00,Russia,East,RU-AS,399.04,484.11,30.6,30.6,so-ups.ru,false,
2023-01-07 00:00:00,Russia,East,RU-AS,402.79,488.43,29.95,29.95,so-ups.ru,false,
2023-01-07 01:00:00,Russia,East,RU-AS,403.54,489.3,29.82,29.82,so-ups.ru,false,
2023-01-07 02:00:00,Russia,East,RU-AS,402.23,487.79,30.05,30.05,so-ups.ru,false,
2023-01-07 03:00:00,Russia,East,RU-AS,399.82,485.01,30.47,30.47,so-ups.ru,false,
2023-01-07 04:00:00,Russia,East,RU-AS,386.69,469.87,32.75,32.75,so-ups.ru,false,
2023-01-07 05:00:00,Russia,East,RU-AS,380.01,462.17,33.91,33.91,so-ups.ru,false,
2023-01-07 06:00:00,Russia,East,RU-AS,373.52,454.69,35.04,35.04,so-ups.ru,false,
2023-01-07 07:00:00,Russia,East,RU-AS,370.62,451.35,35.54,35.54,so-ups.ru,false,
2023-01-07 08:00:00,Russia,East,RU-AS,381.16,463.49,33.71,33.71,so-ups.ru,false,
2023-01-07 09:00:00,Russia,East,RU-AS,385.13,468.07,33.02,33.02,so-ups.ru,false,
2023-01-07 10:00:00,Russia,East,RU-AS,389.67,473.31,32.23,32.23,so-ups.ru,false,
2023-01-07 11:00:00,Russia,East,RU-AS,391.72,475.67,31.88,31.88,so-ups.ru,false,
2023-01-07 12:00:00,Russia,East,RU-AS,392.41,476.47,31.75,31.75,so-ups.ru,false,
2023-01-07 13:00:00,Russia,East,RU-AS,377.4,459.15,34.37,34.37,so-ups.ru,false,
2023-01-07 14:00:00,Russia,East,RU-AS,359.1,438.05,37.55,37.55,so-ups.ru,false,
2023-01-07 15:00:00,Russia,East,RU-AS,348.26,425.56,39.43,39.43,so-ups.ru,false,
2023-01-07 16:00:00,Russia,East,RU-AS,349.8,427.34,39.17,39.17,so-ups.ru,false,
2023-01-07 17:00:00,Russia,East,RU-AS,352.23,430.14,38.74,38.74,so-ups.ru,false,
2023-01-07 18:00:00,Russia,East,RU-AS,354.15,432.35,38.41,38.41,so-ups.ru,false,
2023-01-07 19:00:00,Russia,East,RU-AS,357.24,435.91,37.87,37.87,so-ups.ru,false,
2023-01-07 20:00:00,Russia,East,RU-AS,362.59,442.08,36.94,36.94,so-ups.ru,false,
2023-01-07 21:00:00,Russia,East,RU-AS,364.88,444.72,36.54,36.54,so-ups.ru,false,
2023-01-07 22:00:00,Russia,East,RU-AS,374.67,456.01,34.84,34.84,so-ups.ru,false,
2023-01-07 23:00:00,Russia,East,RU-AS,396.5,481.18,31.04,31.04,so-ups.ru,false,
2023-01-08 00:00:00,Russia,East,RU-AS,390.97,474.8,32.01,32.01,so-ups.ru,false,
2023-01-08 01:00:00,Russia,East,RU-AS,396.91,481.65,30.97,30.97,so-ups.ru,false,
2023-01-08 02:00:00,Russia,East,RU-AS,387.95,471.32,32.53,32.53,so-ups.ru,false,
2023-01-08 03:00:00,Russia,East,RU-AS,391.44,475.35,31.92,31.92,so-ups.ru,false,
2023-01-08 04:00:00,Russia,East,RU-AS,372.49,453.49,35.22,35.22,so-ups.ru,false,
2023-01-08 05:00:00,Russia,East,RU-AS,368.3,448.67,35.95,35.95,so-ups.ru,false,
2023-01-08 06:00:00,Russia,East,RU-AS,363.68,443.34,36.75,36.75,so-ups.ru,false,
2023-01-08 07:00:00,Russia,East,RU-AS,362.26,441.7,37.0,37.0,so-ups.ru,false,
