Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Slovakia,Slovakia,SK,296.39,333.15,67.13,18.78,entsoe.eu,false,
2023-01-01 01:00:00,Slovakia,Slovakia,SK,319.48,358.14,64.78,16.84,entsoe.eu,false,
2023-01-01 02:00:00,Slovakia,Slovakia,SK,316.52,354.97,65.22,16.99,entsoe.eu,false,
2023-01-01 03:00:00,Slovakia,Slovakia,SK,305.13,342.38,66.3,17.44,entsoe.eu,false,
2023-01-01 04:00:00,Slovakia,Slovakia,SK,295.83,332.44,67.04,17.54,entsoe.eu,false,
2023-01-01 05:00:00,Slovakia,Slovakia,SK,291.18,327.45,67.56,17.88,entsoe.eu,false,
2023-01-01 06:00:00,Slovakia,Slovakia,SK,280.54,315.96,68.67,20.05,entsoe.eu,false,
2023-01-01 07:00:00,Slovakia,Slovakia,SK,253.66,287.94,70.72,19.41,entsoe.eu,false,
2023-01-01 08:00:00,Slovakia,Slovakia,SK,232.63,265.83,72.75,19.95,entsoe.eu,false,
2023-01-01 09:00:00,Slovakia,Slovakia,SK,226.84,259.8,73.44,21.45,entsoe.eu,false,
2023-01-01 10:00:00,Slovakia,Slovakia,SK,222.65,255.77,73.98,23.02,entsoe.eu,false,
2023-01-01 11:00:00,Slovakia,Slovakia,SK,216.11,248.36,74.63,23.0,entsoe.eu,false,
2023-01-01 12:00:00,Slovakia,Slovakia,SK,213.0,244.91,74.61,21.77,entsoe.eu,false,
2023-01-01 13:00:00,Slovakia,Slovakia,SK,221.31,253.14,73.99,22.11,entsoe.eu,false,
2023-01-01 14:00:00,Slovakia,Slovakia,SK,222.56,254.29,73.83,23.06,entsoe.eu,false,
2023-01-01 15:00:00,Slovakia,Slovakia,SK,238.8,271.05,73.32,26.48,entsoe.eu,false,
2023-01-01 16:00:00,Slovakia,Slovakia,SK,238.95,269.62,74.53,28.2,entsoe.eu,false,
2023-01-01 17:00:00,Slovakia,Slovakia,SK,245.62,276.87,74.02,27.71,entsoe.eu,false,
2023-01-01 18:00:00,Slovakia,Slovakia,SK,262.72,294.24,73.1,26.52,entsoe.eu,false,
2023-01-01 19:00:00,Slovakia,Slovakia,SK,271.15,304.44,71.25,22.67,entsoe.eu,false,
2023-01-01 20:00:00,Slovakia,Slovakia,SK,264.64,299.56,70.57,20.74,entsoe.eu,false,
2023-01-01 21:00:00,Slovakia,Slovakia,SK,250.29,284.37,71.5,19.1,entsoe.eu,false,
2023-01-01 22:00:00,Slovakia,Slovakia,SK,250.92,285.27,71.11,16.35,entsoe.eu,false,
2023-01-01 23:00:00,Slovakia,Slovakia,SK,290.33,327.35,67.62,14.66,entsoe.eu,false,
2023-01-02 00:00:00,Slovakia,Slovakia,SK,278.14,314.43,68.56,13.8,entsoe.eu,false,
