Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Sierra Leone,Sierra Leone,SL,20.23,47.78,96.48,96.48,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 01:00:00,Sierra Leone,Sierra Leone,SL,13.23,39.55,97.7,97.7,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 02:00:00,Sierra Leone,Sierra Leone,SL,11.14,37.1,98.06,98.06,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 03:00:00,Sierra Leone,Sierra Leone,SL,10.45,36.29,98.18,98.18,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 04:00:00,Sierra Leone,Sierra Leone,SL,11.55,37.58,97.99,97.99,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 05:00:00,Sierra Leone,Sierra Leone,SL,19.51,46.94,96.61,96.61,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 06:00:00,Sierra Leone,Sierra Leone,SL,20.96,53.01,96.35,96.35,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 07:00:00,Sierra Leone,Sierra Leone,SL,20.73,55.28,96.4,96.4,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 08:00:00,Sierra Leone,Sierra Leone,SL,13.22,46.16,97.7,97.7,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 09:00:00,Sierra Leone,Sierra Leone,SL,6.42,36.62,98.88,98.88,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 10:00:00,Sierra Leone,Sierra Leone,SL,11.0,42.59,98.09,98.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 11:00:00,Sierra Leone,Sierra Leone,SL,18.26,52.9,96.82,96.82,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 12:00:00,Sierra Leone,Sierra Leone,SL,25.8,60.55,95.51,95.51,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 13:00:00,Sierra Leone,Sierra Leone,SL,21.48,55.58,96.27,96.27,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 14:00:00,Sierra Leone,Sierra Leone,SL,48.74,91.76,91.52,91.52,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 15:00:00,Sierra Leone,Sierra Leone,SL,37.91,76.41,93.41,93.41,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 16:00:00,Sierra Leone,Sierra Leone,SL,19.41,52.89,96.62,96.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 17:00:00,Sierra Leone,Sierra Leone,SL,33.38,68.61,94.19,94.19,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 18:00:00,Sierra Leone,Sierra Leone,SL,32.61,66.22,94.33,94.33,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
