Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,384.25,616.46,5.36,5.36,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 01:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,388.79,623.46,4.24,4.24,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 02:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,389.45,624.47,4.08,4.08,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 03:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,390.78,626.54,3.75,3.75,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 04:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,390.59,626.24,3.8,3.8,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 05:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,390.56,626.2,3.8,3.8,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 06:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,393.16,630.21,3.16,3.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 07:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,404.39,647.52,0.4,0.4,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 08:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,405.94,649.91,0.02,0.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 09:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,404.1,647.07,0.47,0.47,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 10:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,405.05,648.53,0.24,0.24,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 11:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,404.05,647.0,0.48,0.48,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 12:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,395.43,633.71,2.6,2.6,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 13:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,398.39,638.27,1.88,1.88,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 14:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,394.42,632.15,2.85,2.85,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 15:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,395.0,633.04,2.71,2.71,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 16:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,396.1,634.73,2.44,2.44,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 17:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,395.94,634.49,2.48,2.48,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 18:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,393.87,631.3,2.99,2.99,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 19:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,392.96,629.89,3.21,3.21,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 20:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,392.76,629.59,3.26,3.26,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 21:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,392.17,628.67,3.41,3.41,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 22:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,387.04,620.77,4.67,4.67,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 23:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,390.53,626.15,3.81,3.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 00:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,385.07,617.72,5.16,5.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 01:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,387.56,621.56,4.54,4.54,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 02:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,388.16,622.5,4.39,4.39,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-02 03:00:00,São Tomé and Príncipe,São Tomé and Príncipe,ST,388.95,623.71,4.2,4.2,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
