Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,El Salvador,El Salvador,SV,125.26,239.54,67.68,67.68,ut.com.sv,false,
2023-01-01 01:00:00,El Salvador,El Salvador,SV,131.32,249.8,66.13,66.13,ut.com.sv,false,
2023-01-01 02:00:00,El Salvador,El Salvador,SV,121.86,238.4,68.56,68.56,ut.com.sv,false,
2023-01-01 03:00:00,El Salvador,El Salvador,SV,104.9,213.1,73.26,73.26,ut.com.sv,false,
2023-01-01 04:00:00,El Salvador,El Salvador,SV,65.61,171.45,83.15,83.15,ut.com.sv,false,
2023-01-01 05:00:00,El Salvador,El Salvador,SV,61.81,169.55,84.03,84.03,ut.com.sv,false,
2023-01-01 06:00:00,El Salvador,El Salvador,SV,56.58,164.21,85.38,85.38,ut.com.sv,false,
2023-01-01 07:00:00,El Salvador,El Salvador,SV,50.41,159.49,86.97,86.97,ut.com.sv,false,
2023-01-01 08:00:00,El Salvador,El Salvador,SV,36.37,144.91,90.59,90.59,ut.com.sv,false,
2023-01-01 09:00:00,El Salvador,El Salvador,SV,30.81,137.89,92.02,92.02,ut.com.sv,false,
2023-01-01 10:00:00,El Salvador,El Salvador,SV,31.16,138.04,91.93,91.93,ut.com.sv,false,
2023-01-01 11:00:00,El Salvador,El Salvador,SV,32.09,138.85,91.69,91.69,ut.com.sv,false,
2023-01-01 12:00:00,El Salvador,El Salvador,SV,51.57,163.48,86.68,86.68,ut.com.sv,false,
2023-01-01 13:00:00,El Salvador,El Salvador,SV,57.11,173.36,85.26,85.26,ut.com.sv,false,
2023-01-01 14:00:00,El Salvador,El Salvador,SV,64.35,174.18,83.4,83.4,ut.com.sv,false,
2023-01-01 15:00:00,El Salvador,El Salvador,SV,34.35,132.15,91.14,91.14,ut.com.sv,false,
2023-01-01 16:00:00,El Salvador,El Salvador,SV,23.04,116.62,94.06,94.06,ut.com.sv,false,
2023-01-01 17:00:00,El Salvador,El Salvador,SV,18.43,109.09,95.25,95.25,ut.com.sv,false,
2023-01-01 18:00:00,El Salvador,El Salvador,SV,19.7,111.05,94.92,94.92,ut.com.sv,false,
2023-01-01 19:00:00,El Salvador,El Salvador,SV,17.42,106.34,95.51,95.51,ut.com.sv,false,
2023-01-01 20:00:00,El Salvador,El Salvador,SV,19.21,110.62,95.05,95.05,ut.com.sv,false,
2023-01-01 21:00:00,El Salvador,El Salvador,SV,25.3,128.7,93.46,93.46,ut.com.sv,false,
2023-01-01 22:00:00,El Salvador,El Salvador,SV,28.95,125.17,92.51,92.51,ut.com.sv,false,
2023-01-01 23:00:00,El Salvador,El Salvador,SV,30.38,125.61,92.13,92.13,ut.com.sv,false,
2023-01-02 00:00:00,El Salvador,El Salvador,SV,49.04,136.58,87.34,87.34,ut.com.sv,false,
2023-01-02 01:00:00,El Salvador,El Salvador,SV,42.19,127.43,89.11,89.11,ut.com.sv,false,
2023-01-02 02:00:00,El Salvador,El Salvador,SV,35.49,119.52,90.84,90.84,ut.com.sv,false,
2023-01-02 03:00:00,El Salvador,El Salvador,SV,26.95,110.07,93.04,93.04,ut.com.sv,false,
2023-01-02 04:00:00,El Salvador,El Salvador,SV,25.57,122.29,93.38,93.38,ut.com.sv,false,
2023-01-02 05:00:00,El Salvador,El Salvador,SV,31.45,135.61,91.85,91.85,ut.com.sv,false,
2023-01-02 06:00:00,El Salvador,El Salvador,SV,72.49,195.81,81.33,81.33,ut.com.sv,false,
2023-01-02 07:00:00,El Salvador,El Salvador,SV,58.25,181.9,85.0,85.0,ut.com.sv,false,
2023-01-02 08:00:00,El Salvador,El Salvador,SV,54.03,176.9,86.09,86.09,ut.com.sv,false,
2023-01-02 09:00:00,El Salvador,El Salvador,SV,49.82,169.9,87.17,87.17,ut.com.sv,false,
2023-01-02 10:00:00,El Salvador,El Salvador,SV,45.74,163.33,88.22,88.22,ut.com.sv,false,
2023-01-02 11:00:00,El Salvador,El Salvador,SV,41.71,153.82,89.26,89.26,ut.com.sv,false,
2023-01-02 12:00:00,El Salvador,El Salvador,SV,37.95,143.77,90.22,90.22,ut.com.sv,false,
2023-01-02 13:00:00,El Salvador,El Salvador,SV,25.11,120.25,93.53,93.53,ut.com.sv,false,
2023-01-02 14:00:00,El Salvador,El Salvador,SV,18.55,105.85,95.21,95.21,ut.com.sv,false,
2023-01-02 15:00:00,El Salvador,El Salvador,SV,17.74,102.97,95.42,95.42,ut.com.sv,false,
