Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Turkey,Turkey,TR,512.11,579.1,25.73,24.59,epias.com.tr,false,
2023-01-01 01:00:00,Turkey,Turkey,TR,521.36,588.24,24.99,23.71,epias.com.tr,false,
2023-01-01 02:00:00,Turkey,Turkey,TR,522.53,588.44,25.47,24.25,epias.com.tr,false,
2023-01-01 03:00:00,Turkey,Turkey,TR,514.75,580.79,26.07,24.79,epias.com.tr,false,
2023-01-01 04:00:00,Turkey,Turkey,TR,508.13,573.77,26.85,25.66,epias.com.tr,false,
2023-01-01 05:00:00,Turkey,Turkey,TR,491.01,555.29,29.59,28.28,epias.com.tr,false,
2023-01-01 06:00:00,Turkey,Turkey,TR,480.04,543.44,31.31,30.13,epias.com.tr,false,
2023-01-01 07:00:00,Turkey,Turkey,TR,468.34,532.2,32.31,31.22,epias.com.tr,false,
2023-01-01 08:00:00,Turkey,Turkey,TR,469.36,531.98,33.0,31.88,epias.com.tr,false,
2023-01-01 09:00:00,Turkey,Turkey,TR,469.84,532.55,32.88,31.91,epias.com.tr,false,
2023-01-01 10:00:00,Turkey,Turkey,TR,462.98,525.31,33.84,32.84,epias.com.tr,false,
2023-01-01 11:00:00,Turkey,Turkey,TR,446.74,508.52,35.79,34.58,epias.com.tr,false,
2023-01-01 12:00:00,Turkey,Turkey,TR,455.13,517.34,34.36,33.26,epias.com.tr,false,
2023-01-01 13:00:00,Turkey,Turkey,TR,460.34,525.79,31.24,30.25,epias.com.tr,false,
2023-01-01 14:00:00,Turkey,Turkey,TR,445.03,513.34,30.37,29.55,epias.com.tr,false,
2023-01-01 15:00:00,Turkey,Turkey,TR,423.31,490.84,32.8,32.1,epias.com.tr,false,
2023-01-01 16:00:00,Turkey,Turkey,TR,418.48,484.97,33.91,33.22,epias.com.tr,false,
2023-01-01 17:00:00,Turkey,Turkey,TR,426.09,493.21,32.81,32.19,epias.com.tr,false,
2023-01-01 18:00:00,Turkey,Turkey,TR,434.73,502.72,31.45,30.74,epias.com.tr,false,
2023-01-01 19:00:00,Turkey,Turkey,TR,433.92,499.92,32.87,32.12,epias.com.tr,false,
2023-01-01 20:00:00,Turkey,Turkey,TR,438.8,501.94,34.37,33.57,epias.com.tr,false,
2023-01-01 21:00:00,Turkey,Turkey,TR,457.27,520.56,32.75,31.87,epias.com.tr,false,
2023-01-01 22:00:00,Turkey,Turkey,TR,480.48,545.67,29.49,28.41,epias.com.tr,false,
2023-01-01 23:00:00,Turkey,Turkey,TR,497.99,564.92,26.82,25.66,epias.com.tr,false,
2023-01-02 00:00:00,Turkey,Turkey,TR,514.2,583.0,24.1,22.93,epias.com.tr,false,
2023-01-02 01:00:00,Turkey,Turkey,TR,517.21,586.51,23.53,22.33,epias.com.tr,false,
2023-01-02 02:00:00,Turkey,Turkey,TR,511.77,580.7,24.15,23.0,epias.com.tr,false,
2023-01-02 03:00:00,Turkey,Turkey,TR,512.92,585.47,21.4,20.42,epias.com.tr,false,
2023-01-02 04:00:00,Turkey,Turkey,TR,506.33,585.41,17.3,16.39,epias.com.tr,false,
2023-01-02 05:00:00,Turkey,Turkey,TR,456.51,533.05,23.29,22.54,epias.com.tr,false,
2023-01-02 06:00:00,Turkey,Turkey,TR,442.87,518.55,25.11,24.46,epias.com.tr,false,
2023-01-02 07:00:00,Turkey,Turkey,TR,450.03,526.57,23.87,23.24,epias.com.tr,false,
2023-01-02 08:00:00,Turkey,Turkey,TR,456.74,533.6,23.08,22.41,epias.com.tr,false,
2023-01-02 09:00:00,Turkey,Turkey,TR,482.04,561.05,19.39,18.63,epias.com.tr,false,
2023-01-02 10:00:00,Turkey,Turkey,TR,485.51,565.33,18.43,17.7,epias.com.tr,false,
2023-01-02 11:00:00,Turkey,Turkey,TR,479.24,559.74,18.48,17.75,epias.com.tr,false,
2023-01-02 12:00:00,Turkey,Turkey,TR,474.91,556.21,18.43,17.73,epias.com.tr,false,
2023-01-02 13:00:00,Turkey,Turkey,TR,458.39,538.69,20.53,19.85,epias.com.tr,false,
2023-01-02 14:00:00,Turkey,Turkey,TR,434.56,512.03,24.64,24.06,epias.com.tr,false,
2023-01-02 15:00:00,Turkey,Turkey,TR,428.69,504.77,26.04,25.5,epias.com.tr,false,
2023-01-02 16:00:00,Turkey,Turkey,TR,443.34,521.12,23.51,22.96,epias.com.tr,false,
2023-01-02 17:00:00,Turkey,Turkey,TR,450.52,528.93,22.45,21.91,epias.com.tr,false,
2023-01-02 18:00:00,Turkey,Turkey,TR,451.7,529.09,23.09,22.48,epias.com.tr,false,
2023-01-02 19:00:00,Turkey,Turkey,TR,445.13,518.62,26.35,25.67,epias.com.tr,false,
2023-01-02 20:00:00,Turkey,Turkey,TR,452.85,525.26,26.44,25.74,epias.com.tr,false,
2023-01-02 21:00:00,Turkey,Turkey,TR,469.24,540.92,25.44,24.67,epias.com.tr,false,
2023-01-02 22:00:00,Turkey,Turkey,TR,490.27,564.57,21.91,20.95,epias.com.tr,false,
2023-01-02 23:00:00,Turkey,Turkey,TR,505.09,580.3,19.88,18.86,epias.com.tr,false,
2023-01-03 00:00:00,Turkey,Turkey,TR,515.12,590.83,18.65,17.65,epias.com.tr,false,
2023-01-03 01:00:00,Turkey,Turkey,TR,514.84,590.84,18.58,17.62,epias.com.tr,false,
2023-01-03 02:00:00,Turkey,Turkey,TR,513.88,590.58,18.13,17.2,epias.com.tr,false,
