Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Taiwan,Taiwan,TW,445.82,531.94,15.26,6.61,taipower.com.tw,false,
2023-01-01 01:00:00,Taiwan,Taiwan,TW,433.1,518.12,17.65,9.21,taipower.com.tw,false,
2023-01-01 02:00:00,Taiwan,Taiwan,TW,419.69,503.93,19.65,11.46,taipower.com.tw,false,
2023-01-01 03:00:00,Taiwan,Taiwan,TW,414.99,498.45,20.73,12.66,taipower.com.tw,false,
2023-01-01 04:00:00,Taiwan,Taiwan,TW,419.64,503.83,19.77,11.67,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 05:00:00,Taiwan,Taiwan,TW,416.64,500.89,20.13,12.19,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 06:00:00,Taiwan,Taiwan,TW,422.57,506.23,20.2,12.3,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 07:00:00,Taiwan,Taiwan,TW,430.96,514.98,19.08,11.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 08:00:00,Taiwan,Taiwan,TW,444.25,528.87,17.17,9.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 09:00:00,Taiwan,Taiwan,TW,445.42,529.93,17.15,9.12,Electricity Maps Estimation; taipower.com.tw,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 10:00:00,Taiwan,Taiwan,TW,451.33,535.3,17.02,8.99,taipower.com.tw,false,
2023-01-01 11:00:00,Taiwan,Taiwan,TW,449.72,533.33,17.45,9.19,taipower.com.tw,false,
2023-01-01 12:00:00,Taiwan,Taiwan,TW,449.67,533.36,17.54,9.12,taipower.com.tw,false,
2023-01-01 13:00:00,Taiwan,Taiwan,TW,448.14,531.48,17.95,9.31,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 14:00:00,Taiwan,Taiwan,TW,446.62,529.66,18.31,9.43,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 15:00:00,Taiwan,Taiwan,TW,445.48,528.32,18.58,9.52,Electricity Maps Estimation; taipower.com.tw,false,
2023-01-01 16:00:00,Taiwan,Taiwan,TW,443.86,526.47,18.68,9.34,taipower.com.tw,false,
2023-01-01 17:00:00,Taiwan,Taiwan,TW,442.98,526.86,17.0,6.86,taipower.com.tw,false,
2023-01-01 18:00:00,Taiwan,Taiwan,TW,441.95,526.04,16.7,6.12,taipower.com.tw,false,
2023-01-01 19:00:00,Taiwan,Taiwan,TW,442.03,527.65,15.67,5.12,taipower.com.tw,false,
2023-01-01 20:00:00,Taiwan,Taiwan,TW,490.98,577.13,10.97,3.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 21:00:00,Taiwan,Taiwan,TW,491.07,577.26,10.97,3.89,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 22:00:00,Taiwan,Taiwan,TW,484.15,569.99,12.15,5.21,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 23:00:00,Taiwan,Taiwan,TW,465.24,549.71,15.48,8.86,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 00:00:00,Taiwan,Taiwan,TW,442.22,525.95,18.82,12.74,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 01:00:00,Taiwan,Taiwan,TW,426.03,508.52,21.76,15.95,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 02:00:00,Taiwan,Taiwan,TW,414.38,496.06,23.74,18.11,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 03:00:00,Taiwan,Taiwan,TW,408.89,490.3,24.59,19.1,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 04:00:00,Taiwan,Taiwan,TW,409.22,490.17,24.92,19.41,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 05:00:00,Taiwan,Taiwan,TW,414.27,496.08,23.73,18.26,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 06:00:00,Taiwan,Taiwan,TW,425.35,507.97,21.95,16.47,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 07:00:00,Taiwan,Taiwan,TW,439.6,523.0,19.9,14.36,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 08:00:00,Taiwan,Taiwan,TW,458.0,542.37,17.19,11.61,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 09:00:00,Taiwan,Taiwan,TW,473.87,559.12,14.72,9.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,Taiwan,Taiwan,TW,453.36,538.67,16.17,8.13,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,Taiwan,Taiwan,TW,453.26,538.54,16.19,8.02,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 12:00:00,Taiwan,Taiwan,TW,453.16,538.33,16.35,8.03,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 13:00:00,Taiwan,Taiwan,TW,486.51,572.31,12.88,6.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 14:00:00,Taiwan,Taiwan,TW,489.0,574.62,12.66,6.52,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 15:00:00,Taiwan,Taiwan,TW,491.81,577.17,12.37,5.96,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 16:00:00,Taiwan,Taiwan,TW,490.85,576.82,11.55,4.87,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 17:00:00,Taiwan,Taiwan,TW,490.73,577.24,10.79,3.93,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 18:00:00,Taiwan,Taiwan,TW,490.6,576.95,10.86,3.92,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 19:00:00,Taiwan,Taiwan,TW,490.59,576.78,10.97,3.93,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 20:00:00,Taiwan,Taiwan,TW,490.98,577.13,10.97,3.9,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 21:00:00,Taiwan,Taiwan,TW,491.07,577.26,10.97,3.89,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 22:00:00,Taiwan,Taiwan,TW,484.15,569.99,12.15,5.21,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 23:00:00,Taiwan,Taiwan,TW,465.24,549.71,15.48,8.86,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-03 00:00:00,Taiwan,Taiwan,TW,442.22,525.95,18.82,12.74,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
