Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,CAISO,US-CAL-CISO,238.34,309.22,48.24,39.61,caiso.com,false,
2023-01-01 01:00:00,USA,CAISO,US-CAL-CISO,220.25,283.81,53.92,40.63,caiso.com,false,
2023-01-01 02:00:00,USA,CAISO,US-CAL-CISO,223.4,286.94,53.54,39.9,caiso.com,false,
2023-01-01 03:00:00,USA,CAISO,US-CAL-CISO,228.54,293.84,52.17,37.84,caiso.com,false,
2023-01-01 04:00:00,USA,CAISO,US-CAL-CISO,223.57,289.21,52.6,37.94,caiso.com,false,
2023-01-01 05:00:00,USA,CAISO,US-CAL-CISO,231.01,300.87,49.87,34.39,caiso.com,false,
2023-01-01 06:00:00,USA,CAISO,US-CAL-CISO,245.84,318.34,46.83,31.24,caiso.com,false,
2023-01-01 07:00:00,USA,CAISO,US-CAL-CISO,245.14,317.07,47.53,31.35,caiso.com,false,
2023-01-01 08:00:00,USA,CAISO,US-CAL-CISO,225.37,293.36,51.87,35.01,caiso.com,false,
2023-01-01 09:00:00,USA,CAISO,US-CAL-CISO,218.26,284.71,53.57,36.46,caiso.com,false,
2023-01-01 10:00:00,USA,CAISO,US-CAL-CISO,209.95,273.75,56.13,38.6,caiso.com,false,
2023-01-01 11:00:00,USA,CAISO,US-CAL-CISO,209.46,272.64,56.64,38.84,caiso.com,false,
2023-01-01 12:00:00,USA,CAISO,US-CAL-CISO,219.44,285.55,53.9,36.32,caiso.com,false,
2023-01-01 13:00:00,USA,CAISO,US-CAL-CISO,220.38,287.51,53.16,36.01,caiso.com,false,
2023-01-01 14:00:00,USA,CAISO,US-CAL-CISO,218.54,283.19,54.68,38.02,caiso.com,false,
2023-01-01 15:00:00,USA,CAISO,US-CAL-CISO,200.57,261.75,58.51,42.77,caiso.com,false,
2023-01-01 16:00:00,USA,CAISO,US-CAL-CISO,154.56,209.67,67.58,52.65,caiso.com,false,
2023-01-01 17:00:00,USA,CAISO,US-CAL-CISO,126.93,177.74,73.14,59.28,caiso.com,false,
2023-01-01 18:00:00,USA,CAISO,US-CAL-CISO,121.33,172.2,73.59,60.42,caiso.com,false,
2023-01-01 19:00:00,USA,CAISO,US-CAL-CISO,123.2,174.8,72.8,60.07,caiso.com,false,
2023-01-01 20:00:00,USA,CAISO,US-CAL-CISO,127.64,179.73,72.01,59.35,caiso.com,false,
2023-01-01 21:00:00,USA,CAISO,US-CAL-CISO,123.81,174.78,72.81,60.36,caiso.com,false,
2023-01-01 22:00:00,USA,CAISO,US-CAL-CISO,125.8,176.22,72.93,59.16,caiso.com,false,
2023-01-01 23:00:00,USA,CAISO,US-CAL-CISO,147.07,202.12,67.72,53.25,caiso.com,false,
2023-01-02 00:00:00,USA,CAISO,US-CAL-CISO,191.36,252.1,59.27,44.39,caiso.com,false,
2023-01-02 01:00:00,USA,CAISO,US-CAL-CISO,212.11,273.44,56.13,42.43,caiso.com,false,
2023-01-02 02:00:00,USA,CAISO,US-CAL-CISO,216.24,280.32,54.15,40.59,caiso.com,false,
2023-01-02 03:00:00,USA,CAISO,US-CAL-CISO,215.62,280.82,53.7,39.88,caiso.com,false,
2023-01-02 04:00:00,USA,CAISO,US-CAL-CISO,217.34,282.48,53.69,39.42,caiso.com,false,
2023-01-02 05:00:00,USA,CAISO,US-CAL-CISO,220.34,285.98,53.32,38.42,caiso.com,false,
2023-01-02 06:00:00,USA,CAISO,US-CAL-CISO,224.04,290.96,52.28,36.88,caiso.com,false,
2023-01-02 07:00:00,USA,CAISO,US-CAL-CISO,226.04,294.94,51.22,34.87,caiso.com,false,
2023-01-02 08:00:00,USA,CAISO,US-CAL-CISO,245.11,317.58,47.2,30.93,caiso.com,false,
2023-01-02 09:00:00,USA,CAISO,US-CAL-CISO,251.29,325.07,46.09,29.16,caiso.com,false,
2023-01-02 10:00:00,USA,CAISO,US-CAL-CISO,255.61,330.87,45.05,27.56,caiso.com,false,
2023-01-02 11:00:00,USA,CAISO,US-CAL-CISO,256.11,334.59,43.36,25.67,caiso.com,false,
2023-01-02 12:00:00,USA,CAISO,US-CAL-CISO,254.65,333.66,43.22,25.8,caiso.com,false,
2023-01-02 13:00:00,USA,CAISO,US-CAL-CISO,260.42,342.51,40.42,24.36,caiso.com,false,
2023-01-02 14:00:00,USA,CAISO,US-CAL-CISO,263.55,346.55,39.37,24.04,caiso.com,false,
2023-01-02 15:00:00,USA,CAISO,US-CAL-CISO,255.41,337.79,40.57,26.21,caiso.com,false,
2023-01-02 16:00:00,USA,CAISO,US-CAL-CISO,201.01,271.79,53.33,40.1,caiso.com,false,
2023-01-02 17:00:00,USA,CAISO,US-CAL-CISO,171.63,234.12,61.22,48.06,caiso.com,false,
2023-01-02 18:00:00,USA,CAISO,US-CAL-CISO,168.66,230.25,62.14,48.84,caiso.com,false,
2023-01-02 19:00:00,USA,CAISO,US-CAL-CISO,175.86,239.16,60.2,47.19,caiso.com,false,
2023-01-02 20:00:00,USA,CAISO,US-CAL-CISO,184.12,248.2,58.81,45.21,caiso.com,false,
2023-01-02 21:00:00,USA,CAISO,US-CAL-CISO,190.14,254.27,58.04,44.24,caiso.com,false,
2023-01-02 22:00:00,USA,CAISO,US-CAL-CISO,211.42,281.19,52.21,38.56,caiso.com,false,
2023-01-02 23:00:00,USA,CAISO,US-CAL-CISO,232.59,308.25,46.09,32.88,caiso.com,false,
2023-01-03 00:00:00,USA,CAISO,US-CAL-CISO,253.87,334.96,40.57,28.1,caiso.com,false,
2023-01-03 01:00:00,USA,CAISO,US-CAL-CISO,252.64,331.32,41.86,30.07,caiso.com,false,
2023-01-03 02:00:00,USA,CAISO,US-CAL-CISO,250.33,327.86,42.74,30.8,caiso.com,false,
2023-01-03 03:00:00,USA,CAISO,US-CAL-CISO,245.15,323.1,43.14,30.78,caiso.com,false,
2023-01-03 04:00:00,USA,CAISO,US-CAL-CISO,238.38,314.12,45.27,32.36,caiso.com,false,
2023-01-03 05:00:00,USA,CAISO,US-CAL-CISO,243.32,320.25,44.18,30.81,caiso.com,false,
2023-01-03 06:00:00,USA,CAISO,US-CAL-CISO,253.13,331.69,42.32,28.03,caiso.com,false,
2023-01-03 07:00:00,USA,CAISO,US-CAL-CISO,256.32,336.8,40.94,26.02,caiso.com,false,
2023-01-03 08:00:00,USA,CAISO,US-CAL-CISO,255.55,336.59,40.68,25.65,caiso.com,false,
2023-01-03 09:00:00,USA,CAISO,US-CAL-CISO,257.46,339.14,40.1,25.1,caiso.com,false,
2023-01-03 10:00:00,USA,CAISO,US-CAL-CISO,257.46,339.16,40.04,25.26,caiso.com,false,
2023-01-03 11:00:00,USA,CAISO,US-CAL-CISO,259.38,341.97,39.31,24.67,caiso.com,false,
2023-01-03 12:00:00,USA,CAISO,US-CAL-CISO,257.99,340.76,39.46,24.67,caiso.com,false,
2023-01-03 13:00:00,USA,CAISO,US-CAL-CISO,255.61,337.78,39.97,25.97,caiso.com,false,
2023-01-03 14:00:00,USA,CAISO,US-CAL-CISO,252.52,330.99,42.24,29.22,caiso.com,false,
2023-01-03 15:00:00,USA,CAISO,US-CAL-CISO,239.84,315.53,45.16,33.53,caiso.com,false,
2023-01-03 16:00:00,USA,CAISO,US-CAL-CISO,197.82,268.09,53.29,43.34,caiso.com,false,
2023-01-03 17:00:00,USA,CAISO,US-CAL-CISO,180.91,247.43,57.33,47.74,caiso.com,false,
2023-01-03 18:00:00,USA,CAISO,US-CAL-CISO,179.14,245.32,57.78,48.27,caiso.com,false,
2023-01-03 19:00:00,USA,CAISO,US-CAL-CISO,181.93,248.23,57.58,47.62,caiso.com,false,
2023-01-03 20:00:00,USA,CAISO,US-CAL-CISO,180.95,247.8,57.4,47.37,caiso.com,false,
2023-01-03 21:00:00,USA,CAISO,US-CAL-CISO,186.85,254.09,56.6,45.86,caiso.com,false,
2023-01-03 22:00:00,USA,CAISO,US-CAL-CISO,197.35,265.31,54.87,43.71,caiso.com,false,
2023-01-03 23:00:00,USA,CAISO,US-CAL-CISO,240.3,314.18,46.44,34.76,caiso.com,false,
2023-01-04 00:00:00,USA,CAISO,US-CAL-CISO,262.94,340.28,41.68,30.46,caiso.com,false,
2023-01-04 01:00:00,USA,CAISO,US-CAL-CISO,264.04,339.72,42.23,31.66,caiso.com,false,
2023-01-04 02:00:00,USA,CAISO,US-CAL-CISO,262.52,338.32,42.33,31.71,caiso.com,false,
2023-01-04 03:00:00,USA,CAISO,US-CAL-CISO,265.89,343.36,41.25,30.39,caiso.com,false,
2023-01-04 04:00:00,USA,CAISO,US-CAL-CISO,263.95,340.14,42.38,31.13,caiso.com,false,
2023-01-04 05:00:00,USA,CAISO,US-CAL-CISO,261.35,337.92,42.51,30.89,caiso.com,false,
2023-01-04 06:00:00,USA,CAISO,US-CAL-CISO,271.26,352.2,39.17,26.71,caiso.com,false,
2023-01-04 07:00:00,USA,CAISO,US-CAL-CISO,279.92,364.39,36.37,23.3,caiso.com,false,
2023-01-04 08:00:00,USA,CAISO,US-CAL-CISO,278.3,362.58,36.76,23.31,caiso.com,false,
2023-01-04 09:00:00,USA,CAISO,US-CAL-CISO,276.02,359.69,37.38,23.95,caiso.com,false,
2023-01-04 10:00:00,USA,CAISO,US-CAL-CISO,272.04,355.56,37.8,24.26,caiso.com,false,
2023-01-04 11:00:00,USA,CAISO,US-CAL-CISO,271.98,356.01,37.64,23.9,caiso.com,false,
2023-01-04 12:00:00,USA,CAISO,US-CAL-CISO,274.7,359.81,36.73,23.15,caiso.com,false,
2023-01-04 13:00:00,USA,CAISO,US-CAL-CISO,269.44,353.68,37.81,24.77,caiso.com,false,
2023-01-04 14:00:00,USA,CAISO,US-CAL-CISO,264.4,346.49,39.5,27.1,caiso.com,false,
2023-01-04 15:00:00,USA,CAISO,US-CAL-CISO,260.31,339.05,41.64,29.52,caiso.com,false,
2023-01-04 16:00:00,USA,CAISO,US-CAL-CISO,246.29,324.26,43.57,32.03,caiso.com,false,
2023-01-04 17:00:00,USA,CAISO,US-CAL-CISO,225.31,298.71,48.61,37.38,caiso.com,false,
2023-01-04 18:00:00,USA,CAISO,US-CAL-CISO,209.4,279.57,52.11,41.12,caiso.com,false,
2023-01-04 19:00:00,USA,CAISO,US-CAL-CISO,206.48,275.84,52.85,41.63,caiso.com,false,
2023-01-04 20:00:00,USA,CAISO,US-CAL-CISO,215.54,286.96,50.77,39.2,caiso.com,false,
2023-01-04 21:00:00,USA,CAISO,US-CAL-CISO,212.07,282.64,51.64,40.12,caiso.com,false,
2023-01-04 22:00:00,USA,CAISO,US-CAL-CISO,211.53,281.89,51.82,40.08,caiso.com,false,
2023-01-04 23:00:00,USA,CAISO,US-CAL-CISO,226.6,299.12,48.9,37.16,caiso.com,false,
2023-01-05 00:00:00,USA,CAISO,US-CAL-CISO,239.56,312.67,46.81,35.27,caiso.com,false,
2023-01-05 01:00:00,USA,CAISO,US-CAL-CISO,253.02,326.33,44.89,33.97,caiso.com,false,
2023-01-05 02:00:00,USA,CAISO,US-CAL-CISO,263.43,337.31,43.45,32.42,caiso.com,false,
2023-01-05 03:00:00,USA,CAISO,US-CAL-CISO,264.13,339.4,42.68,31.3,caiso.com,false,
2023-01-05 04:00:00,USA,CAISO,US-CAL-CISO,267.55,346.14,40.73,28.9,caiso.com,false,
