Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Imperial Irrigation District,US-CAL-IID,450.33,554.65,19.11,19.11,eia.gov,false,
2023-01-01 01:00:00,USA,Imperial Irrigation District,US-CAL-IID,533.78,653.85,2.66,2.37,eia.gov,false,
2023-01-01 02:00:00,USA,Imperial Irrigation District,US-CAL-IID,531.86,650.74,3.74,3.36,eia.gov,false,
2023-01-01 03:00:00,USA,Imperial Irrigation District,US-CAL-IID,537.09,656.74,3.21,2.84,eia.gov,false,
2023-01-01 04:00:00,USA,Imperial Irrigation District,US-CAL-IID,543.82,663.61,2.94,2.33,eia.gov,false,
2023-01-01 05:00:00,USA,Imperial Irrigation District,US-CAL-IID,544.94,665.13,2.6,1.95,eia.gov,false,
2023-01-01 06:00:00,USA,Imperial Irrigation District,US-CAL-IID,546.14,666.97,2.19,1.67,eia.gov,false,
2023-01-01 07:00:00,USA,Imperial Irrigation District,US-CAL-IID,547.98,669.09,2.01,1.53,eia.gov,false,
2023-01-01 08:00:00,USA,Imperial Irrigation District,US-CAL-IID,552.13,673.85,1.69,1.28,eia.gov,false,
2023-01-01 09:00:00,USA,Imperial Irrigation District,US-CAL-IID,554.05,676.03,1.44,1.03,eia.gov,false,
2023-01-01 10:00:00,USA,Imperial Irrigation District,US-CAL-IID,555.36,677.79,1.15,0.82,eia.gov,false,
2023-01-01 11:00:00,USA,Imperial Irrigation District,US-CAL-IID,554.58,676.82,1.24,0.88,eia.gov,false,
2023-01-01 12:00:00,USA,Imperial Irrigation District,US-CAL-IID,553.27,675.3,1.37,0.96,eia.gov,false,
2023-01-01 13:00:00,USA,Imperial Irrigation District,US-CAL-IID,555.68,677.99,1.19,0.82,eia.gov,false,
2023-01-01 14:00:00,USA,Imperial Irrigation District,US-CAL-IID,555.73,678.31,1.11,0.85,eia.gov,false,
2023-01-01 15:00:00,USA,Imperial Irrigation District,US-CAL-IID,524.3,641.87,6.83,6.83,eia.gov,false,
2023-01-01 16:00:00,USA,Imperial Irrigation District,US-CAL-IID,377.18,468.64,33.42,33.42,eia.gov,false,
2023-01-01 17:00:00,USA,Imperial Irrigation District,US-CAL-IID,339.06,424.09,39.83,39.83,eia.gov,false,
2023-01-01 18:00:00,USA,Imperial Irrigation District,US-CAL-IID,355.36,443.39,36.71,36.71,eia.gov,false,
2023-01-01 19:00:00,USA,Imperial Irrigation District,US-CAL-IID,369.5,460.09,34.01,33.97,eia.gov,false,
2023-01-01 20:00:00,USA,Imperial Irrigation District,US-CAL-IID,374.93,466.0,33.03,32.61,eia.gov,false,
2023-01-01 21:00:00,USA,Imperial Irrigation District,US-CAL-IID,400.59,496.72,28.09,27.91,eia.gov,false,
2023-01-01 22:00:00,USA,Imperial Irrigation District,US-CAL-IID,450.28,555.78,18.63,18.63,eia.gov,false,
2023-01-01 23:00:00,USA,Imperial Irrigation District,US-CAL-IID,504.61,619.38,9.34,9.32,eia.gov,false,
2023-01-02 00:00:00,USA,Imperial Irrigation District,US-CAL-IID,535.4,655.63,2.98,2.76,eia.gov,false,
2023-01-02 01:00:00,USA,Imperial Irrigation District,US-CAL-IID,541.95,663.29,1.75,1.47,eia.gov,false,
2023-01-02 02:00:00,USA,Imperial Irrigation District,US-CAL-IID,544.05,665.52,1.63,1.36,eia.gov,false,
2023-01-02 03:00:00,USA,Imperial Irrigation District,US-CAL-IID,546.05,667.81,1.4,1.16,eia.gov,false,
2023-01-02 04:00:00,USA,Imperial Irrigation District,US-CAL-IID,550.08,672.11,1.24,0.99,eia.gov,false,
2023-01-02 05:00:00,USA,Imperial Irrigation District,US-CAL-IID,550.74,672.94,1.15,0.92,eia.gov,false,
2023-01-02 06:00:00,USA,Imperial Irrigation District,US-CAL-IID,551.68,674.07,0.97,0.71,eia.gov,false,
2023-01-02 07:00:00,USA,Imperial Irrigation District,US-CAL-IID,556.16,679.08,0.73,0.49,eia.gov,false,
2023-01-02 08:00:00,USA,Imperial Irrigation District,US-CAL-IID,557.54,680.88,0.46,0.24,eia.gov,false,
2023-01-02 09:00:00,USA,Imperial Irrigation District,US-CAL-IID,557.73,681.02,0.48,0.22,eia.gov,false,
2023-01-02 10:00:00,USA,Imperial Irrigation District,US-CAL-IID,556.43,679.61,0.49,0.21,eia.gov,false,
2023-01-02 11:00:00,USA,Imperial Irrigation District,US-CAL-IID,557.04,680.38,0.42,0.18,eia.gov,false,
2023-01-02 12:00:00,USA,Imperial Irrigation District,US-CAL-IID,553.63,676.48,0.59,0.3,eia.gov,false,
2023-01-02 13:00:00,USA,Imperial Irrigation District,US-CAL-IID,552.47,674.95,0.75,0.38,eia.gov,false,
2023-01-02 14:00:00,USA,Imperial Irrigation District,US-CAL-IID,550.01,672.1,1.19,0.87,eia.gov,false,
2023-01-02 15:00:00,USA,Imperial Irrigation District,US-CAL-IID,486.38,597.2,12.85,12.53,eia.gov,false,
2023-01-02 16:00:00,USA,Imperial Irrigation District,US-CAL-IID,366.66,456.49,34.53,34.31,eia.gov,false,
2023-01-02 17:00:00,USA,Imperial Irrigation District,US-CAL-IID,346.5,432.83,38.14,37.92,eia.gov,false,
2023-01-02 18:00:00,USA,Imperial Irrigation District,US-CAL-IID,337.62,422.38,39.66,39.41,eia.gov,false,
2023-01-02 19:00:00,USA,Imperial Irrigation District,US-CAL-IID,344.45,430.27,38.65,38.41,eia.gov,false,
2023-01-02 20:00:00,USA,Imperial Irrigation District,US-CAL-IID,344.89,430.82,38.43,38.14,eia.gov,false,
2023-01-02 21:00:00,USA,Imperial Irrigation District,US-CAL-IID,358.25,446.72,36.01,35.87,eia.gov,false,
2023-01-02 22:00:00,USA,Imperial Irrigation District,US-CAL-IID,413.7,511.87,25.96,25.75,eia.gov,false,
2023-01-02 23:00:00,USA,Imperial Irrigation District,US-CAL-IID,505.59,619.91,9.08,8.7,eia.gov,false,
2023-01-03 00:00:00,USA,Imperial Irrigation District,US-CAL-IID,534.71,654.81,2.54,2.12,eia.gov,false,
2023-01-03 01:00:00,USA,Imperial Irrigation District,US-CAL-IID,534.8,655.18,2.38,2.04,eia.gov,false,
2023-01-03 02:00:00,USA,Imperial Irrigation District,US-CAL-IID,538.02,659.26,1.73,1.5,eia.gov,false,
2023-01-03 03:00:00,USA,Imperial Irrigation District,US-CAL-IID,543.37,665.87,0.75,0.66,eia.gov,false,
2023-01-03 04:00:00,USA,Imperial Irrigation District,US-CAL-IID,545.18,667.84,0.6,0.43,eia.gov,false,
2023-01-03 05:00:00,USA,Imperial Irrigation District,US-CAL-IID,550.77,673.65,0.53,0.21,eia.gov,false,
2023-01-03 06:00:00,USA,Imperial Irrigation District,US-CAL-IID,549.27,671.06,1.4,0.8,eia.gov,false,
2023-01-03 07:00:00,USA,Imperial Irrigation District,US-CAL-IID,550.63,672.6,1.45,1.04,eia.gov,false,
2023-01-03 08:00:00,USA,Imperial Irrigation District,US-CAL-IID,556.1,679.23,0.69,0.45,eia.gov,false,
2023-01-03 09:00:00,USA,Imperial Irrigation District,US-CAL-IID,556.65,679.87,0.65,0.42,eia.gov,false,
2023-01-03 10:00:00,USA,Imperial Irrigation District,US-CAL-IID,556.91,680.28,0.53,0.35,eia.gov,false,
2023-01-03 11:00:00,USA,Imperial Irrigation District,US-CAL-IID,556.64,680.02,0.51,0.33,eia.gov,false,
2023-01-03 12:00:00,USA,Imperial Irrigation District,US-CAL-IID,556.75,680.15,0.5,0.34,eia.gov,false,
2023-01-03 13:00:00,USA,Imperial Irrigation District,US-CAL-IID,553.95,676.85,0.78,0.59,eia.gov,false,
2023-01-03 14:00:00,USA,Imperial Irrigation District,US-CAL-IID,550.15,673.63,0.13,0.11,eia.gov,false,
2023-01-03 15:00:00,USA,Imperial Irrigation District,US-CAL-IID,470.02,577.61,16.18,15.5,eia.gov,false,
2023-01-03 16:00:00,USA,Imperial Irrigation District,US-CAL-IID,359.5,448.08,35.97,35.75,eia.gov,false,
2023-01-03 17:00:00,USA,Imperial Irrigation District,US-CAL-IID,337.6,422.25,39.78,39.35,eia.gov,false,
2023-01-03 18:00:00,USA,Imperial Irrigation District,US-CAL-IID,330.96,414.37,40.97,40.4,eia.gov,false,
2023-01-03 19:00:00,USA,Imperial Irrigation District,US-CAL-IID,335.46,419.61,40.18,39.55,eia.gov,false,
2023-01-03 20:00:00,USA,Imperial Irrigation District,US-CAL-IID,339.24,424.14,39.42,38.81,eia.gov,false,
2023-01-03 21:00:00,USA,Imperial Irrigation District,US-CAL-IID,362.34,451.52,35.06,34.59,eia.gov,false,
2023-01-03 22:00:00,USA,Imperial Irrigation District,US-CAL-IID,392.07,485.96,29.86,28.89,eia.gov,false,
2023-01-03 23:00:00,USA,Imperial Irrigation District,US-CAL-IID,488.24,598.31,12.34,10.48,eia.gov,false,
2023-01-04 00:00:00,USA,Imperial Irrigation District,US-CAL-IID,531.53,649.7,4.07,2.43,eia.gov,false,
2023-01-04 01:00:00,USA,Imperial Irrigation District,US-CAL-IID,535.01,654.47,2.81,1.37,eia.gov,false,
2023-01-04 02:00:00,USA,Imperial Irrigation District,US-CAL-IID,534.35,654.21,2.78,1.92,eia.gov,false,
2023-01-04 03:00:00,USA,Imperial Irrigation District,US-CAL-IID,533.33,652.47,3.1,1.86,eia.gov,false,
2023-01-04 04:00:00,USA,Imperial Irrigation District,US-CAL-IID,522.09,638.52,5.05,3.28,eia.gov,false,
2023-01-04 05:00:00,USA,Imperial Irrigation District,US-CAL-IID,521.0,637.25,5.27,3.58,eia.gov,false,
2023-01-04 06:00:00,USA,Imperial Irrigation District,US-CAL-IID,523.52,639.05,5.69,3.07,eia.gov,false,
2023-01-04 07:00:00,USA,Imperial Irrigation District,US-CAL-IID,524.05,638.59,6.42,3.28,eia.gov,false,
2023-01-04 08:00:00,USA,Imperial Irrigation District,US-CAL-IID,530.6,645.85,5.82,2.7,eia.gov,false,
2023-01-04 09:00:00,USA,Imperial Irrigation District,US-CAL-IID,532.39,648.38,5.3,2.42,eia.gov,false,
2023-01-04 10:00:00,USA,Imperial Irrigation District,US-CAL-IID,532.19,648.9,4.91,1.91,eia.gov,false,
2023-01-04 11:00:00,USA,Imperial Irrigation District,US-CAL-IID,533.11,650.34,4.59,1.72,eia.gov,false,
2023-01-04 12:00:00,USA,Imperial Irrigation District,US-CAL-IID,530.42,647.5,4.76,2.0,eia.gov,false,
2023-01-04 13:00:00,USA,Imperial Irrigation District,US-CAL-IID,531.71,648.39,5.06,2.35,eia.gov,false,
2023-01-04 14:00:00,USA,Imperial Irrigation District,US-CAL-IID,530.26,646.67,5.32,2.83,eia.gov,false,
2023-01-04 15:00:00,USA,Imperial Irrigation District,US-CAL-IID,509.97,623.14,8.62,6.36,eia.gov,false,
2023-01-04 16:00:00,USA,Imperial Irrigation District,US-CAL-IID,461.52,566.16,17.5,15.18,eia.gov,false,
2023-01-04 17:00:00,USA,Imperial Irrigation District,US-CAL-IID,399.15,493.8,28.76,27.37,eia.gov,false,
2023-01-04 18:00:00,USA,Imperial Irrigation District,US-CAL-IID,361.61,449.57,35.68,34.21,eia.gov,false,
2023-01-04 19:00:00,USA,Imperial Irrigation District,US-CAL-IID,350.53,436.77,37.59,36.29,eia.gov,false,
2023-01-04 20:00:00,USA,Imperial Irrigation District,US-CAL-IID,336.35,420.67,40.17,39.71,eia.gov,false,
2023-01-04 21:00:00,USA,Imperial Irrigation District,US-CAL-IID,347.38,433.43,38.25,37.57,eia.gov,false,
2023-01-04 22:00:00,USA,Imperial Irrigation District,US-CAL-IID,356.31,444.02,36.54,35.85,eia.gov,false,
2023-01-04 23:00:00,USA,Imperial Irrigation District,US-CAL-IID,402.01,497.52,28.3,27.39,eia.gov,false,
2023-01-05 00:00:00,USA,Imperial Irrigation District,US-CAL-IID,513.7,628.59,7.47,5.93,eia.gov,false,
2023-01-05 01:00:00,USA,Imperial Irrigation District,US-CAL-IID,527.96,645.77,4.41,2.97,eia.gov,false,
2023-01-05 02:00:00,USA,Imperial Irrigation District,US-CAL-IID,527.69,645.38,4.45,2.8,eia.gov,false,
2023-01-05 03:00:00,USA,Imperial Irrigation District,US-CAL-IID,528.42,645.94,4.6,2.84,eia.gov,false,
2023-01-05 04:00:00,USA,Imperial Irrigation District,US-CAL-IID,527.22,643.29,5.77,3.56,eia.gov,false,
2023-01-05 05:00:00,USA,Imperial Irrigation District,US-CAL-IID,533.73,650.76,4.87,2.67,eia.gov,false,
2023-01-05 06:00:00,USA,Imperial Irrigation District,US-CAL-IID,537.94,656.08,4.0,1.77,eia.gov,false,
2023-01-05 07:00:00,USA,Imperial Irrigation District,US-CAL-IID,540.53,658.87,3.73,1.4,eia.gov,false,
2023-01-05 08:00:00,USA,Imperial Irrigation District,US-CAL-IID,546.84,666.7,2.75,1.06,eia.gov,false,
2023-01-05 09:00:00,USA,Imperial Irrigation District,US-CAL-IID,548.12,668.41,2.5,1.15,eia.gov,false,
2023-01-05 10:00:00,USA,Imperial Irrigation District,US-CAL-IID,548.57,668.66,2.5,0.9,eia.gov,false,
2023-01-05 11:00:00,USA,Imperial Irrigation District,US-CAL-IID,549.57,669.63,2.57,1.07,eia.gov,false,
2023-01-05 12:00:00,USA,Imperial Irrigation District,US-CAL-IID,547.73,668.0,2.61,1.34,eia.gov,false,
2023-01-05 13:00:00,USA,Imperial Irrigation District,US-CAL-IID,548.02,668.07,2.81,1.8,eia.gov,false,
2023-01-05 14:00:00,USA,Imperial Irrigation District,US-CAL-IID,549.6,670.41,2.28,1.43,eia.gov,false,
2023-01-05 15:00:00,USA,Imperial Irrigation District,US-CAL-IID,514.24,628.57,8.33,6.92,eia.gov,false,
2023-01-05 16:00:00,USA,Imperial Irrigation District,US-CAL-IID,502.21,614.55,9.97,8.22,eia.gov,false,
2023-01-05 17:00:00,USA,Imperial Irrigation District,US-CAL-IID,418.63,517.44,24.68,23.87,eia.gov,false,
2023-01-05 18:00:00,USA,Imperial Irrigation District,US-CAL-IID,441.96,544.55,20.54,19.47,eia.gov,false,
2023-01-05 19:00:00,USA,Imperial Irrigation District,US-CAL-IID,390.05,482.98,30.78,29.78,eia.gov,false,
2023-01-05 20:00:00,USA,Imperial Irrigation District,US-CAL-IID,384.85,476.74,31.67,30.53,eia.gov,false,
2023-01-05 21:00:00,USA,Imperial Irrigation District,US-CAL-IID,344.24,430.07,38.71,38.43,eia.gov,false,
2023-01-05 22:00:00,USA,Imperial Irrigation District,US-CAL-IID,399.34,495.12,28.85,28.85,eia.gov,false,
2023-01-05 23:00:00,USA,Imperial Irrigation District,US-CAL-IID,460.13,565.33,18.13,17.11,eia.gov,false,
2023-01-06 00:00:00,USA,Imperial Irrigation District,US-CAL-IID,512.75,626.74,8.6,7.33,eia.gov,false,
2023-01-06 01:00:00,USA,Imperial Irrigation District,US-CAL-IID,522.65,638.08,6.6,5.13,eia.gov,false,
2023-01-06 02:00:00,USA,Imperial Irrigation District,US-CAL-IID,522.54,637.99,6.53,5.05,eia.gov,false,
2023-01-06 03:00:00,USA,Imperial Irrigation District,US-CAL-IID,523.01,638.22,6.62,5.04,eia.gov,false,
2023-01-06 04:00:00,USA,Imperial Irrigation District,US-CAL-IID,524.46,639.48,6.53,4.6,eia.gov,false,
2023-01-06 05:00:00,USA,Imperial Irrigation District,US-CAL-IID,529.7,645.67,5.59,3.36,eia.gov,false,
2023-01-06 06:00:00,USA,Imperial Irrigation District,US-CAL-IID,531.41,647.76,5.25,2.94,eia.gov,false,
2023-01-06 07:00:00,USA,Imperial Irrigation District,US-CAL-IID,534.2,651.04,4.84,2.56,eia.gov,false,
2023-01-06 08:00:00,USA,Imperial Irrigation District,US-CAL-IID,539.8,657.43,4.31,2.06,eia.gov,false,
2023-01-06 09:00:00,USA,Imperial Irrigation District,US-CAL-IID,544.26,663.08,3.39,1.4,eia.gov,false,
2023-01-06 10:00:00,USA,Imperial Irrigation District,US-CAL-IID,544.16,663.07,3.32,1.26,eia.gov,false,
2023-01-06 11:00:00,USA,Imperial Irrigation District,US-CAL-IID,545.25,664.48,3.08,1.15,eia.gov,false,
2023-01-06 12:00:00,USA,Imperial Irrigation District,US-CAL-IID,546.9,666.83,2.63,1.12,eia.gov,false,
2023-01-06 13:00:00,USA,Imperial Irrigation District,US-CAL-IID,547.17,666.79,2.81,1.42,eia.gov,false,
