Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,463.65,510.0,39.72,32.79,spp.org,false,
2023-01-01 01:00:00,USA,Southwest Power Pool,US-CENT-SWPP,428.42,470.78,45.01,38.06,spp.org,false,
2023-01-01 02:00:00,USA,Southwest Power Pool,US-CENT-SWPP,411.86,451.84,47.77,40.63,spp.org,false,
2023-01-01 03:00:00,USA,Southwest Power Pool,US-CENT-SWPP,382.21,420.06,51.57,44.17,spp.org,false,
2023-01-01 04:00:00,USA,Southwest Power Pool,US-CENT-SWPP,385.71,423.35,51.29,43.71,spp.org,false,
2023-01-01 05:00:00,USA,Southwest Power Pool,US-CENT-SWPP,380.71,417.71,52.08,44.39,spp.org,false,
2023-01-01 06:00:00,USA,Southwest Power Pool,US-CENT-SWPP,391.39,429.73,50.4,42.63,spp.org,false,
2023-01-01 07:00:00,USA,Southwest Power Pool,US-CENT-SWPP,402.09,442.98,48.05,40.23,spp.org,false,
2023-01-01 08:00:00,USA,Southwest Power Pool,US-CENT-SWPP,404.47,444.14,48.53,40.44,spp.org,false,
2023-01-01 09:00:00,USA,Southwest Power Pool,US-CENT-SWPP,383.76,421.88,51.2,43.2,spp.org,false,
2023-01-01 10:00:00,USA,Southwest Power Pool,US-CENT-SWPP,383.35,422.24,50.81,42.88,spp.org,false,
2023-01-01 11:00:00,USA,Southwest Power Pool,US-CENT-SWPP,401.65,442.26,48.25,40.5,spp.org,false,
2023-01-01 12:00:00,USA,Southwest Power Pool,US-CENT-SWPP,413.06,453.63,47.31,39.53,spp.org,false,
2023-01-01 13:00:00,USA,Southwest Power Pool,US-CENT-SWPP,424.78,466.37,45.69,38.13,spp.org,false,
2023-01-01 14:00:00,USA,Southwest Power Pool,US-CENT-SWPP,425.19,466.96,45.57,38.19,spp.org,false,
2023-01-01 15:00:00,USA,Southwest Power Pool,US-CENT-SWPP,457.99,504.09,40.32,33.0,spp.org,false,
2023-01-01 16:00:00,USA,Southwest Power Pool,US-CENT-SWPP,501.82,552.68,33.84,26.44,spp.org,false,
2023-01-01 17:00:00,USA,Southwest Power Pool,US-CENT-SWPP,533.44,586.4,29.88,22.43,spp.org,false,
2023-01-01 18:00:00,USA,Southwest Power Pool,US-CENT-SWPP,549.23,603.03,28.02,20.38,spp.org,false,
2023-01-01 19:00:00,USA,Southwest Power Pool,US-CENT-SWPP,553.97,608.85,27.01,19.22,spp.org,false,
2023-01-01 20:00:00,USA,Southwest Power Pool,US-CENT-SWPP,581.95,638.4,23.64,16.04,spp.org,false,
2023-01-01 21:00:00,USA,Southwest Power Pool,US-CENT-SWPP,578.68,634.94,24.05,16.48,spp.org,false,
2023-01-01 22:00:00,USA,Southwest Power Pool,US-CENT-SWPP,559.69,615.71,25.87,18.46,spp.org,false,
2023-01-01 23:00:00,USA,Southwest Power Pool,US-CENT-SWPP,508.46,560.94,32.4,25.39,spp.org,false,
2023-01-02 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,443.95,488.56,42.44,35.53,spp.org,false,
2023-01-02 01:00:00,USA,Southwest Power Pool,US-CENT-SWPP,409.44,451.85,46.71,39.85,spp.org,false,
2023-01-02 02:00:00,USA,Southwest Power Pool,US-CENT-SWPP,394.67,436.41,48.38,41.36,spp.org,false,
2023-01-02 03:00:00,USA,Southwest Power Pool,US-CENT-SWPP,415.32,459.27,45.33,38.2,spp.org,false,
2023-01-02 04:00:00,USA,Southwest Power Pool,US-CENT-SWPP,422.87,466.76,44.61,37.08,spp.org,false,
2023-01-02 05:00:00,USA,Southwest Power Pool,US-CENT-SWPP,413.13,456.12,45.95,38.13,spp.org,false,
2023-01-02 06:00:00,USA,Southwest Power Pool,US-CENT-SWPP,409.15,450.56,47.15,39.2,spp.org,false,
2023-01-02 07:00:00,USA,Southwest Power Pool,US-CENT-SWPP,390.33,429.48,50.06,41.85,spp.org,false,
2023-01-02 08:00:00,USA,Southwest Power Pool,US-CENT-SWPP,386.99,426.51,50.15,41.99,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 09:00:00,USA,Southwest Power Pool,US-CENT-SWPP,383.47,423.38,50.26,42.21,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,USA,Southwest Power Pool,US-CENT-SWPP,385.16,425.27,50.0,42.04,Electricity Maps Estimation; spp.org,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,USA,Southwest Power Pool,US-CENT-SWPP,401.92,442.21,48.4,40.77,spp.org,false,
2023-01-02 12:00:00,USA,Southwest Power Pool,US-CENT-SWPP,384.96,423.29,51.13,43.45,spp.org,false,
2023-01-02 13:00:00,USA,Southwest Power Pool,US-CENT-SWPP,347.51,384.18,55.39,47.77,spp.org,false,
2023-01-02 14:00:00,USA,Southwest Power Pool,US-CENT-SWPP,345.04,382.38,55.26,47.89,spp.org,false,
2023-01-02 15:00:00,USA,Southwest Power Pool,US-CENT-SWPP,361.19,398.85,53.65,46.5,spp.org,false,
2023-01-02 16:00:00,USA,Southwest Power Pool,US-CENT-SWPP,369.16,406.73,52.97,46.05,spp.org,false,
2023-01-02 17:00:00,USA,Southwest Power Pool,US-CENT-SWPP,382.08,419.87,51.66,44.93,spp.org,false,
2023-01-02 18:00:00,USA,Southwest Power Pool,US-CENT-SWPP,405.52,444.75,48.79,42.01,spp.org,false,
2023-01-02 19:00:00,USA,Southwest Power Pool,US-CENT-SWPP,412.56,452.07,48.01,40.99,spp.org,false,
2023-01-02 20:00:00,USA,Southwest Power Pool,US-CENT-SWPP,401.6,440.48,49.34,42.34,spp.org,false,
2023-01-02 21:00:00,USA,Southwest Power Pool,US-CENT-SWPP,397.07,436.06,49.71,42.73,spp.org,false,
2023-01-02 22:00:00,USA,Southwest Power Pool,US-CENT-SWPP,400.0,439.48,49.17,42.31,spp.org,false,
2023-01-02 23:00:00,USA,Southwest Power Pool,US-CENT-SWPP,413.58,453.87,47.54,40.96,spp.org,false,
2023-01-03 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,394.43,434.78,49.22,42.6,spp.org,false,
2023-01-03 01:00:00,USA,Southwest Power Pool,US-CENT-SWPP,359.04,398.27,53.16,46.61,spp.org,false,
2023-01-03 02:00:00,USA,Southwest Power Pool,US-CENT-SWPP,356.93,395.05,53.91,47.3,spp.org,false,
2023-01-03 03:00:00,USA,Southwest Power Pool,US-CENT-SWPP,371.05,407.49,53.4,46.65,spp.org,false,
2023-01-03 04:00:00,USA,Southwest Power Pool,US-CENT-SWPP,381.6,417.91,52.43,45.37,spp.org,false,
2023-01-03 05:00:00,USA,Southwest Power Pool,US-CENT-SWPP,344.15,377.42,57.41,50.0,spp.org,false,
2023-01-03 06:00:00,USA,Southwest Power Pool,US-CENT-SWPP,295.95,327.11,62.86,55.37,spp.org,false,
2023-01-03 07:00:00,USA,Southwest Power Pool,US-CENT-SWPP,256.19,286.36,66.96,59.43,spp.org,false,
2023-01-03 08:00:00,USA,Southwest Power Pool,US-CENT-SWPP,255.9,285.92,67.06,59.6,spp.org,false,
2023-01-03 09:00:00,USA,Southwest Power Pool,US-CENT-SWPP,258.75,288.65,66.87,59.38,spp.org,false,
2023-01-03 10:00:00,USA,Southwest Power Pool,US-CENT-SWPP,277.93,309.12,64.44,57.08,spp.org,false,
2023-01-03 11:00:00,USA,Southwest Power Pool,US-CENT-SWPP,289.16,321.18,62.98,55.85,spp.org,false,
2023-01-03 12:00:00,USA,Southwest Power Pool,US-CENT-SWPP,283.92,316.02,63.57,56.86,spp.org,false,
2023-01-03 13:00:00,USA,Southwest Power Pool,US-CENT-SWPP,305.01,337.93,61.21,54.88,spp.org,false,
2023-01-03 14:00:00,USA,Southwest Power Pool,US-CENT-SWPP,325.82,359.34,59.03,52.8,spp.org,false,
2023-01-03 15:00:00,USA,Southwest Power Pool,US-CENT-SWPP,335.0,368.82,58.04,51.82,spp.org,false,
2023-01-03 16:00:00,USA,Southwest Power Pool,US-CENT-SWPP,318.23,350.91,60.15,53.96,spp.org,false,
2023-01-03 17:00:00,USA,Southwest Power Pool,US-CENT-SWPP,319.82,352.61,59.93,53.72,spp.org,false,
2023-01-03 18:00:00,USA,Southwest Power Pool,US-CENT-SWPP,320.55,353.68,59.66,53.47,spp.org,false,
2023-01-03 19:00:00,USA,Southwest Power Pool,US-CENT-SWPP,337.38,371.67,57.5,51.35,spp.org,false,
2023-01-03 20:00:00,USA,Southwest Power Pool,US-CENT-SWPP,347.96,383.64,55.81,49.68,spp.org,false,
2023-01-03 21:00:00,USA,Southwest Power Pool,US-CENT-SWPP,351.03,388.98,54.32,48.12,spp.org,false,
