Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,510.66,604.71,7.83,0.04,eia.gov,false,
2023-01-01 01:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,502.3,596.25,8.68,0.01,eia.gov,false,
2023-01-01 02:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,492.64,588.38,8.62,0.0,eia.gov,false,
2023-01-01 03:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,478.8,574.72,9.84,0.01,eia.gov,false,
2023-01-01 04:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,463.74,560.23,10.92,0.0,eia.gov,false,
2023-01-01 05:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,443.66,541.23,12.18,0.0,eia.gov,false,
2023-01-01 06:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,438.67,536.79,12.38,0.0,eia.gov,false,
2023-01-01 07:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,439.69,537.07,12.76,0.0,eia.gov,false,
2023-01-01 08:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,441.27,537.6,13.17,0.0,eia.gov,false,
2023-01-01 09:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,440.52,536.28,13.46,0.0,eia.gov,false,
2023-01-01 10:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,439.18,534.66,13.8,0.0,eia.gov,false,
2023-01-01 11:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,439.05,535.05,13.53,0.0,eia.gov,false,
2023-01-01 12:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,435.16,531.37,13.87,0.91,eia.gov,false,
2023-01-01 13:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,427.23,523.41,14.77,2.94,eia.gov,false,
2023-01-01 14:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,439.37,534.4,14.37,4.0,eia.gov,false,
2023-01-01 15:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,443.52,537.35,14.69,4.88,eia.gov,false,
2023-01-01 16:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,430.08,522.56,16.83,7.48,eia.gov,false,
2023-01-01 17:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,446.72,537.94,16.07,8.06,eia.gov,false,
2023-01-01 18:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,463.05,553.44,14.91,7.1,eia.gov,false,
2023-01-01 19:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,468.71,558.1,14.95,7.22,eia.gov,false,
2023-01-01 20:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,478.98,569.89,13.0,5.37,eia.gov,false,
2023-01-01 21:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,491.91,584.0,10.94,3.12,eia.gov,false,
2023-01-01 22:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,507.39,600.79,8.68,0.68,eia.gov,false,
2023-01-01 23:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,505.59,599.71,8.46,0.03,eia.gov,false,
2023-01-02 00:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,509.29,602.84,8.52,0.03,eia.gov,false,
2023-01-02 01:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,488.55,582.66,9.99,0.02,eia.gov,false,
2023-01-02 02:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,468.34,564.85,10.55,0.02,eia.gov,false,
2023-01-02 03:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,471.03,565.92,11.33,0.01,eia.gov,false,
2023-01-02 04:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,467.98,561.06,12.71,0.0,eia.gov,false,
2023-01-02 05:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,436.12,531.2,14.6,0.0,eia.gov,false,
2023-01-02 06:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,432.04,527.43,14.94,0.0,eia.gov,false,
2023-01-02 07:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,436.24,530.99,14.97,0.0,eia.gov,false,
2023-01-02 08:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,434.29,528.25,15.61,0.0,eia.gov,false,
2023-01-02 09:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,436.02,530.45,15.12,0.0,eia.gov,false,
2023-01-02 10:00:00,USA,Florida Municipal Power Pool,US-FLA-FMPP,438.29,533.91,14.19,0.0,eia.gov,false,
