Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,517.23,638.31,0.75,0.05,eia.gov,false,
2023-01-01 01:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,516.46,637.76,0.8,0.04,eia.gov,false,
2023-01-01 02:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,513.83,635.32,0.29,0.07,eia.gov,false,
2023-01-01 03:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,512.34,633.84,0.32,0.07,eia.gov,false,
2023-01-01 04:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,508.01,629.28,0.41,0.08,eia.gov,false,
2023-01-01 05:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,506.05,627.15,0.49,0.11,eia.gov,false,
2023-01-01 06:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,513.98,635.63,0.29,0.05,eia.gov,false,
2023-01-01 07:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,516.36,638.28,0.15,0.03,eia.gov,false,
2023-01-01 08:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,514.89,636.66,0.29,0.01,eia.gov,false,
2023-01-01 09:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,511.19,632.44,0.74,0.0,eia.gov,false,
2023-01-01 10:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,502.7,622.79,1.65,0.01,eia.gov,false,
2023-01-01 11:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,496.38,615.46,2.48,0.02,eia.gov,false,
2023-01-01 12:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,490.58,608.86,3.06,0.52,eia.gov,false,
2023-01-01 13:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,493.63,612.0,3.25,1.16,eia.gov,false,
2023-01-01 14:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,494.77,613.11,3.39,1.54,eia.gov,false,
2023-01-01 15:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,499.94,618.89,2.89,1.53,eia.gov,false,
2023-01-01 16:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,503.86,623.2,2.65,1.51,eia.gov,false,
2023-01-01 17:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,507.88,627.76,1.99,1.4,eia.gov,false,
2023-01-01 18:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,509.81,629.74,1.86,1.25,eia.gov,false,
2023-01-01 19:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,513.69,633.86,1.53,1.04,eia.gov,false,
2023-01-01 20:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,517.63,638.18,1.03,0.73,eia.gov,false,
2023-01-01 21:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,518.95,639.52,0.9,0.58,eia.gov,false,
2023-01-01 22:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,516.26,636.65,1.09,0.23,eia.gov,false,
2023-01-01 23:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,514.08,634.45,1.03,0.06,eia.gov,false,
2023-01-02 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,517.12,637.84,0.82,0.06,eia.gov,false,
2023-01-02 01:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,500.79,619.91,2.2,0.08,eia.gov,false,
2023-01-02 02:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,500.96,620.47,2.07,0.08,eia.gov,false,
2023-01-02 03:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,504.5,624.71,1.52,0.07,eia.gov,false,
2023-01-02 04:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,506.91,627.45,1.25,0.06,eia.gov,false,
2023-01-02 05:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,498.16,617.32,2.41,0.04,eia.gov,false,
2023-01-02 06:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,506.83,627.17,1.52,0.01,eia.gov,false,
2023-01-02 07:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,507.21,627.54,1.56,0.0,eia.gov,false,
2023-01-02 08:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,508.02,628.62,1.28,0.0,eia.gov,false,
2023-01-02 09:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,506.81,627.14,1.53,0.0,eia.gov,false,
2023-01-02 10:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,503.74,623.6,1.95,0.0,eia.gov,false,
2023-01-02 11:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,496.46,615.43,2.62,0.03,eia.gov,false,
2023-01-02 12:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,499.29,618.52,2.51,0.43,eia.gov,false,
2023-01-02 13:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,498.96,617.82,3.05,1.13,eia.gov,false,
2023-01-02 14:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,501.26,620.19,3.16,1.49,eia.gov,false,
2023-01-02 15:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,501.35,620.14,3.4,1.76,eia.gov,false,
2023-01-02 16:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,503.8,622.92,3.13,1.81,eia.gov,false,
2023-01-02 17:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,506.73,626.09,2.96,1.74,eia.gov,false,
2023-01-02 18:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,502.13,620.69,3.72,2.0,eia.gov,false,
2023-01-02 19:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,498.18,616.31,4.08,2.03,eia.gov,false,
2023-01-02 20:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,499.86,618.57,3.42,1.63,eia.gov,false,
2023-01-02 21:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,500.35,619.37,3.04,1.02,eia.gov,false,
2023-01-02 22:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,500.85,620.11,2.73,0.39,eia.gov,false,
2023-01-02 23:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,498.88,618.04,2.72,0.02,eia.gov,false,
2023-01-03 00:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,501.55,621.02,2.48,0.02,eia.gov,false,
2023-01-03 01:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,505.28,625.07,2.27,0.03,eia.gov,false,
2023-01-03 02:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,508.3,628.15,2.38,0.02,eia.gov,false,
2023-01-03 03:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,506.05,625.72,2.43,0.01,eia.gov,false,
2023-01-03 04:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,502.63,621.94,2.62,0.02,eia.gov,false,
2023-01-03 05:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,489.73,607.69,3.41,0.02,eia.gov,false,
2023-01-03 06:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,483.27,600.13,4.32,0.0,eia.gov,false,
2023-01-03 07:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,482.94,599.54,4.58,0.0,eia.gov,false,
2023-01-03 08:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,485.92,603.14,4.01,0.0,eia.gov,false,
2023-01-03 09:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,486.06,603.44,3.85,0.0,eia.gov,false,
2023-01-03 10:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,487.82,605.79,3.29,0.01,eia.gov,false,
2023-01-03 11:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,487.02,605.6,2.52,0.04,eia.gov,false,
2023-01-03 12:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,484.22,602.64,2.6,0.46,eia.gov,false,
2023-01-03 13:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,474.18,590.68,4.52,1.79,eia.gov,false,
2023-01-03 14:00:00,USA,Gainesville Regional Utilities,US-FLA-GVL,459.19,573.01,7.12,3.77,eia.gov,false,
