Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,655.8,684.65,4.56,0.06,eia.gov,false,
2023-01-01 01:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,640.79,675.6,4.99,0.01,eia.gov,false,
2023-01-01 02:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,623.8,662.26,5.9,0.01,eia.gov,false,
2023-01-01 03:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,600.82,650.18,6.35,0.01,eia.gov,false,
2023-01-01 04:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,606.26,650.99,6.98,0.0,eia.gov,false,
2023-01-01 05:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,617.98,658.81,6.97,0.0,eia.gov,false,
2023-01-01 06:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,642.35,682.49,4.74,0.0,eia.gov,false,
2023-01-01 07:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,662.38,700.63,3.09,0.0,eia.gov,false,
2023-01-01 08:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,671.72,708.86,2.32,0.0,eia.gov,false,
2023-01-01 09:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,671.27,708.27,2.36,0.0,eia.gov,false,
2023-01-01 10:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,669.15,706.61,2.55,0.0,eia.gov,false,
2023-01-01 11:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,652.93,691.44,4.09,0.0,eia.gov,false,
2023-01-01 12:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,634.03,672.3,6.46,1.02,eia.gov,false,
2023-01-01 13:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,598.93,637.66,10.71,3.87,eia.gov,false,
2023-01-01 14:00:00,USA,Jacksonville Electric Authority,US-FLA-JEA,585.2,628.44,11.32,5.1,eia.gov,false,
