Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,PJM Interconnection,US-MIDA-PJM,300.8,366.24,45.65,7.41,pjm.com,false,
2023-01-01 01:00:00,USA,PJM Interconnection,US-MIDA-PJM,291.8,355.29,47.55,8.5,pjm.com,false,
2023-01-01 02:00:00,USA,PJM Interconnection,US-MIDA-PJM,286.87,349.11,48.73,8.6,pjm.com,false,
2023-01-01 03:00:00,USA,PJM Interconnection,US-MIDA-PJM,287.6,349.42,48.93,7.76,pjm.com,false,
2023-01-01 04:00:00,USA,PJM Interconnection,US-MIDA-PJM,283.21,343.2,50.5,8.43,pjm.com,false,
2023-01-01 05:00:00,USA,PJM Interconnection,US-MIDA-PJM,278.14,336.41,52.02,9.1,pjm.com,false,
2023-01-01 06:00:00,USA,PJM Interconnection,US-MIDA-PJM,271.78,328.83,53.24,9.71,pjm.com,false,
2023-01-01 07:00:00,USA,PJM Interconnection,US-MIDA-PJM,272.29,328.83,53.62,9.06,pjm.com,false,
2023-01-01 08:00:00,USA,PJM Interconnection,US-MIDA-PJM,276.61,334.1,52.67,7.9,pjm.com,false,
2023-01-01 09:00:00,USA,PJM Interconnection,US-MIDA-PJM,277.54,335.27,52.48,7.33,pjm.com,false,
2023-01-01 10:00:00,USA,PJM Interconnection,US-MIDA-PJM,273.75,330.91,53.1,7.49,pjm.com,false,
2023-01-01 11:00:00,USA,PJM Interconnection,US-MIDA-PJM,275.36,332.9,52.75,7.26,pjm.com,false,
2023-01-01 12:00:00,USA,PJM Interconnection,US-MIDA-PJM,278.55,337.46,51.64,7.0,pjm.com,false,
2023-01-01 13:00:00,USA,PJM Interconnection,US-MIDA-PJM,281.68,341.74,50.71,6.77,pjm.com,false,
2023-01-01 14:00:00,USA,PJM Interconnection,US-MIDA-PJM,281.28,341.27,50.89,7.04,pjm.com,false,
2023-01-01 15:00:00,USA,PJM Interconnection,US-MIDA-PJM,284.51,345.61,49.93,6.47,pjm.com,false,
2023-01-01 16:00:00,USA,PJM Interconnection,US-MIDA-PJM,286.09,348.01,49.26,6.18,pjm.com,false,
2023-01-01 17:00:00,USA,PJM Interconnection,US-MIDA-PJM,286.96,349.45,48.78,6.08,pjm.com,false,
2023-01-01 18:00:00,USA,PJM Interconnection,US-MIDA-PJM,287.77,350.62,48.44,5.85,pjm.com,false,
2023-01-01 19:00:00,USA,PJM Interconnection,US-MIDA-PJM,288.98,352.04,48.23,5.74,pjm.com,false,
2023-01-01 20:00:00,USA,PJM Interconnection,US-MIDA-PJM,291.18,355.06,47.45,5.09,pjm.com,false,
2023-01-01 21:00:00,USA,PJM Interconnection,US-MIDA-PJM,296.78,362.82,45.56,4.52,pjm.com,false,
2023-01-01 22:00:00,USA,PJM Interconnection,US-MIDA-PJM,293.45,359.98,45.5,6.4,pjm.com,false,
2023-01-01 23:00:00,USA,PJM Interconnection,US-MIDA-PJM,297.53,365.1,44.46,6.03,pjm.com,false,
2023-01-02 00:00:00,USA,PJM Interconnection,US-MIDA-PJM,296.7,364.1,44.6,5.9,pjm.com,false,
2023-01-02 01:00:00,USA,PJM Interconnection,US-MIDA-PJM,300.51,368.58,43.81,4.81,pjm.com,false,
2023-01-02 02:00:00,USA,PJM Interconnection,US-MIDA-PJM,299.49,366.59,44.53,4.32,pjm.com,false,
2023-01-02 03:00:00,USA,PJM Interconnection,US-MIDA-PJM,299.73,366.35,44.75,3.57,pjm.com,false,
2023-01-02 04:00:00,USA,PJM Interconnection,US-MIDA-PJM,298.14,363.39,45.84,3.25,pjm.com,false,
