Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,736.11,832.07,9.93,4.01,eia.gov,false,
2023-01-01 01:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,730.71,826.03,10.41,4.25,eia.gov,false,
2023-01-01 02:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,728.83,823.04,11.09,4.43,eia.gov,false,
2023-01-01 03:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,726.73,820.96,10.93,4.3,eia.gov,false,
2023-01-01 04:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,716.28,810.23,11.3,4.4,eia.gov,false,
2023-01-01 05:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,707.93,801.28,11.91,4.64,eia.gov,false,
2023-01-01 06:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,703.66,797.15,11.93,4.48,eia.gov,false,
2023-01-01 07:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,701.95,795.39,12.11,4.26,eia.gov,false,
2023-01-01 08:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,705.17,799.21,11.65,3.94,eia.gov,false,
2023-01-01 09:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,705.35,799.07,11.9,4.13,eia.gov,false,
2023-01-01 10:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,705.28,798.43,12.29,4.22,eia.gov,false,
2023-01-01 11:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,711.99,805.66,11.77,4.06,eia.gov,false,
2023-01-01 12:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,718.67,813.11,11.07,3.63,eia.gov,false,
2023-01-01 13:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,719.35,814.0,11.03,3.56,eia.gov,false,
2023-01-01 14:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,723.16,818.14,10.79,3.53,eia.gov,false,
2023-01-01 15:00:00,USA,Louisville Gas and Electric Company and Kentucky Utilities,US-MIDW-LGEE,733.86,829.89,10.0,3.31,eia.gov,false,
