Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,ISO New England,US-NE-ISNE,165.62,237.84,57.97,30.32,iso-ne.com,false,
2023-01-01 01:00:00,USA,ISO New England,US-NE-ISNE,159.57,231.28,59.43,30.83,iso-ne.com,false,
2023-01-01 02:00:00,USA,ISO New England,US-NE-ISNE,168.97,243.3,56.93,27.75,iso-ne.com,false,
2023-01-01 03:00:00,USA,ISO New England,US-NE-ISNE,156.55,228.29,60.2,28.74,iso-ne.com,false,
2023-01-01 04:00:00,USA,ISO New England,US-NE-ISNE,144.36,213.54,63.36,30.13,iso-ne.com,false,
2023-01-01 05:00:00,USA,ISO New England,US-NE-ISNE,139.4,207.16,64.89,28.91,iso-ne.com,false,
2023-01-01 06:00:00,USA,ISO New England,US-NE-ISNE,134.47,201.76,66.11,28.71,iso-ne.com,false,
2023-01-01 07:00:00,USA,ISO New England,US-NE-ISNE,127.93,193.46,67.83,31.02,iso-ne.com,false,
2023-01-01 08:00:00,USA,ISO New England,US-NE-ISNE,118.46,181.2,70.33,33.24,iso-ne.com,false,
2023-01-01 09:00:00,USA,ISO New England,US-NE-ISNE,117.19,179.66,70.59,33.53,iso-ne.com,false,
2023-01-01 10:00:00,USA,ISO New England,US-NE-ISNE,114.2,175.61,71.32,35.03,iso-ne.com,false,
2023-01-01 11:00:00,USA,ISO New England,US-NE-ISNE,120.05,182.8,69.67,35.26,iso-ne.com,false,
2023-01-01 12:00:00,USA,ISO New England,US-NE-ISNE,121.94,185.06,69.08,35.53,iso-ne.com,false,
2023-01-01 13:00:00,USA,ISO New England,US-NE-ISNE,115.66,176.79,70.73,37.1,iso-ne.com,false,
2023-01-01 14:00:00,USA,ISO New England,US-NE-ISNE,117.0,178.82,70.35,37.11,iso-ne.com,false,
2023-01-01 15:00:00,USA,ISO New England,US-NE-ISNE,119.27,181.7,69.8,36.52,iso-ne.com,false,
2023-01-01 16:00:00,USA,ISO New England,US-NE-ISNE,125.64,189.85,68.03,35.5,iso-ne.com,false,
2023-01-01 17:00:00,USA,ISO New England,US-NE-ISNE,135.25,201.99,65.42,34.0,iso-ne.com,false,
2023-01-01 18:00:00,USA,ISO New England,US-NE-ISNE,129.21,194.68,67.02,34.43,iso-ne.com,false,
2023-01-01 19:00:00,USA,ISO New England,US-NE-ISNE,143.63,211.92,63.51,31.87,iso-ne.com,false,
2023-01-01 20:00:00,USA,ISO New England,US-NE-ISNE,158.92,230.08,59.75,29.84,iso-ne.com,false,
2023-01-01 21:00:00,USA,ISO New England,US-NE-ISNE,153.58,223.11,61.08,33.58,iso-ne.com,false,
2023-01-01 22:00:00,USA,ISO New England,US-NE-ISNE,155.22,224.75,60.58,34.49,iso-ne.com,false,
2023-01-01 23:00:00,USA,ISO New England,US-NE-ISNE,151.44,220.06,61.55,34.98,iso-ne.com,false,
2023-01-02 00:00:00,USA,ISO New England,US-NE-ISNE,151.51,220.4,61.6,34.29,iso-ne.com,false,
2023-01-02 01:00:00,USA,ISO New England,US-NE-ISNE,158.32,229.29,59.89,31.67,iso-ne.com,false,
2023-01-02 02:00:00,USA,ISO New England,US-NE-ISNE,158.03,229.44,59.94,30.55,iso-ne.com,false,
2023-01-02 03:00:00,USA,ISO New England,US-NE-ISNE,152.62,222.85,61.41,29.61,iso-ne.com,false,
2023-01-02 04:00:00,USA,ISO New England,US-NE-ISNE,138.51,205.66,65.15,31.2,iso-ne.com,false,
2023-01-02 05:00:00,USA,ISO New England,US-NE-ISNE,126.35,190.6,68.4,32.44,iso-ne.com,false,
2023-01-02 06:00:00,USA,ISO New England,US-NE-ISNE,119.71,182.57,70.23,33.03,iso-ne.com,false,
2023-01-02 07:00:00,USA,ISO New England,US-NE-ISNE,121.04,184.0,69.82,33.0,iso-ne.com,false,
2023-01-02 08:00:00,USA,ISO New England,US-NE-ISNE,121.98,185.24,69.51,32.85,iso-ne.com,false,
2023-01-02 09:00:00,USA,ISO New England,US-NE-ISNE,130.98,196.41,67.16,31.37,iso-ne.com,false,
2023-01-02 10:00:00,USA,ISO New England,US-NE-ISNE,135.93,202.64,65.82,30.71,iso-ne.com,false,
2023-01-02 11:00:00,USA,ISO New England,US-NE-ISNE,149.88,219.48,62.2,29.61,iso-ne.com,false,
2023-01-02 12:00:00,USA,ISO New England,US-NE-ISNE,152.36,222.24,61.41,31.02,iso-ne.com,false,
2023-01-02 13:00:00,USA,ISO New England,US-NE-ISNE,144.42,212.14,63.37,33.91,iso-ne.com,false,
2023-01-02 14:00:00,USA,ISO New England,US-NE-ISNE,148.85,217.6,62.28,33.39,iso-ne.com,false,
2023-01-02 15:00:00,USA,ISO New England,US-NE-ISNE,149.7,218.64,62.12,33.45,iso-ne.com,false,
2023-01-02 16:00:00,USA,ISO New England,US-NE-ISNE,154.55,224.58,60.93,32.21,iso-ne.com,false,
2023-01-02 17:00:00,USA,ISO New England,US-NE-ISNE,159.46,230.81,59.65,31.29,iso-ne.com,false,
2023-01-02 18:00:00,USA,ISO New England,US-NE-ISNE,160.38,232.29,59.33,30.86,iso-ne.com,false,
2023-01-02 19:00:00,USA,ISO New England,US-NE-ISNE,159.97,231.77,59.42,31.36,iso-ne.com,false,
2023-01-02 20:00:00,USA,ISO New England,US-NE-ISNE,166.37,239.68,57.68,30.71,iso-ne.com,false,
2023-01-02 21:00:00,USA,ISO New England,US-NE-ISNE,169.67,243.1,56.82,32.07,iso-ne.com,false,
2023-01-02 22:00:00,USA,ISO New England,US-NE-ISNE,175.36,249.84,55.59,32.3,iso-ne.com,false,
2023-01-02 23:00:00,USA,ISO New England,US-NE-ISNE,174.88,249.21,55.71,32.36,iso-ne.com,false,
2023-01-03 00:00:00,USA,ISO New England,US-NE-ISNE,171.9,245.75,56.29,31.64,Electricity Maps Estimation; iso-ne.com,false,
2023-01-03 01:00:00,USA,ISO New England,US-NE-ISNE,176.39,251.54,55.22,29.41,iso-ne.com,false,
2023-01-03 02:00:00,USA,ISO New England,US-NE-ISNE,168.14,241.68,57.37,30.0,iso-ne.com,false,
2023-01-03 03:00:00,USA,ISO New England,US-NE-ISNE,159.19,231.03,59.75,30.16,iso-ne.com,false,
2023-01-03 04:00:00,USA,ISO New England,US-NE-ISNE,147.11,216.38,62.98,31.23,iso-ne.com,false,
2023-01-03 05:00:00,USA,ISO New England,US-NE-ISNE,137.6,204.47,65.53,32.26,iso-ne.com,false,
2023-01-03 06:00:00,USA,ISO New England,US-NE-ISNE,135.86,202.4,65.97,32.19,iso-ne.com,false,
2023-01-03 07:00:00,USA,ISO New England,US-NE-ISNE,137.54,204.33,65.62,31.89,iso-ne.com,false,
