Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,96.98,126.07,85.24,76.56,eia.gov,false,
2023-01-01 01:00:00,USA,Bonneville Power Administration,US-NW-BPAT,91.46,120.01,86.1,77.96,eia.gov,false,
2023-01-01 02:00:00,USA,Bonneville Power Administration,US-NW-BPAT,93.48,121.44,86.16,78.09,eia.gov,false,
2023-01-01 03:00:00,USA,Bonneville Power Administration,US-NW-BPAT,94.61,122.64,85.93,77.64,eia.gov,false,
2023-01-01 04:00:00,USA,Bonneville Power Administration,US-NW-BPAT,95.42,123.58,85.66,76.97,eia.gov,false,
2023-01-01 05:00:00,USA,Bonneville Power Administration,US-NW-BPAT,100.77,129.02,85.06,76.25,eia.gov,false,
2023-01-01 06:00:00,USA,Bonneville Power Administration,US-NW-BPAT,115.21,144.02,83.23,73.83,eia.gov,false,
2023-01-01 07:00:00,USA,Bonneville Power Administration,US-NW-BPAT,126.85,156.27,81.72,71.71,eia.gov,false,
2023-01-01 08:00:00,USA,Bonneville Power Administration,US-NW-BPAT,143.23,173.48,79.4,67.91,eia.gov,false,
2023-01-01 09:00:00,USA,Bonneville Power Administration,US-NW-BPAT,145.41,175.77,79.08,67.58,eia.gov,false,
2023-01-01 10:00:00,USA,Bonneville Power Administration,US-NW-BPAT,148.99,179.45,78.82,66.98,eia.gov,false,
2023-01-01 11:00:00,USA,Bonneville Power Administration,US-NW-BPAT,156.79,188.64,77.39,65.21,eia.gov,false,
2023-01-01 12:00:00,USA,Bonneville Power Administration,US-NW-BPAT,152.11,184.41,77.61,65.38,eia.gov,false,
2023-01-01 13:00:00,USA,Bonneville Power Administration,US-NW-BPAT,149.23,182.28,77.6,65.26,eia.gov,false,
2023-01-01 14:00:00,USA,Bonneville Power Administration,US-NW-BPAT,137.4,170.09,79.0,67.24,eia.gov,false,
2023-01-01 15:00:00,USA,Bonneville Power Administration,US-NW-BPAT,124.36,156.85,80.56,69.27,eia.gov,false,
2023-01-01 16:00:00,USA,Bonneville Power Administration,US-NW-BPAT,116.25,148.82,81.51,70.54,eia.gov,false,
2023-01-01 17:00:00,USA,Bonneville Power Administration,US-NW-BPAT,121.69,156.54,79.86,68.85,eia.gov,false,
2023-01-01 18:00:00,USA,Bonneville Power Administration,US-NW-BPAT,125.68,162.15,78.81,67.6,eia.gov,false,
2023-01-01 19:00:00,USA,Bonneville Power Administration,US-NW-BPAT,125.19,161.67,78.8,67.56,eia.gov,false,
2023-01-01 20:00:00,USA,Bonneville Power Administration,US-NW-BPAT,129.22,166.36,78.06,66.47,eia.gov,false,
2023-01-01 21:00:00,USA,Bonneville Power Administration,US-NW-BPAT,128.81,165.65,78.23,66.61,eia.gov,false,
2023-01-01 22:00:00,USA,Bonneville Power Administration,US-NW-BPAT,122.95,158.62,79.48,67.68,eia.gov,false,
2023-01-01 23:00:00,USA,Bonneville Power Administration,US-NW-BPAT,117.41,152.31,80.14,68.68,eia.gov,false,
2023-01-02 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,94.72,126.85,84.1,73.8,eia.gov,false,
2023-01-02 01:00:00,USA,Bonneville Power Administration,US-NW-BPAT,99.29,131.44,83.77,73.81,eia.gov,false,
2023-01-02 02:00:00,USA,Bonneville Power Administration,US-NW-BPAT,102.87,135.15,83.21,73.28,eia.gov,false,
2023-01-02 03:00:00,USA,Bonneville Power Administration,US-NW-BPAT,100.08,131.66,83.83,73.92,eia.gov,false,
2023-01-02 04:00:00,USA,Bonneville Power Administration,US-NW-BPAT,103.98,135.85,83.25,73.04,eia.gov,false,
2023-01-02 05:00:00,USA,Bonneville Power Administration,US-NW-BPAT,111.64,143.76,82.3,71.8,eia.gov,false,
2023-01-02 06:00:00,USA,Bonneville Power Administration,US-NW-BPAT,125.9,158.96,80.23,69.01,eia.gov,false,
2023-01-02 07:00:00,USA,Bonneville Power Administration,US-NW-BPAT,129.53,163.08,79.54,67.85,eia.gov,false,
2023-01-02 08:00:00,USA,Bonneville Power Administration,US-NW-BPAT,143.52,178.72,77.18,65.12,eia.gov,false,
2023-01-02 09:00:00,USA,Bonneville Power Administration,US-NW-BPAT,144.04,179.1,77.13,65.05,eia.gov,false,
2023-01-02 10:00:00,USA,Bonneville Power Administration,US-NW-BPAT,145.27,180.11,76.99,64.78,eia.gov,false,
2023-01-02 11:00:00,USA,Bonneville Power Administration,US-NW-BPAT,134.62,168.02,78.78,66.82,eia.gov,false,
2023-01-02 12:00:00,USA,Bonneville Power Administration,US-NW-BPAT,117.88,150.62,80.99,69.86,eia.gov,false,
2023-01-02 13:00:00,USA,Bonneville Power Administration,US-NW-BPAT,110.83,143.36,81.97,71.25,eia.gov,false,
2023-01-02 14:00:00,USA,Bonneville Power Administration,US-NW-BPAT,93.07,124.85,84.38,74.74,eia.gov,false,
2023-01-02 15:00:00,USA,Bonneville Power Administration,US-NW-BPAT,86.01,117.43,85.4,76.17,eia.gov,false,
2023-01-02 16:00:00,USA,Bonneville Power Administration,US-NW-BPAT,113.84,149.48,80.29,70.55,eia.gov,false,
2023-01-02 17:00:00,USA,Bonneville Power Administration,US-NW-BPAT,115.95,151.7,80.17,70.61,eia.gov,false,
2023-01-02 18:00:00,USA,Bonneville Power Administration,US-NW-BPAT,117.15,152.14,80.53,70.87,eia.gov,false,
2023-01-02 19:00:00,USA,Bonneville Power Administration,US-NW-BPAT,118.43,153.29,80.75,71.08,eia.gov,false,
2023-01-02 20:00:00,USA,Bonneville Power Administration,US-NW-BPAT,117.92,151.98,81.25,71.46,eia.gov,false,
2023-01-02 21:00:00,USA,Bonneville Power Administration,US-NW-BPAT,106.76,139.83,82.91,73.14,eia.gov,false,
2023-01-02 22:00:00,USA,Bonneville Power Administration,US-NW-BPAT,105.06,137.98,83.08,73.28,eia.gov,false,
2023-01-02 23:00:00,USA,Bonneville Power Administration,US-NW-BPAT,93.25,125.86,84.48,74.82,eia.gov,false,
2023-01-03 00:00:00,USA,Bonneville Power Administration,US-NW-BPAT,69.03,100.88,87.69,79.34,eia.gov,false,
2023-01-03 01:00:00,USA,Bonneville Power Administration,US-NW-BPAT,67.1,98.53,88.06,79.9,eia.gov,false,
2023-01-03 02:00:00,USA,Bonneville Power Administration,US-NW-BPAT,68.31,99.59,87.95,79.83,eia.gov,false,
2023-01-03 03:00:00,USA,Bonneville Power Administration,US-NW-BPAT,76.42,107.68,86.98,78.7,eia.gov,false,
2023-01-03 04:00:00,USA,Bonneville Power Administration,US-NW-BPAT,88.66,120.1,85.43,76.68,eia.gov,false,
2023-01-03 05:00:00,USA,Bonneville Power Administration,US-NW-BPAT,106.41,138.74,82.92,73.19,eia.gov,false,
2023-01-03 06:00:00,USA,Bonneville Power Administration,US-NW-BPAT,128.16,162.21,79.55,68.94,eia.gov,false,
2023-01-03 07:00:00,USA,Bonneville Power Administration,US-NW-BPAT,129.37,162.7,79.68,68.3,eia.gov,false,
2023-01-03 08:00:00,USA,Bonneville Power Administration,US-NW-BPAT,142.65,177.8,77.19,65.07,eia.gov,false,
2023-01-03 09:00:00,USA,Bonneville Power Administration,US-NW-BPAT,159.38,196.53,74.29,61.51,eia.gov,false,
2023-01-03 10:00:00,USA,Bonneville Power Administration,US-NW-BPAT,162.91,200.57,73.6,60.55,eia.gov,false,
2023-01-03 11:00:00,USA,Bonneville Power Administration,US-NW-BPAT,157.59,195.24,74.18,61.47,eia.gov,false,
2023-01-03 12:00:00,USA,Bonneville Power Administration,US-NW-BPAT,134.15,169.53,78.04,66.26,eia.gov,false,
2023-01-03 13:00:00,USA,Bonneville Power Administration,US-NW-BPAT,102.54,135.34,83.02,72.86,eia.gov,false,
2023-01-03 14:00:00,USA,Bonneville Power Administration,US-NW-BPAT,78.52,110.31,86.33,77.43,eia.gov,false,
2023-01-03 15:00:00,USA,Bonneville Power Administration,US-NW-BPAT,71.58,102.77,87.56,79.5,eia.gov,false,
2023-01-03 16:00:00,USA,Bonneville Power Administration,US-NW-BPAT,83.35,114.82,86.21,77.75,eia.gov,false,
2023-01-03 17:00:00,USA,Bonneville Power Administration,US-NW-BPAT,102.39,136.17,82.76,73.7,eia.gov,false,
2023-01-03 18:00:00,USA,Bonneville Power Administration,US-NW-BPAT,106.53,140.3,82.28,73.03,eia.gov,false,
2023-01-03 19:00:00,USA,Bonneville Power Administration,US-NW-BPAT,114.92,148.92,81.27,71.81,eia.gov,false,
