Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Douglas County,US-NW-DOPD,0.04,24.04,99.99,99.99,eia.gov,false,
2023-01-01 01:00:00,USA,Douglas County,US-NW-DOPD,0.01,24.01,100.0,100.0,eia.gov,false,
2023-01-01 02:00:00,USA,Douglas County,US-NW-DOPD,0.02,24.02,100.0,100.0,eia.gov,false,
2023-01-01 03:00:00,USA,Douglas County,US-NW-DOPD,0.02,24.02,100.0,100.0,eia.gov,false,
2023-01-01 04:00:00,USA,Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,false,
2023-01-01 05:00:00,USA,Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,false,
2023-01-01 06:00:00,USA,Douglas County,US-NW-DOPD,0.0,24.0,100.0,100.0,eia.gov,false,
2023-01-01 07:00:00,USA,Douglas County,US-NW-DOPD,0.03,24.03,100.0,99.99,eia.gov,false,
2023-01-01 08:00:00,USA,Douglas County,US-NW-DOPD,11.37,35.86,98.37,97.45,eia.gov,false,
2023-01-01 09:00:00,USA,Douglas County,US-NW-DOPD,19.81,44.67,97.15,95.58,eia.gov,false,
2023-01-01 10:00:00,USA,Douglas County,US-NW-DOPD,44.21,70.13,93.72,90.2,eia.gov,false,
2023-01-01 11:00:00,USA,Douglas County,US-NW-DOPD,83.23,111.4,88.0,81.53,eia.gov,false,
2023-01-01 12:00:00,USA,Douglas County,US-NW-DOPD,56.13,83.19,91.74,87.23,eia.gov,false,
2023-01-01 13:00:00,USA,Douglas County,US-NW-DOPD,56.01,83.41,91.59,86.96,eia.gov,false,
2023-01-01 14:00:00,USA,Douglas County,US-NW-DOPD,43.09,69.81,93.41,89.73,eia.gov,false,
2023-01-01 15:00:00,USA,Douglas County,US-NW-DOPD,31.02,57.13,95.15,92.33,eia.gov,false,
2023-01-01 16:00:00,USA,Douglas County,US-NW-DOPD,18.57,43.94,97.05,95.29,eia.gov,false,
2023-01-01 17:00:00,USA,Douglas County,US-NW-DOPD,45.02,73.03,92.55,88.47,eia.gov,false,
