Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Puget Sound Energy,US-NW-PSEI,120.74,160.74,76.09,70.3,eia.gov,false,
2023-01-01 01:00:00,USA,Puget Sound Energy,US-NW-PSEI,119.03,159.2,76.17,70.71,eia.gov,false,
2023-01-01 02:00:00,USA,Puget Sound Energy,US-NW-PSEI,124.57,165.7,74.97,69.68,eia.gov,false,
2023-01-01 03:00:00,USA,Puget Sound Energy,US-NW-PSEI,129.28,171.7,73.66,68.36,eia.gov,false,
2023-01-01 04:00:00,USA,Puget Sound Energy,US-NW-PSEI,132.06,175.32,72.91,67.36,eia.gov,false,
2023-01-01 05:00:00,USA,Puget Sound Energy,US-NW-PSEI,137.95,181.89,72.0,66.31,eia.gov,false,
2023-01-01 06:00:00,USA,Puget Sound Energy,US-NW-PSEI,153.81,199.84,69.17,63.09,eia.gov,false,
2023-01-01 07:00:00,USA,Puget Sound Energy,US-NW-PSEI,167.23,214.99,66.88,60.3,eia.gov,false,
2023-01-01 08:00:00,USA,Puget Sound Energy,US-NW-PSEI,175.2,220.92,67.12,58.82,eia.gov,false,
2023-01-01 09:00:00,USA,Puget Sound Energy,US-NW-PSEI,179.43,226.13,66.11,57.88,eia.gov,false,
2023-01-01 10:00:00,USA,Puget Sound Energy,US-NW-PSEI,184.25,231.59,65.37,56.91,eia.gov,false,
2023-01-01 11:00:00,USA,Puget Sound Energy,US-NW-PSEI,190.36,238.38,64.42,55.56,eia.gov,false,
2023-01-01 12:00:00,USA,Puget Sound Energy,US-NW-PSEI,187.57,236.39,64.27,55.49,eia.gov,false,
2023-01-01 13:00:00,USA,Puget Sound Energy,US-NW-PSEI,178.92,227.44,65.49,56.96,eia.gov,false,
2023-01-01 14:00:00,USA,Puget Sound Energy,US-NW-PSEI,168.26,215.8,67.16,58.97,eia.gov,false,
2023-01-01 15:00:00,USA,Puget Sound Energy,US-NW-PSEI,148.12,191.99,71.48,63.25,eia.gov,false,
