Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Seattle City Light,US-NW-SCL,59.68,86.81,90.92,85.58,eia.gov,false,
2023-01-01 01:00:00,USA,Seattle City Light,US-NW-SCL,56.58,83.4,91.4,86.36,eia.gov,false,
2023-01-01 02:00:00,USA,Seattle City Light,US-NW-SCL,56.56,82.95,91.63,86.74,eia.gov,false,
2023-01-01 03:00:00,USA,Seattle City Light,US-NW-SCL,55.78,82.16,91.7,86.82,eia.gov,false,
2023-01-01 04:00:00,USA,Seattle City Light,US-NW-SCL,54.79,81.18,91.77,86.78,eia.gov,false,
2023-01-01 05:00:00,USA,Seattle City Light,US-NW-SCL,56.37,82.75,91.65,86.71,eia.gov,false,
2023-01-01 06:00:00,USA,Seattle City Light,US-NW-SCL,70.71,97.66,89.71,83.94,eia.gov,false,
2023-01-01 07:00:00,USA,Seattle City Light,US-NW-SCL,80.55,107.99,88.39,82.04,eia.gov,false,
2023-01-01 08:00:00,USA,Seattle City Light,US-NW-SCL,102.66,131.14,85.24,77.0,eia.gov,false,
2023-01-01 09:00:00,USA,Seattle City Light,US-NW-SCL,112.69,141.62,83.79,74.88,eia.gov,false,
2023-01-01 10:00:00,USA,Seattle City Light,US-NW-SCL,117.26,146.34,83.33,74.01,eia.gov,false,
2023-01-01 11:00:00,USA,Seattle City Light,US-NW-SCL,130.51,161.04,81.18,71.04,eia.gov,false,
2023-01-01 12:00:00,USA,Seattle City Light,US-NW-SCL,126.58,157.49,81.36,71.19,eia.gov,false,
2023-01-01 13:00:00,USA,Seattle City Light,US-NW-SCL,125.24,156.84,81.2,70.84,eia.gov,false,
2023-01-01 14:00:00,USA,Seattle City Light,US-NW-SCL,91.64,121.43,85.99,78.15,eia.gov,false,
2023-01-01 15:00:00,USA,Seattle City Light,US-NW-SCL,81.02,110.54,87.33,79.98,eia.gov,false,
2023-01-01 16:00:00,USA,Seattle City Light,US-NW-SCL,74.42,103.91,88.16,81.14,eia.gov,false,
2023-01-01 17:00:00,USA,Seattle City Light,US-NW-SCL,76.09,106.87,87.41,80.52,eia.gov,false,
2023-01-01 18:00:00,USA,Seattle City Light,US-NW-SCL,78.35,110.13,86.79,79.8,eia.gov,false,
2023-01-01 19:00:00,USA,Seattle City Light,US-NW-SCL,76.59,108.22,87.03,80.16,eia.gov,false,
2023-01-01 20:00:00,USA,Seattle City Light,US-NW-SCL,79.97,112.1,86.42,79.25,eia.gov,false,
2023-01-01 21:00:00,USA,Seattle City Light,US-NW-SCL,81.92,114.09,86.15,78.77,eia.gov,false,
2023-01-01 22:00:00,USA,Seattle City Light,US-NW-SCL,79.54,111.09,86.72,79.09,eia.gov,false,
2023-01-01 23:00:00,USA,Seattle City Light,US-NW-SCL,74.5,105.42,87.4,80.13,eia.gov,false,
2023-01-02 00:00:00,USA,Seattle City Light,US-NW-SCL,58.52,87.54,90.18,83.82,eia.gov,false,
2023-01-02 01:00:00,USA,Seattle City Light,US-NW-SCL,60.5,89.46,90.11,84.04,eia.gov,false,
2023-01-02 02:00:00,USA,Seattle City Light,US-NW-SCL,64.2,93.37,89.52,83.33,eia.gov,false,
2023-01-02 03:00:00,USA,Seattle City Light,US-NW-SCL,62.74,91.49,89.86,83.65,eia.gov,false,
2023-01-02 04:00:00,USA,Seattle City Light,US-NW-SCL,66.31,95.33,89.32,82.81,eia.gov,false,
2023-01-02 05:00:00,USA,Seattle City Light,US-NW-SCL,70.18,99.28,88.87,82.27,eia.gov,false,
2023-01-02 06:00:00,USA,Seattle City Light,US-NW-SCL,84.37,114.44,86.75,79.23,eia.gov,false,
2023-01-02 07:00:00,USA,Seattle City Light,US-NW-SCL,89.04,119.6,85.93,77.9,eia.gov,false,
2023-01-02 08:00:00,USA,Seattle City Light,US-NW-SCL,114.37,147.3,81.82,72.2,eia.gov,false,
2023-01-02 09:00:00,USA,Seattle City Light,US-NW-SCL,112.76,145.42,82.1,72.64,eia.gov,false,
2023-01-02 10:00:00,USA,Seattle City Light,US-NW-SCL,115.7,148.33,81.68,71.95,eia.gov,false,
2023-01-02 11:00:00,USA,Seattle City Light,US-NW-SCL,106.35,137.78,83.23,73.79,eia.gov,false,
2023-01-02 12:00:00,USA,Seattle City Light,US-NW-SCL,90.96,121.71,85.33,76.74,eia.gov,false,
2023-01-02 13:00:00,USA,Seattle City Light,US-NW-SCL,83.16,113.56,86.47,78.43,eia.gov,false,
2023-01-02 14:00:00,USA,Seattle City Light,US-NW-SCL,64.08,93.43,89.25,82.61,eia.gov,false,
2023-01-02 15:00:00,USA,Seattle City Light,US-NW-SCL,58.83,87.91,90.01,83.7,eia.gov,false,
2023-01-02 16:00:00,USA,Seattle City Light,US-NW-SCL,77.74,109.69,86.54,79.89,eia.gov,false,
2023-01-02 17:00:00,USA,Seattle City Light,US-NW-SCL,78.71,110.68,86.54,80.05,eia.gov,false,
2023-01-02 18:00:00,USA,Seattle City Light,US-NW-SCL,77.92,109.23,87.05,80.62,eia.gov,false,
2023-01-02 19:00:00,USA,Seattle City Light,US-NW-SCL,81.51,112.99,86.75,80.1,eia.gov,false,
2023-01-02 20:00:00,USA,Seattle City Light,US-NW-SCL,82.29,113.32,86.91,80.09,eia.gov,false,
2023-01-02 21:00:00,USA,Seattle City Light,US-NW-SCL,71.55,101.66,88.53,82.0,eia.gov,false,
2023-01-02 22:00:00,USA,Seattle City Light,US-NW-SCL,69.58,99.51,88.78,82.3,eia.gov,false,
2023-01-02 23:00:00,USA,Seattle City Light,US-NW-SCL,61.97,91.7,89.68,83.27,eia.gov,false,
2023-01-03 00:00:00,USA,Seattle City Light,US-NW-SCL,47.05,76.41,91.6,85.93,eia.gov,false,
2023-01-03 01:00:00,USA,Seattle City Light,US-NW-SCL,43.52,72.33,92.26,86.96,eia.gov,false,
2023-01-03 02:00:00,USA,Seattle City Light,US-NW-SCL,45.04,73.83,92.05,86.7,eia.gov,false,
2023-01-03 03:00:00,USA,Seattle City Light,US-NW-SCL,52.08,81.02,91.13,85.49,eia.gov,false,
2023-01-03 04:00:00,USA,Seattle City Light,US-NW-SCL,66.14,95.69,89.13,82.6,eia.gov,false,
2023-01-03 05:00:00,USA,Seattle City Light,US-NW-SCL,82.85,113.33,86.7,79.13,eia.gov,false,
2023-01-03 06:00:00,USA,Seattle City Light,US-NW-SCL,99.13,130.9,84.18,75.97,eia.gov,false,
2023-01-03 07:00:00,USA,Seattle City Light,US-NW-SCL,101.75,133.09,84.02,75.07,eia.gov,false,
2023-01-03 08:00:00,USA,Seattle City Light,US-NW-SCL,120.57,154.0,80.72,70.47,eia.gov,false,
2023-01-03 09:00:00,USA,Seattle City Light,US-NW-SCL,130.79,165.58,78.9,68.42,eia.gov,false,
2023-01-03 10:00:00,USA,Seattle City Light,US-NW-SCL,135.83,171.22,77.99,67.1,eia.gov,false,
2023-01-03 11:00:00,USA,Seattle City Light,US-NW-SCL,125.67,160.55,79.41,69.28,eia.gov,false,
2023-01-03 12:00:00,USA,Seattle City Light,US-NW-SCL,106.76,139.81,82.53,73.15,eia.gov,false,
2023-01-03 13:00:00,USA,Seattle City Light,US-NW-SCL,82.99,114.11,86.26,78.03,eia.gov,false,
2023-01-03 14:00:00,USA,Seattle City Light,US-NW-SCL,52.86,82.1,90.8,84.8,eia.gov,false,
2023-01-03 15:00:00,USA,Seattle City Light,US-NW-SCL,47.13,75.85,91.81,86.5,eia.gov,false,
2023-01-03 16:00:00,USA,Seattle City Light,US-NW-SCL,57.12,86.24,90.55,84.75,eia.gov,false,
2023-01-03 17:00:00,USA,Seattle City Light,US-NW-SCL,67.83,98.31,88.58,82.58,eia.gov,false,
2023-01-03 18:00:00,USA,Seattle City Light,US-NW-SCL,71.78,102.37,88.06,81.83,eia.gov,false,
2023-01-03 19:00:00,USA,Seattle City Light,US-NW-SCL,76.58,107.24,87.52,81.22,eia.gov,false,
2023-01-03 20:00:00,USA,Seattle City Light,US-NW-SCL,83.82,115.09,86.32,79.64,eia.gov,false,
2023-01-03 21:00:00,USA,Seattle City Light,US-NW-SCL,89.36,120.94,85.61,78.5,eia.gov,false,
2023-01-03 22:00:00,USA,Seattle City Light,US-NW-SCL,86.39,117.56,86.27,79.03,eia.gov,false,
2023-01-03 23:00:00,USA,Seattle City Light,US-NW-SCL,69.25,99.29,88.84,82.56,eia.gov,false,
2023-01-04 00:00:00,USA,Seattle City Light,US-NW-SCL,55.21,84.46,90.8,85.46,eia.gov,false,
2023-01-04 01:00:00,USA,Seattle City Light,US-NW-SCL,55.54,84.46,90.82,85.44,eia.gov,false,
2023-01-04 02:00:00,USA,Seattle City Light,US-NW-SCL,57.53,86.28,90.65,85.18,eia.gov,false,
2023-01-04 03:00:00,USA,Seattle City Light,US-NW-SCL,58.25,86.69,90.64,85.43,eia.gov,false,
