Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,City of Tacoma,US-NW-TPWR,53.1,79.88,91.92,87.17,eia.gov,false,
2023-01-01 01:00:00,USA,City of Tacoma,US-NW-TPWR,51.65,78.22,92.15,87.55,eia.gov,false,
2023-01-01 02:00:00,USA,City of Tacoma,US-NW-TPWR,53.23,79.48,92.12,87.52,eia.gov,false,
2023-01-01 03:00:00,USA,City of Tacoma,US-NW-TPWR,56.33,82.73,91.62,86.69,eia.gov,false,
2023-01-01 04:00:00,USA,City of Tacoma,US-NW-TPWR,55.27,81.68,91.69,86.66,eia.gov,false,
2023-01-01 05:00:00,USA,City of Tacoma,US-NW-TPWR,56.82,83.22,91.58,86.61,eia.gov,false,
2023-01-01 06:00:00,USA,City of Tacoma,US-NW-TPWR,74.27,101.37,89.19,83.13,eia.gov,false,
2023-01-01 07:00:00,USA,City of Tacoma,US-NW-TPWR,84.24,111.84,87.86,81.21,eia.gov,false,
2023-01-01 08:00:00,USA,City of Tacoma,US-NW-TPWR,92.69,120.73,86.67,79.23,eia.gov,false,
2023-01-01 09:00:00,USA,City of Tacoma,US-NW-TPWR,93.83,121.93,86.5,79.08,eia.gov,false,
2023-01-01 10:00:00,USA,City of Tacoma,US-NW-TPWR,95.41,123.55,86.44,78.85,eia.gov,false,
2023-01-01 11:00:00,USA,City of Tacoma,US-NW-TPWR,100.43,129.46,85.52,77.72,eia.gov,false,
2023-01-01 12:00:00,USA,City of Tacoma,US-NW-TPWR,97.8,127.13,85.6,77.74,eia.gov,false,
2023-01-01 13:00:00,USA,City of Tacoma,US-NW-TPWR,96.56,126.42,85.51,77.52,eia.gov,false,
2023-01-01 14:00:00,USA,City of Tacoma,US-NW-TPWR,88.56,118.15,86.46,78.88,eia.gov,false,
2023-01-01 15:00:00,USA,City of Tacoma,US-NW-TPWR,71.24,100.1,88.86,82.4,eia.gov,false,
2023-01-01 16:00:00,USA,City of Tacoma,US-NW-TPWR,66.7,95.61,89.39,83.1,eia.gov,false,
2023-01-01 17:00:00,USA,City of Tacoma,US-NW-TPWR,70.67,100.97,88.3,81.91,eia.gov,false,
2023-01-01 18:00:00,USA,City of Tacoma,US-NW-TPWR,74.35,105.72,87.46,80.84,eia.gov,false,
2023-01-01 19:00:00,USA,City of Tacoma,US-NW-TPWR,81.85,114.01,86.14,78.79,eia.gov,false,
2023-01-01 20:00:00,USA,City of Tacoma,US-NW-TPWR,87.65,120.56,85.12,77.26,eia.gov,false,
2023-01-01 21:00:00,USA,City of Tacoma,US-NW-TPWR,86.47,119.08,85.39,77.59,eia.gov,false,
2023-01-01 22:00:00,USA,City of Tacoma,US-NW-TPWR,82.53,114.36,86.22,78.3,eia.gov,false,
2023-01-01 23:00:00,USA,City of Tacoma,US-NW-TPWR,74.17,105.06,87.45,80.22,eia.gov,false,
2023-01-02 00:00:00,USA,City of Tacoma,US-NW-TPWR,61.24,90.49,89.72,83.06,eia.gov,false,
2023-01-02 01:00:00,USA,City of Tacoma,US-NW-TPWR,66.15,95.58,89.19,82.55,eia.gov,false,
2023-01-02 02:00:00,USA,City of Tacoma,US-NW-TPWR,61.33,90.27,89.99,84.07,eia.gov,false,
2023-01-02 03:00:00,USA,City of Tacoma,US-NW-TPWR,58.0,86.39,90.63,84.88,eia.gov,false,
2023-01-02 04:00:00,USA,City of Tacoma,US-NW-TPWR,61.38,90.03,90.11,84.09,eia.gov,false,
2023-01-02 05:00:00,USA,City of Tacoma,US-NW-TPWR,66.5,95.33,89.46,83.21,eia.gov,false,
2023-01-02 06:00:00,USA,City of Tacoma,US-NW-TPWR,74.48,103.84,88.3,81.67,eia.gov,false,
2023-01-02 07:00:00,USA,City of Tacoma,US-NW-TPWR,72.5,101.84,88.55,82.01,eia.gov,false,
2023-01-02 08:00:00,USA,City of Tacoma,US-NW-TPWR,93.86,125.19,85.08,77.19,eia.gov,false,
2023-01-02 09:00:00,USA,City of Tacoma,US-NW-TPWR,94.41,125.66,85.01,77.09,eia.gov,false,
2023-01-02 10:00:00,USA,City of Tacoma,US-NW-TPWR,95.63,126.77,84.86,76.82,eia.gov,false,
2023-01-02 11:00:00,USA,City of Tacoma,US-NW-TPWR,87.51,117.62,86.2,78.43,eia.gov,false,
2023-01-02 12:00:00,USA,City of Tacoma,US-NW-TPWR,77.47,107.22,87.51,80.19,eia.gov,false,
2023-01-02 13:00:00,USA,City of Tacoma,US-NW-TPWR,73.08,102.71,88.11,81.04,eia.gov,false,
2023-01-02 14:00:00,USA,City of Tacoma,US-NW-TPWR,53.6,82.08,91.01,85.45,eia.gov,false,
2023-01-02 15:00:00,USA,City of Tacoma,US-NW-TPWR,49.23,77.48,91.64,86.36,eia.gov,false,
2023-01-02 16:00:00,USA,City of Tacoma,US-NW-TPWR,67.9,98.84,88.24,82.43,eia.gov,false,
2023-01-02 17:00:00,USA,City of Tacoma,US-NW-TPWR,69.77,100.84,88.07,82.31,eia.gov,false,
2023-01-02 18:00:00,USA,City of Tacoma,US-NW-TPWR,70.42,101.02,88.29,82.49,eia.gov,false,
2023-01-02 19:00:00,USA,City of Tacoma,US-NW-TPWR,70.52,100.99,88.54,82.78,eia.gov,false,
2023-01-02 20:00:00,USA,City of Tacoma,US-NW-TPWR,68.48,98.32,89.11,83.43,eia.gov,false,
2023-01-02 21:00:00,USA,City of Tacoma,US-NW-TPWR,60.82,89.98,90.26,84.7,eia.gov,false,
2023-01-02 22:00:00,USA,City of Tacoma,US-NW-TPWR,59.21,88.23,90.47,84.94,eia.gov,false,
2023-01-02 23:00:00,USA,City of Tacoma,US-NW-TPWR,53.07,81.97,91.17,85.67,eia.gov,false,
2023-01-03 00:00:00,USA,City of Tacoma,US-NW-TPWR,40.58,69.18,92.77,87.86,eia.gov,false,
2023-01-03 01:00:00,USA,City of Tacoma,US-NW-TPWR,40.67,69.17,92.76,87.82,eia.gov,false,
2023-01-03 02:00:00,USA,City of Tacoma,US-NW-TPWR,41.8,70.26,92.62,87.65,eia.gov,false,
2023-01-03 03:00:00,USA,City of Tacoma,US-NW-TPWR,46.47,74.88,92.08,87.05,eia.gov,false,
2023-01-03 04:00:00,USA,City of Tacoma,US-NW-TPWR,54.09,82.63,91.11,85.77,eia.gov,false,
2023-01-03 05:00:00,USA,City of Tacoma,US-NW-TPWR,62.13,90.99,90.03,84.35,eia.gov,false,
2023-01-03 06:00:00,USA,City of Tacoma,US-NW-TPWR,72.06,101.71,88.5,82.54,eia.gov,false,
2023-01-03 07:00:00,USA,City of Tacoma,US-NW-TPWR,72.5,101.73,88.61,82.23,eia.gov,false,
2023-01-03 08:00:00,USA,City of Tacoma,US-NW-TPWR,90.9,122.0,85.47,77.74,eia.gov,false,
2023-01-03 09:00:00,USA,City of Tacoma,US-NW-TPWR,100.12,132.38,83.85,75.82,eia.gov,false,
2023-01-03 10:00:00,USA,City of Tacoma,US-NW-TPWR,102.94,135.57,83.32,75.07,eia.gov,false,
2023-01-03 11:00:00,USA,City of Tacoma,US-NW-TPWR,99.64,132.27,83.68,75.64,eia.gov,false,
2023-01-03 12:00:00,USA,City of Tacoma,US-NW-TPWR,86.55,117.89,85.83,78.23,eia.gov,false,
2023-01-03 13:00:00,USA,City of Tacoma,US-NW-TPWR,57.52,86.45,90.48,84.77,eia.gov,false,
2023-01-03 14:00:00,USA,City of Tacoma,US-NW-TPWR,38.89,66.75,93.23,88.82,eia.gov,false,
2023-01-03 15:00:00,USA,City of Tacoma,US-NW-TPWR,36.16,63.78,93.72,89.64,eia.gov,false,
2023-01-03 16:00:00,USA,City of Tacoma,US-NW-TPWR,42.78,70.61,92.92,88.58,eia.gov,false,
2023-01-03 17:00:00,USA,City of Tacoma,US-NW-TPWR,51.61,80.54,91.31,86.74,eia.gov,false,
2023-01-03 18:00:00,USA,City of Tacoma,US-NW-TPWR,51.39,80.1,91.45,86.99,eia.gov,false,
2023-01-03 19:00:00,USA,City of Tacoma,US-NW-TPWR,62.26,91.67,89.85,84.73,eia.gov,false,
2023-01-03 20:00:00,USA,City of Tacoma,US-NW-TPWR,67.5,97.36,88.98,83.61,eia.gov,false,
2023-01-03 21:00:00,USA,City of Tacoma,US-NW-TPWR,67.19,96.89,89.18,83.83,eia.gov,false,
2023-01-03 22:00:00,USA,City of Tacoma,US-NW-TPWR,64.44,93.79,89.76,84.36,eia.gov,false,
2023-01-03 23:00:00,USA,City of Tacoma,US-NW-TPWR,53.44,82.1,91.39,86.54,eia.gov,false,
2023-01-04 00:00:00,USA,City of Tacoma,US-NW-TPWR,40.09,67.91,93.32,89.44,eia.gov,false,
2023-01-04 01:00:00,USA,City of Tacoma,US-NW-TPWR,39.86,67.39,93.41,89.55,eia.gov,false,
2023-01-04 02:00:00,USA,City of Tacoma,US-NW-TPWR,41.39,68.81,93.27,89.34,eia.gov,false,
2023-01-04 03:00:00,USA,City of Tacoma,US-NW-TPWR,44.18,71.54,92.9,88.95,eia.gov,false,
2023-01-04 04:00:00,USA,City of Tacoma,US-NW-TPWR,45.02,72.36,92.89,89.03,eia.gov,false,
2023-01-04 05:00:00,USA,City of Tacoma,US-NW-TPWR,46.39,73.59,92.77,88.89,eia.gov,false,
2023-01-04 06:00:00,USA,City of Tacoma,US-NW-TPWR,69.17,97.59,89.47,84.03,eia.gov,false,
2023-01-04 07:00:00,USA,City of Tacoma,US-NW-TPWR,80.29,109.11,87.96,81.84,eia.gov,false,
2023-01-04 08:00:00,USA,City of Tacoma,US-NW-TPWR,80.77,108.76,88.4,81.9,eia.gov,false,
2023-01-04 09:00:00,USA,City of Tacoma,US-NW-TPWR,78.74,106.47,88.67,82.31,eia.gov,false,
2023-01-04 10:00:00,USA,City of Tacoma,US-NW-TPWR,79.71,107.6,88.57,82.13,eia.gov,false,
2023-01-04 11:00:00,USA,City of Tacoma,US-NW-TPWR,78.32,106.12,88.72,82.33,eia.gov,false,
2023-01-04 12:00:00,USA,City of Tacoma,US-NW-TPWR,75.5,103.36,89.06,82.65,eia.gov,false,
2023-01-04 13:00:00,USA,City of Tacoma,US-NW-TPWR,57.07,84.01,91.66,86.49,eia.gov,false,
2023-01-04 14:00:00,USA,City of Tacoma,US-NW-TPWR,42.2,68.49,93.78,89.73,eia.gov,false,
2023-01-04 15:00:00,USA,City of Tacoma,US-NW-TPWR,41.46,67.35,93.88,89.95,eia.gov,false,
2023-01-04 16:00:00,USA,City of Tacoma,US-NW-TPWR,42.67,68.64,93.74,89.8,eia.gov,false,
2023-01-04 17:00:00,USA,City of Tacoma,US-NW-TPWR,42.26,68.21,93.73,89.87,eia.gov,false,
2023-01-04 18:00:00,USA,City of Tacoma,US-NW-TPWR,40.17,66.5,93.72,89.73,eia.gov,false,
2023-01-04 19:00:00,USA,City of Tacoma,US-NW-TPWR,35.19,61.05,94.2,89.95,eia.gov,false,
2023-01-04 20:00:00,USA,City of Tacoma,US-NW-TPWR,35.51,61.78,93.91,89.6,eia.gov,false,
2023-01-04 21:00:00,USA,City of Tacoma,US-NW-TPWR,33.62,59.87,94.21,89.97,eia.gov,false,
2023-01-04 22:00:00,USA,City of Tacoma,US-NW-TPWR,30.72,56.88,94.61,90.42,eia.gov,false,
2023-01-04 23:00:00,USA,City of Tacoma,US-NW-TPWR,131.74,160.72,81.65,81.6,eia.gov,false,
2023-01-05 00:00:00,USA,City of Tacoma,US-NW-TPWR,63.92,91.35,90.67,90.65,eia.gov,false,
2023-01-05 01:00:00,USA,City of Tacoma,US-NW-TPWR,63.11,90.54,90.86,90.85,eia.gov,false,
2023-01-05 02:00:00,USA,City of Tacoma,US-NW-TPWR,70.84,98.63,89.87,89.85,eia.gov,false,
2023-01-05 03:00:00,USA,City of Tacoma,US-NW-TPWR,79.2,106.79,88.97,88.94,eia.gov,false,
2023-01-05 04:00:00,USA,City of Tacoma,US-NW-TPWR,78.7,105.94,89.25,89.23,eia.gov,false,
2023-01-05 05:00:00,USA,City of Tacoma,US-NW-TPWR,57.8,84.19,92.18,92.15,eia.gov,false,
2023-01-05 06:00:00,USA,City of Tacoma,US-NW-TPWR,86.51,113.88,88.52,88.49,eia.gov,false,
2023-01-05 07:00:00,USA,City of Tacoma,US-NW-TPWR,123.87,152.84,83.68,83.63,eia.gov,false,
2023-01-05 08:00:00,USA,City of Tacoma,US-NW-TPWR,157.51,187.93,79.12,79.1,eia.gov,false,
2023-01-05 09:00:00,USA,City of Tacoma,US-NW-TPWR,144.61,174.64,80.51,80.48,eia.gov,false,
2023-01-05 10:00:00,USA,City of Tacoma,US-NW-TPWR,153.25,183.72,79.13,79.1,eia.gov,false,
2023-01-05 11:00:00,USA,City of Tacoma,US-NW-TPWR,166.47,197.48,77.42,77.36,eia.gov,false,
2023-01-05 12:00:00,USA,City of Tacoma,US-NW-TPWR,151.27,181.96,78.79,78.75,eia.gov,false,
2023-01-05 13:00:00,USA,City of Tacoma,US-NW-TPWR,80.05,108.28,87.76,87.75,eia.gov,false,
2023-01-05 14:00:00,USA,City of Tacoma,US-NW-TPWR,52.24,80.09,91.51,91.51,eia.gov,false,
2023-01-05 15:00:00,USA,City of Tacoma,US-NW-TPWR,46.34,74.31,92.09,92.09,eia.gov,false,
2023-01-05 16:00:00,USA,City of Tacoma,US-NW-TPWR,69.5,98.05,89.08,89.06,eia.gov,false,
2023-01-05 17:00:00,USA,City of Tacoma,US-NW-TPWR,83.4,112.47,87.7,87.65,eia.gov,false,
2023-01-05 18:00:00,USA,City of Tacoma,US-NW-TPWR,85.18,114.22,87.55,87.49,eia.gov,false,
2023-01-05 19:00:00,USA,City of Tacoma,US-NW-TPWR,95.87,126.19,85.82,85.75,eia.gov,false,
2023-01-05 20:00:00,USA,City of Tacoma,US-NW-TPWR,96.87,126.6,86.34,86.27,eia.gov,false,
2023-01-05 21:00:00,USA,City of Tacoma,US-NW-TPWR,100.16,129.74,86.12,86.05,eia.gov,false,
2023-01-05 22:00:00,USA,City of Tacoma,US-NW-TPWR,96.86,126.47,86.31,86.27,eia.gov,false,
2023-01-05 23:00:00,USA,City of Tacoma,US-NW-TPWR,71.29,100.15,88.6,88.56,eia.gov,false,
2023-01-06 00:00:00,USA,City of Tacoma,US-NW-TPWR,20.31,47.73,95.41,91.15,eia.gov,false,
2023-01-06 01:00:00,USA,City of Tacoma,US-NW-TPWR,17.85,44.67,96.02,92.53,eia.gov,false,
2023-01-06 02:00:00,USA,City of Tacoma,US-NW-TPWR,18.91,45.65,95.96,92.38,eia.gov,false,
2023-01-06 03:00:00,USA,City of Tacoma,US-NW-TPWR,19.51,46.05,95.88,92.36,eia.gov,false,
2023-01-06 04:00:00,USA,City of Tacoma,US-NW-TPWR,21.36,48.19,95.58,91.98,eia.gov,false,
2023-01-06 05:00:00,USA,City of Tacoma,US-NW-TPWR,26.62,54.1,94.63,90.26,eia.gov,false,
2023-01-06 06:00:00,USA,City of Tacoma,US-NW-TPWR,27.23,54.49,94.66,89.9,eia.gov,false,
2023-01-06 07:00:00,USA,City of Tacoma,US-NW-TPWR,33.15,61.21,93.4,87.33,eia.gov,false,
2023-01-06 08:00:00,USA,City of Tacoma,US-NW-TPWR,34.22,62.58,93.08,86.75,eia.gov,false,
2023-01-06 09:00:00,USA,City of Tacoma,US-NW-TPWR,32.3,60.54,93.4,87.14,eia.gov,false,
2023-01-06 10:00:00,USA,City of Tacoma,US-NW-TPWR,31.43,59.91,93.41,87.02,eia.gov,false,
2023-01-06 11:00:00,USA,City of Tacoma,US-NW-TPWR,31.13,59.59,93.42,86.96,eia.gov,false,
2023-01-06 12:00:00,USA,City of Tacoma,US-NW-TPWR,29.7,58.01,93.73,87.52,eia.gov,false,
2023-01-06 13:00:00,USA,City of Tacoma,US-NW-TPWR,24.21,51.75,94.88,89.86,eia.gov,false,
2023-01-06 14:00:00,USA,City of Tacoma,US-NW-TPWR,18.98,46.02,95.94,91.8,eia.gov,false,
2023-01-06 15:00:00,USA,City of Tacoma,US-NW-TPWR,17.99,44.75,96.18,92.35,eia.gov,false,
2023-01-06 16:00:00,USA,City of Tacoma,US-NW-TPWR,24.98,52.45,94.84,90.13,eia.gov,false,
2023-01-06 17:00:00,USA,City of Tacoma,US-NW-TPWR,31.06,59.49,93.68,88.4,eia.gov,false,
2023-01-06 18:00:00,USA,City of Tacoma,US-NW-TPWR,36.19,65.26,92.68,87.16,eia.gov,false,
2023-01-06 19:00:00,USA,City of Tacoma,US-NW-TPWR,38.81,68.39,92.17,86.54,eia.gov,false,
2023-01-06 20:00:00,USA,City of Tacoma,US-NW-TPWR,41.01,71.07,91.84,86.2,eia.gov,false,
2023-01-06 21:00:00,USA,City of Tacoma,US-NW-TPWR,41.41,71.42,91.8,86.21,eia.gov,false,
2023-01-06 22:00:00,USA,City of Tacoma,US-NW-TPWR,39.1,68.76,92.23,86.69,eia.gov,false,
2023-01-06 23:00:00,USA,City of Tacoma,US-NW-TPWR,30.06,58.24,93.98,88.78,eia.gov,false,
2023-01-07 00:00:00,USA,City of Tacoma,US-NW-TPWR,26.57,53.22,95.14,90.64,eia.gov,false,
2023-01-07 01:00:00,USA,City of Tacoma,US-NW-TPWR,26.48,53.07,95.18,90.81,eia.gov,false,
2023-01-07 02:00:00,USA,City of Tacoma,US-NW-TPWR,22.87,49.03,95.78,91.9,eia.gov,false,
