Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,351.13,392.04,54.35,49.1,eia.gov,false,
2023-01-01 01:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,325.33,363.28,58.24,52.96,eia.gov,false,
2023-01-01 02:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,310.83,346.89,60.58,55.19,eia.gov,false,
2023-01-01 03:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,294.11,328.77,62.73,57.04,eia.gov,false,
2023-01-01 04:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,297.56,332.08,62.42,56.58,eia.gov,false,
2023-01-01 05:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,293.02,327.02,63.12,57.2,eia.gov,false,
2023-01-01 06:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,303.06,338.16,61.59,55.58,eia.gov,false,
2023-01-01 07:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,313.87,351.06,59.45,53.34,eia.gov,false,
2023-01-01 08:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,317.38,353.68,59.61,53.26,eia.gov,false,
2023-01-01 09:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,292.51,327.27,62.8,56.71,eia.gov,false,
2023-01-01 10:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,290.9,326.2,62.67,56.65,eia.gov,false,
2023-01-01 11:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,304.69,341.28,60.74,54.86,eia.gov,false,
2023-01-01 12:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,314.21,350.81,59.92,54.0,eia.gov,false,
2023-01-01 13:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,315.52,352.59,59.66,54.04,eia.gov,false,
2023-01-01 14:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,314.77,351.92,59.71,54.24,eia.gov,false,
2023-01-01 15:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,337.9,378.21,55.97,50.57,eia.gov,false,
2023-01-01 16:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,327.95,369.34,56.79,51.9,eia.gov,false,
2023-01-01 17:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,337.43,372.87,59.46,56.52,eia.gov,false,
2023-01-01 18:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,337.5,373.43,59.29,56.26,eia.gov,false,
2023-01-01 19:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,317.21,353.6,61.11,58.01,eia.gov,false,
2023-01-01 20:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,414.09,455.32,48.87,44.87,eia.gov,false,
2023-01-01 21:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,413.15,454.22,49.01,45.04,eia.gov,false,
2023-01-01 22:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,371.96,410.62,54.37,51.0,eia.gov,false,
2023-01-01 23:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,329.68,366.34,59.43,56.31,eia.gov,false,
2023-01-02 00:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,325.9,360.31,60.58,57.1,eia.gov,false,
2023-01-02 01:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,273.43,309.72,64.41,59.83,eia.gov,false,
2023-01-02 02:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,299.29,336.74,60.86,55.52,eia.gov,false,
2023-01-02 03:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,304.52,343.1,59.91,54.67,eia.gov,false,
2023-01-02 04:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,327.81,367.21,57.06,51.22,eia.gov,false,
2023-01-02 05:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,321.15,359.91,57.98,51.9,eia.gov,false,
2023-01-02 06:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,315.74,353.18,59.21,53.08,eia.gov,false,
2023-01-02 07:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,302.96,338.72,61.24,54.87,eia.gov,false,
2023-01-02 08:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,299.53,335.55,61.42,55.1,eia.gov,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 09:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,296.95,333.27,61.49,55.25,eia.gov,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 10:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,299.39,335.91,61.14,54.95,eia.gov,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 11:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,303.82,340.17,60.97,55.19,eia.gov,false,
2023-01-02 12:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,288.01,322.73,63.43,57.69,eia.gov,false,
2023-01-02 13:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,255.0,288.3,67.26,61.67,eia.gov,false,
2023-01-02 14:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,261.45,295.55,66.1,60.52,eia.gov,false,
2023-01-02 15:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,275.66,310.09,64.62,59.16,eia.gov,false,
2023-01-02 16:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,282.98,317.38,63.95,58.64,eia.gov,false,
2023-01-02 17:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,292.54,327.1,62.99,57.84,eia.gov,false,
2023-01-02 18:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,307.82,343.38,61.13,55.98,eia.gov,false,
2023-01-02 19:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,313.76,349.56,60.46,55.12,eia.gov,false,
2023-01-02 20:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,305.19,340.5,61.5,56.19,eia.gov,false,
2023-01-02 21:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,302.61,338.04,61.67,56.36,eia.gov,false,
2023-01-02 22:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,306.62,342.49,61.04,55.78,eia.gov,false,
2023-01-02 23:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,317.42,353.93,59.74,54.68,eia.gov,false,
2023-01-03 00:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,301.83,338.34,61.14,56.08,eia.gov,false,
2023-01-03 01:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,276.31,312.03,63.95,58.91,eia.gov,false,
2023-01-03 02:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,273.32,308.12,64.71,59.65,eia.gov,false,
2023-01-03 03:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,289.58,323.28,63.64,58.36,eia.gov,false,
2023-01-03 04:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,298.63,332.26,62.77,57.25,eia.gov,false,
2023-01-03 05:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,269.34,300.59,66.67,60.87,eia.gov,false,
2023-01-03 06:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,214.57,243.76,73.08,67.65,eia.gov,false,
2023-01-03 07:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,188.12,216.65,75.73,70.2,eia.gov,false,
2023-01-03 08:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,200.35,229.07,74.21,68.37,eia.gov,false,
2023-01-03 09:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,204.14,232.8,73.86,67.96,eia.gov,false,
2023-01-03 10:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,219.03,248.7,71.97,66.17,eia.gov,false,
2023-01-03 11:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,225.82,256.09,71.09,65.52,eia.gov,false,
2023-01-03 12:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,220.53,250.81,71.7,66.49,eia.gov,false,
2023-01-03 13:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,225.6,256.19,71.31,66.62,eia.gov,false,
2023-01-03 14:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,241.0,272.04,69.7,65.09,eia.gov,false,
2023-01-03 15:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,256.59,288.1,67.86,63.1,eia.gov,false,
2023-01-03 16:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,238.14,268.63,70.18,65.55,eia.gov,false,
2023-01-03 17:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,229.82,260.14,71.2,66.74,eia.gov,false,
2023-01-03 18:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,234.11,264.77,70.54,66.02,eia.gov,false,
2023-01-03 19:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,247.36,278.91,68.84,64.33,eia.gov,false,
2023-01-03 20:00:00,USA,Western Area Power Administration - Upper Great Plains West,US-NW-WAUW,264.84,297.73,66.36,61.7,eia.gov,false,
