Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Southeastern Power Administration,US-SE-SEPA,214.39,261.17,67.88,41.48,eia.gov,false,
2023-01-01 01:00:00,USA,Southeastern Power Administration,US-SE-SEPA,261.12,313.19,60.48,26.42,eia.gov,false,
2023-01-01 02:00:00,USA,Southeastern Power Administration,US-SE-SEPA,257.51,309.25,61.05,27.93,eia.gov,false,
2023-01-01 03:00:00,USA,Southeastern Power Administration,US-SE-SEPA,393.94,461.17,41.61,2.53,eia.gov,false,
2023-01-01 04:00:00,USA,Southeastern Power Administration,US-SE-SEPA,436.53,509.68,35.64,1.21,eia.gov,false,
2023-01-01 05:00:00,USA,Southeastern Power Administration,US-SE-SEPA,431.96,506.25,34.98,0.84,eia.gov,false,
2023-01-01 06:00:00,USA,Southeastern Power Administration,US-SE-SEPA,441.9,516.04,34.82,0.83,eia.gov,false,
2023-01-01 07:00:00,USA,Southeastern Power Administration,US-SE-SEPA,448.62,523.64,33.87,0.83,eia.gov,false,
2023-01-01 08:00:00,USA,Southeastern Power Administration,US-SE-SEPA,451.6,526.48,33.93,0.77,eia.gov,false,
2023-01-01 09:00:00,USA,Southeastern Power Administration,US-SE-SEPA,448.04,522.5,34.37,0.78,eia.gov,false,
2023-01-01 10:00:00,USA,Southeastern Power Administration,US-SE-SEPA,417.72,488.12,38.44,0.85,eia.gov,false,
2023-01-01 11:00:00,USA,Southeastern Power Administration,US-SE-SEPA,346.68,407.36,48.25,0.95,eia.gov,false,
2023-01-01 12:00:00,USA,Southeastern Power Administration,US-SE-SEPA,298.9,355.0,56.42,25.66,eia.gov,false,
2023-01-01 13:00:00,USA,Southeastern Power Administration,US-SE-SEPA,46.62,75.24,91.93,75.9,eia.gov,false,
2023-01-01 14:00:00,USA,Southeastern Power Administration,US-SE-SEPA,48.11,76.7,91.77,74.79,eia.gov,false,
2023-01-01 15:00:00,USA,Southeastern Power Administration,US-SE-SEPA,152.83,193.26,76.64,52.54,eia.gov,false,
2023-01-01 16:00:00,USA,Southeastern Power Administration,US-SE-SEPA,160.51,203.03,74.32,48.29,eia.gov,false,
2023-01-01 17:00:00,USA,Southeastern Power Administration,US-SE-SEPA,161.56,204.2,74.16,47.74,eia.gov,false,
2023-01-01 18:00:00,USA,Southeastern Power Administration,US-SE-SEPA,166.34,209.07,73.96,47.96,eia.gov,false,
2023-01-01 19:00:00,USA,Southeastern Power Administration,US-SE-SEPA,161.66,203.71,74.71,48.59,eia.gov,false,
2023-01-01 20:00:00,USA,Southeastern Power Administration,US-SE-SEPA,141.31,181.49,77.03,51.02,eia.gov,false,
2023-01-01 21:00:00,USA,Southeastern Power Administration,US-SE-SEPA,139.26,179.35,77.12,51.13,eia.gov,false,
2023-01-01 22:00:00,USA,Southeastern Power Administration,US-SE-SEPA,150.93,192.29,75.44,49.28,eia.gov,false,
2023-01-01 23:00:00,USA,Southeastern Power Administration,US-SE-SEPA,167.98,211.28,72.86,45.72,eia.gov,false,
2023-01-02 00:00:00,USA,Southeastern Power Administration,US-SE-SEPA,,,,,eia.gov,,
2023-01-02 01:00:00,USA,Southeastern Power Administration,US-SE-SEPA,350.4,417.48,44.03,6.64,eia.gov,false,
2023-01-02 02:00:00,USA,Southeastern Power Administration,US-SE-SEPA,374.24,443.72,41.23,4.92,eia.gov,false,
2023-01-02 03:00:00,USA,Southeastern Power Administration,US-SE-SEPA,377.44,447.43,40.64,4.07,eia.gov,false,
2023-01-02 04:00:00,USA,Southeastern Power Administration,US-SE-SEPA,388.55,460.21,38.66,1.91,eia.gov,false,
2023-01-02 05:00:00,USA,Southeastern Power Administration,US-SE-SEPA,380.44,451.75,39.11,1.28,eia.gov,false,
2023-01-02 06:00:00,USA,Southeastern Power Administration,US-SE-SEPA,377.46,448.39,39.43,0.85,eia.gov,false,
2023-01-02 07:00:00,USA,Southeastern Power Administration,US-SE-SEPA,371.3,442.05,39.8,0.88,eia.gov,false,
2023-01-02 08:00:00,USA,Southeastern Power Administration,US-SE-SEPA,376.48,448.4,38.71,0.85,eia.gov,false,
2023-01-02 09:00:00,USA,Southeastern Power Administration,US-SE-SEPA,353.12,421.19,42.43,0.83,eia.gov,false,
2023-01-02 10:00:00,USA,Southeastern Power Administration,US-SE-SEPA,157.22,199.35,73.25,37.75,eia.gov,false,
2023-01-02 11:00:00,USA,Southeastern Power Administration,US-SE-SEPA,169.42,212.89,71.69,36.86,eia.gov,false,
2023-01-02 12:00:00,USA,Southeastern Power Administration,US-SE-SEPA,19.33,45.34,96.65,90.76,eia.gov,false,
2023-01-02 13:00:00,USA,Southeastern Power Administration,US-SE-SEPA,19.06,45.02,96.74,91.26,eia.gov,false,
2023-01-02 14:00:00,USA,Southeastern Power Administration,US-SE-SEPA,34.98,62.57,93.92,82.68,eia.gov,false,
2023-01-02 15:00:00,USA,Southeastern Power Administration,US-SE-SEPA,38.0,65.72,93.49,80.46,eia.gov,false,
2023-01-02 16:00:00,USA,Southeastern Power Administration,US-SE-SEPA,53.23,82.25,90.9,71.04,eia.gov,false,
2023-01-02 17:00:00,USA,Southeastern Power Administration,US-SE-SEPA,134.26,172.61,78.42,48.61,eia.gov,false,
2023-01-02 18:00:00,USA,Southeastern Power Administration,US-SE-SEPA,153.38,193.95,75.65,44.77,eia.gov,false,
2023-01-02 19:00:00,USA,Southeastern Power Administration,US-SE-SEPA,269.45,323.93,58.33,21.21,eia.gov,false,
2023-01-02 20:00:00,USA,Southeastern Power Administration,US-SE-SEPA,269.46,324.18,58.09,21.46,eia.gov,false,
2023-01-02 21:00:00,USA,Southeastern Power Administration,US-SE-SEPA,206.53,254.7,67.82,44.23,eia.gov,false,
2023-01-02 22:00:00,USA,Southeastern Power Administration,US-SE-SEPA,59.0,90.2,91.11,88.37,eia.gov,false,
2023-01-02 23:00:00,USA,Southeastern Power Administration,US-SE-SEPA,66.08,97.98,90.22,87.44,eia.gov,false,
2023-01-03 00:00:00,USA,Southeastern Power Administration,US-SE-SEPA,220.2,269.46,66.36,44.42,eia.gov,false,
2023-01-03 01:00:00,USA,Southeastern Power Administration,US-SE-SEPA,403.53,473.87,39.52,6.12,eia.gov,false,
2023-01-03 02:00:00,USA,Southeastern Power Administration,US-SE-SEPA,428.3,502.68,35.41,4.28,eia.gov,false,
2023-01-03 03:00:00,USA,Southeastern Power Administration,US-SE-SEPA,406.12,478.71,37.48,3.61,eia.gov,false,
2023-01-03 04:00:00,USA,Southeastern Power Administration,US-SE-SEPA,401.33,473.33,38.09,3.17,eia.gov,false,
2023-01-03 05:00:00,USA,Southeastern Power Administration,US-SE-SEPA,416.09,489.46,36.33,1.16,eia.gov,false,
2023-01-03 06:00:00,USA,Southeastern Power Administration,US-SE-SEPA,,,,,eia.gov,,
2023-01-03 07:00:00,USA,Southeastern Power Administration,US-SE-SEPA,395.0,466.19,38.77,0.86,eia.gov,false,
2023-01-03 08:00:00,USA,Southeastern Power Administration,US-SE-SEPA,403.11,475.54,37.55,0.81,eia.gov,false,
2023-01-03 09:00:00,USA,Southeastern Power Administration,US-SE-SEPA,358.2,424.36,43.91,0.72,eia.gov,false,
2023-01-03 10:00:00,USA,Southeastern Power Administration,US-SE-SEPA,288.98,347.23,54.63,20.99,eia.gov,false,
2023-01-03 11:00:00,USA,Southeastern Power Administration,US-SE-SEPA,259.93,314.15,60.56,37.56,eia.gov,false,
2023-01-03 12:00:00,USA,Southeastern Power Administration,US-SE-SEPA,156.91,198.7,77.8,72.29,eia.gov,false,
2023-01-03 13:00:00,USA,Southeastern Power Administration,US-SE-SEPA,232.36,282.31,67.47,59.32,eia.gov,false,
2023-01-03 14:00:00,USA,Southeastern Power Administration,US-SE-SEPA,294.47,351.67,56.19,30.69,eia.gov,false,
2023-01-03 15:00:00,USA,Southeastern Power Administration,US-SE-SEPA,291.38,349.83,54.12,20.38,eia.gov,false,
2023-01-03 16:00:00,USA,Southeastern Power Administration,US-SE-SEPA,281.15,338.98,55.19,20.36,eia.gov,false,
2023-01-03 17:00:00,USA,Southeastern Power Administration,US-SE-SEPA,284.6,342.86,54.8,20.65,eia.gov,false,
2023-01-03 18:00:00,USA,Southeastern Power Administration,US-SE-SEPA,286.46,344.87,54.6,20.59,eia.gov,false,
2023-01-03 19:00:00,USA,Southeastern Power Administration,US-SE-SEPA,284.43,342.86,54.61,20.11,eia.gov,false,
2023-01-03 20:00:00,USA,Southeastern Power Administration,US-SE-SEPA,285.18,343.44,54.64,19.48,eia.gov,false,
