Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,534.67,612.91,13.0,12.99,eia.gov,false,
2023-01-01 01:00:00,USA,Arizona Public Service Company,US-SW-AZPS,443.6,499.93,34.22,12.14,eia.gov,false,
2023-01-01 02:00:00,USA,Arizona Public Service Company,US-SW-AZPS,446.98,503.36,33.93,13.03,eia.gov,false,
2023-01-01 03:00:00,USA,Arizona Public Service Company,US-SW-AZPS,447.16,503.85,33.66,12.07,eia.gov,false,
2023-01-01 04:00:00,USA,Arizona Public Service Company,US-SW-AZPS,441.59,498.79,33.83,11.31,eia.gov,false,
2023-01-01 05:00:00,USA,Arizona Public Service Company,US-SW-AZPS,441.67,498.57,34.01,11.28,eia.gov,false,
2023-01-01 06:00:00,USA,Arizona Public Service Company,US-SW-AZPS,445.18,501.78,33.86,11.44,eia.gov,false,
2023-01-01 07:00:00,USA,Arizona Public Service Company,US-SW-AZPS,446.14,500.46,35.32,12.03,eia.gov,false,
2023-01-01 08:00:00,USA,Arizona Public Service Company,US-SW-AZPS,445.48,500.32,35.0,12.29,eia.gov,false,
2023-01-01 09:00:00,USA,Arizona Public Service Company,US-SW-AZPS,445.1,497.89,36.34,12.41,eia.gov,false,
2023-01-01 10:00:00,USA,Arizona Public Service Company,US-SW-AZPS,446.87,500.38,35.77,11.62,eia.gov,false,
2023-01-01 11:00:00,USA,Arizona Public Service Company,US-SW-AZPS,449.31,503.2,35.33,11.16,eia.gov,false,
2023-01-01 12:00:00,USA,Arizona Public Service Company,US-SW-AZPS,452.91,510.17,32.81,9.52,eia.gov,false,
2023-01-01 13:00:00,USA,Arizona Public Service Company,US-SW-AZPS,451.97,510.12,32.36,8.81,eia.gov,false,
2023-01-01 14:00:00,USA,Arizona Public Service Company,US-SW-AZPS,444.55,500.73,34.23,10.53,eia.gov,false,
2023-01-01 15:00:00,USA,Arizona Public Service Company,US-SW-AZPS,434.9,488.93,36.43,10.82,eia.gov,false,
2023-01-01 16:00:00,USA,Arizona Public Service Company,US-SW-AZPS,434.97,487.56,37.23,11.4,eia.gov,false,
2023-01-01 17:00:00,USA,Arizona Public Service Company,US-SW-AZPS,428.4,480.76,37.86,9.7,eia.gov,false,
2023-01-01 18:00:00,USA,Arizona Public Service Company,US-SW-AZPS,427.27,479.4,37.86,7.06,eia.gov,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 19:00:00,USA,Arizona Public Service Company,US-SW-AZPS,420.27,468.55,40.98,7.52,eia.gov,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 20:00:00,USA,Arizona Public Service Company,US-SW-AZPS,423.81,472.25,40.56,8.15,eia.gov,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 21:00:00,USA,Arizona Public Service Company,US-SW-AZPS,421.21,469.63,40.77,8.79,eia.gov,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 22:00:00,USA,Arizona Public Service Company,US-SW-AZPS,430.22,482.02,37.69,9.63,eia.gov,false,
2023-01-01 23:00:00,USA,Arizona Public Service Company,US-SW-AZPS,433.69,488.64,35.26,7.99,eia.gov,false,
2023-01-02 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,452.95,515.66,28.49,5.2,eia.gov,false,
2023-01-02 01:00:00,USA,Arizona Public Service Company,US-SW-AZPS,457.49,523.06,26.57,3.62,eia.gov,false,
2023-01-02 02:00:00,USA,Arizona Public Service Company,US-SW-AZPS,462.08,527.19,26.75,5.4,eia.gov,false,
2023-01-02 03:00:00,USA,Arizona Public Service Company,US-SW-AZPS,458.09,522.16,27.75,6.68,eia.gov,false,
2023-01-02 04:00:00,USA,Arizona Public Service Company,US-SW-AZPS,456.08,517.47,29.76,8.94,eia.gov,false,
2023-01-02 05:00:00,USA,Arizona Public Service Company,US-SW-AZPS,456.22,516.25,30.59,10.35,eia.gov,false,
2023-01-02 06:00:00,USA,Arizona Public Service Company,US-SW-AZPS,449.73,506.38,33.3,11.65,eia.gov,false,
2023-01-02 07:00:00,USA,Arizona Public Service Company,US-SW-AZPS,448.86,504.87,33.72,10.89,eia.gov,false,
2023-01-02 08:00:00,USA,Arizona Public Service Company,US-SW-AZPS,441.9,494.91,36.38,11.28,eia.gov,false,
2023-01-02 09:00:00,USA,Arizona Public Service Company,US-SW-AZPS,444.3,497.2,36.1,10.11,eia.gov,false,
2023-01-02 10:00:00,USA,Arizona Public Service Company,US-SW-AZPS,448.77,502.62,34.9,7.3,eia.gov,false,
2023-01-02 11:00:00,USA,Arizona Public Service Company,US-SW-AZPS,453.68,508.88,33.38,4.32,eia.gov,false,
2023-01-02 12:00:00,USA,Arizona Public Service Company,US-SW-AZPS,452.39,508.12,32.87,2.88,eia.gov,false,
2023-01-02 13:00:00,USA,Arizona Public Service Company,US-SW-AZPS,450.0,508.44,31.46,3.64,eia.gov,false,
2023-01-02 14:00:00,USA,Arizona Public Service Company,US-SW-AZPS,453.13,511.8,31.03,4.31,eia.gov,false,
2023-01-02 15:00:00,USA,Arizona Public Service Company,US-SW-AZPS,439.61,498.31,32.14,3.43,eia.gov,false,
2023-01-02 16:00:00,USA,Arizona Public Service Company,US-SW-AZPS,421.35,476.49,36.35,6.38,eia.gov,false,
2023-01-02 17:00:00,USA,Arizona Public Service Company,US-SW-AZPS,404.83,457.53,39.76,10.71,eia.gov,false,
2023-01-02 18:00:00,USA,Arizona Public Service Company,US-SW-AZPS,397.51,449.46,40.76,11.07,eia.gov,false,
2023-01-02 19:00:00,USA,Arizona Public Service Company,US-SW-AZPS,403.51,454.94,40.74,12.74,eia.gov,false,
2023-01-02 20:00:00,USA,Arizona Public Service Company,US-SW-AZPS,400.79,452.35,41.09,13.54,eia.gov,false,
2023-01-02 21:00:00,USA,Arizona Public Service Company,US-SW-AZPS,408.5,461.65,39.33,13.19,eia.gov,false,
2023-01-02 22:00:00,USA,Arizona Public Service Company,US-SW-AZPS,406.07,459.5,39.39,14.15,eia.gov,false,
2023-01-02 23:00:00,USA,Arizona Public Service Company,US-SW-AZPS,409.45,466.68,36.46,11.59,eia.gov,false,
2023-01-03 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,426.19,487.53,32.12,8.54,eia.gov,false,
2023-01-03 01:00:00,USA,Arizona Public Service Company,US-SW-AZPS,421.13,483.81,31.89,8.94,eia.gov,false,
2023-01-03 02:00:00,USA,Arizona Public Service Company,US-SW-AZPS,410.34,473.79,32.29,9.42,eia.gov,false,
2023-01-03 03:00:00,USA,Arizona Public Service Company,US-SW-AZPS,406.51,470.43,32.41,9.67,eia.gov,false,
2023-01-03 04:00:00,USA,Arizona Public Service Company,US-SW-AZPS,407.82,471.65,32.57,10.2,eia.gov,false,
2023-01-03 05:00:00,USA,Arizona Public Service Company,US-SW-AZPS,397.92,461.76,33.53,10.58,eia.gov,false,
2023-01-03 06:00:00,USA,Arizona Public Service Company,US-SW-AZPS,395.07,458.1,34.58,11.6,eia.gov,false,
2023-01-03 07:00:00,USA,Arizona Public Service Company,US-SW-AZPS,391.29,451.35,36.97,12.61,eia.gov,false,
2023-01-03 08:00:00,USA,Arizona Public Service Company,US-SW-AZPS,389.05,446.47,38.84,12.25,eia.gov,false,
2023-01-03 09:00:00,USA,Arizona Public Service Company,US-SW-AZPS,387.16,444.91,38.82,12.07,eia.gov,false,
2023-01-03 10:00:00,USA,Arizona Public Service Company,US-SW-AZPS,389.35,446.7,38.83,12.35,eia.gov,false,
2023-01-03 11:00:00,USA,Arizona Public Service Company,US-SW-AZPS,387.65,446.14,38.17,12.03,eia.gov,false,
2023-01-03 12:00:00,USA,Arizona Public Service Company,US-SW-AZPS,387.76,449.05,36.25,11.11,eia.gov,false,
2023-01-03 13:00:00,USA,Arizona Public Service Company,US-SW-AZPS,387.9,450.08,35.63,10.92,eia.gov,false,
2023-01-03 14:00:00,USA,Arizona Public Service Company,US-SW-AZPS,390.96,454.42,34.5,10.37,eia.gov,false,
2023-01-03 15:00:00,USA,Arizona Public Service Company,US-SW-AZPS,369.14,431.76,37.0,10.88,eia.gov,false,
2023-01-03 16:00:00,USA,Arizona Public Service Company,US-SW-AZPS,338.64,396.44,42.97,11.4,eia.gov,false,
2023-01-03 17:00:00,USA,Arizona Public Service Company,US-SW-AZPS,317.41,371.89,46.94,14.19,eia.gov,false,
2023-01-03 18:00:00,USA,Arizona Public Service Company,US-SW-AZPS,298.29,345.85,53.11,16.1,eia.gov,false,
2023-01-03 19:00:00,USA,Arizona Public Service Company,US-SW-AZPS,296.92,343.66,53.77,15.46,eia.gov,false,
2023-01-03 20:00:00,USA,Arizona Public Service Company,US-SW-AZPS,292.8,339.15,54.37,14.9,eia.gov,false,
2023-01-03 21:00:00,USA,Arizona Public Service Company,US-SW-AZPS,299.48,345.64,53.97,15.91,eia.gov,false,
2023-01-03 22:00:00,USA,Arizona Public Service Company,US-SW-AZPS,304.66,352.04,52.81,16.39,eia.gov,false,
2023-01-03 23:00:00,USA,Arizona Public Service Company,US-SW-AZPS,335.02,391.01,44.29,11.99,eia.gov,false,
2023-01-04 00:00:00,USA,Arizona Public Service Company,US-SW-AZPS,352.63,414.7,38.68,8.52,eia.gov,false,
2023-01-04 01:00:00,USA,Arizona Public Service Company,US-SW-AZPS,362.29,425.97,37.01,8.76,eia.gov,false,
2023-01-04 02:00:00,USA,Arizona Public Service Company,US-SW-AZPS,362.28,425.39,37.43,9.12,eia.gov,false,
2023-01-04 03:00:00,USA,Arizona Public Service Company,US-SW-AZPS,367.97,430.56,37.37,9.79,eia.gov,false,
2023-01-04 04:00:00,USA,Arizona Public Service Company,US-SW-AZPS,368.31,430.07,37.89,10.16,eia.gov,false,
2023-01-04 05:00:00,USA,Arizona Public Service Company,US-SW-AZPS,367.57,427.57,39.03,10.47,eia.gov,false,
2023-01-04 06:00:00,USA,Arizona Public Service Company,US-SW-AZPS,366.63,426.89,39.02,10.57,eia.gov,false,
