Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,267.43,316.32,54.85,42.6,ercot.com,false,
2023-01-01 01:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,221.99,264.07,62.81,50.39,ercot.com,false,
2023-01-01 02:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,208.99,248.03,65.75,53.1,ercot.com,false,
2023-01-01 03:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,199.46,235.29,68.52,55.66,ercot.com,false,
2023-01-01 04:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,185.81,218.99,71.3,58.05,ercot.com,false,
2023-01-01 05:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,177.12,209.96,72.22,58.59,ercot.com,false,
2023-01-01 06:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,165.6,197.44,73.77,59.72,ercot.com,false,
2023-01-01 07:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,161.11,192.4,74.49,60.2,ercot.com,false,
2023-01-01 08:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,162.65,194.1,74.27,59.73,ercot.com,false,
2023-01-01 09:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,164.78,196.53,73.9,59.2,ercot.com,false,
2023-01-01 10:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,165.84,197.89,73.64,58.86,ercot.com,false,
2023-01-01 11:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,170.55,203.79,72.52,57.78,ercot.com,false,
2023-01-01 12:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,185.49,221.61,69.51,55.08,ercot.com,false,
2023-01-01 13:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,214.37,255.13,64.33,50.11,ercot.com,false,
2023-01-01 14:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,227.54,269.66,62.67,48.67,ercot.com,false,
2023-01-01 15:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,217.2,260.36,63.71,50.0,ercot.com,false,
2023-01-01 16:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,248.54,298.03,57.54,43.93,ercot.com,false,
2023-01-01 17:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,260.05,311.65,55.29,41.69,ercot.com,false,
2023-01-01 18:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,253.56,305.38,55.73,42.38,ercot.com,false,
2023-01-01 19:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,275.18,330.52,51.78,38.55,ercot.com,false,
2023-01-01 20:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,285.91,343.09,49.75,36.61,ercot.com,false,
2023-01-01 21:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,289.59,348.3,48.19,35.28,ercot.com,false,
2023-01-01 22:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,320.77,382.33,43.28,30.42,ercot.com,false,
2023-01-01 23:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,338.19,400.44,40.86,28.17,ercot.com,false,
2023-01-02 00:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,279.32,332.74,51.04,38.79,ercot.com,false,
2023-01-02 01:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,222.28,266.79,61.28,48.93,ercot.com,false,
2023-01-02 02:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,205.81,246.83,64.76,52.35,ercot.com,false,
2023-01-02 03:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,194.26,230.92,68.44,55.79,ercot.com,false,
2023-01-02 04:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,172.6,204.15,73.4,60.46,ercot.com,false,
2023-01-02 05:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,158.78,188.93,75.38,61.94,ercot.com,false,
2023-01-02 06:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,157.46,187.6,75.5,61.57,ercot.com,false,
2023-01-02 07:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,158.16,188.59,75.25,60.98,ercot.com,false,
2023-01-02 08:00:00,USA,Electric Reliability Council of Texas,US-TEX-ERCO,159.32,189.97,75.02,60.57,ercot.com,false,
