Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,USA,US,345.84,408.44,43.31,21.23,,false,
2023-01-01 01:00:00,USA,USA,US,331.6,392.15,45.68,23.23,,false,
2023-01-01 02:00:00,USA,USA,US,328.01,387.57,46.53,23.49,,false,
2023-01-01 03:00:00,USA,USA,US,324.6,383.16,47.44,23.68,,false,
2023-01-01 04:00:00,USA,USA,US,321.59,379.04,48.36,23.91,,false,
2023-01-01 05:00:00,USA,USA,US,318.66,375.59,48.94,23.84,,false,
2023-01-01 06:00:00,USA,USA,US,314.93,371.43,49.43,23.67,,false,
2023-01-01 07:00:00,USA,USA,US,315.64,372.03,49.47,23.11,,false,
2023-01-01 08:00:00,USA,USA,US,315.76,371.63,49.76,22.95,,false,
2023-01-01 09:00:00,USA,USA,US,313.13,368.58,50.23,23.19,,false,
2023-01-01 10:00:00,USA,USA,US,312.94,368.14,50.44,23.25,,false,
2023-01-01 11:00:00,USA,USA,US,317.01,372.62,49.88,22.75,,false,
2023-01-01 12:00:00,USA,USA,US,322.7,379.82,48.51,22.01,,false,
2023-01-01 13:00:00,USA,USA,US,327.0,385.21,47.55,21.57,,false,
2023-01-01 14:00:00,USA,USA,US,326.61,385.02,47.55,22.15,,false,
2023-01-01 15:00:00,USA,USA,US,326.53,385.24,47.54,22.49,,false,
2023-01-01 16:00:00,USA,USA,US,329.45,388.82,47.03,22.21,,false,
2023-01-01 17:00:00,USA,USA,US,330.64,390.3,46.8,22.18,,false,
2023-01-01 18:00:00,USA,USA,US,331.18,390.99,46.68,22.17,,false,
2023-01-01 19:00:00,USA,USA,US,335.98,396.58,45.79,21.35,,false,
2023-01-01 20:00:00,USA,USA,US,342.01,403.62,44.58,20.17,,false,
2023-01-01 21:00:00,USA,USA,US,344.91,407.74,43.47,19.28,,false,
2023-01-01 22:00:00,USA,USA,US,351.4,415.47,42.1,18.53,,false,
2023-01-01 23:00:00,USA,USA,US,352.94,418.01,41.4,18.52,,false,
2023-01-02 00:00:00,USA,USA,US,345.4,409.35,42.6,19.98,,false,
2023-01-02 01:00:00,USA,USA,US,339.17,402.38,43.51,20.87,,false,
2023-01-02 02:00:00,USA,USA,US,336.02,398.59,44.17,21.11,,false,
2023-01-02 03:00:00,USA,USA,US,335.11,396.85,44.75,20.97,,false,
2023-01-02 04:00:00,USA,USA,US,331.52,391.77,45.98,21.34,,false,
2023-01-02 05:00:00,USA,USA,US,327.7,386.85,47.02,21.44,,false,
2023-01-02 06:00:00,USA,USA,US,325.92,384.45,47.52,21.11,,false,
2023-01-02 07:00:00,USA,USA,US,322.39,380.37,48.16,21.15,,false,
2023-01-02 08:00:00,USA,USA,US,322.73,381.02,47.87,20.63,,false,
2023-01-02 09:00:00,USA,USA,US,325.99,384.87,47.25,20.07,,false,
2023-01-02 10:00:00,USA,USA,US,332.14,392.19,46.06,19.24,,false,
2023-01-02 11:00:00,USA,USA,US,338.09,399.49,44.78,18.82,,false,
2023-01-02 12:00:00,USA,USA,US,336.31,397.96,44.82,19.84,,false,
2023-01-02 13:00:00,USA,USA,US,331.61,393.35,45.21,21.06,,false,
2023-01-02 14:00:00,USA,USA,US,328.89,390.61,45.5,21.96,,false,
2023-01-02 15:00:00,USA,USA,US,329.86,392.06,45.19,22.26,,false,
2023-01-02 16:00:00,USA,USA,US,328.31,389.93,45.8,23.16,,false,
2023-01-02 17:00:00,USA,USA,US,329.61,390.72,46.11,23.8,,false,
2023-01-02 18:00:00,USA,USA,US,329.96,390.71,46.34,23.97,,false,
2023-01-02 19:00:00,USA,USA,US,330.8,391.91,45.99,23.66,,false,
2023-01-02 20:00:00,USA,USA,US,329.3,390.47,45.99,23.73,,false,
2023-01-02 21:00:00,USA,USA,US,331.37,393.04,45.41,23.45,,false,
2023-01-02 22:00:00,USA,USA,US,332.91,395.29,44.8,23.48,,false,
2023-01-02 23:00:00,USA,USA,US,337.18,399.9,44.04,23.11,,false,
2023-01-03 00:00:00,USA,USA,US,340.38,403.73,43.35,22.5,,false,
2023-01-03 01:00:00,USA,USA,US,339.99,403.26,43.43,22.37,,false,
2023-01-03 02:00:00,USA,USA,US,334.62,396.73,44.55,22.9,,false,
2023-01-03 03:00:00,USA,USA,US,328.42,389.37,45.67,23.23,,false,
2023-01-03 04:00:00,USA,USA,US,322.69,382.05,47.09,23.63,,false,
2023-01-03 05:00:00,USA,USA,US,317.15,374.96,48.54,23.97,,false,
2023-01-03 06:00:00,USA,USA,US,311.47,368.2,49.65,24.16,,false,
2023-01-03 07:00:00,USA,USA,US,307.06,363.62,50.13,24.15,,false,
2023-01-03 08:00:00,USA,USA,US,307.04,363.62,50.09,23.86,,false,
2023-01-03 09:00:00,USA,USA,US,307.38,364.03,49.99,23.71,,false,
2023-01-03 10:00:00,USA,USA,US,311.05,368.99,48.85,23.12,,false,
2023-01-03 11:00:00,USA,USA,US,318.69,378.94,46.82,22.34,,false,
2023-01-03 12:00:00,USA,USA,US,326.66,388.53,45.29,22.26,,false,
2023-01-03 13:00:00,USA,USA,US,331.58,393.93,44.68,22.5,,false,
2023-01-03 14:00:00,USA,USA,US,331.1,393.08,45.0,23.39,,false,
2023-01-03 15:00:00,USA,USA,US,331.31,393.34,45.02,23.73,,false,
2023-01-03 16:00:00,USA,USA,US,324.19,385.68,46.05,24.95,,false,
2023-01-03 17:00:00,USA,USA,US,319.44,380.44,46.75,25.76,,false,
2023-01-03 18:00:00,USA,USA,US,320.63,381.7,46.62,25.57,,false,
2023-01-03 19:00:00,USA,USA,US,323.62,384.89,46.24,25.1,,false,
2023-01-03 20:00:00,USA,USA,US,326.08,388.01,45.59,24.35,,false,
2023-01-03 21:00:00,USA,USA,US,328.62,391.48,44.8,23.66,,false,
2023-01-03 22:00:00,USA,USA,US,330.7,394.1,44.3,23.48,,false,
2023-01-03 23:00:00,USA,USA,US,342.81,407.76,42.19,21.61,,false,
2023-01-04 00:00:00,USA,USA,US,345.31,410.54,41.64,21.07,,false,
