Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Uruguay,Uruguay,UY,16.21,55.11,96.01,96.01,pronos.adme.com.uy,false,
2023-01-01 01:00:00,Uruguay,Uruguay,UY,14.11,52.34,96.53,96.53,pronos.adme.com.uy,false,
2023-01-01 02:00:00,Uruguay,Uruguay,UY,2.41,35.12,99.41,99.41,pronos.adme.com.uy,false,
2023-01-01 03:00:00,Uruguay,Uruguay,UY,0.0,32.0,100.0,100.0,pronos.adme.com.uy,false,
2023-01-01 04:00:00,Uruguay,Uruguay,UY,0.0,33.3,100.0,100.0,pronos.adme.com.uy,false,
2023-01-01 05:00:00,Uruguay,Uruguay,UY,0.0,33.28,100.0,100.0,pronos.adme.com.uy,false,
2023-01-01 06:00:00,Uruguay,Uruguay,UY,0.0,33.94,100.0,100.0,pronos.adme.com.uy,false,
2023-01-01 07:00:00,Uruguay,Uruguay,UY,0.0,35.19,100.0,100.0,pronos.adme.com.uy,false,
2023-01-01 08:00:00,Uruguay,Uruguay,UY,0.0,35.16,100.0,100.0,pronos.adme.com.uy,false,
2023-01-01 09:00:00,Uruguay,Uruguay,UY,0.0,35.37,100.0,100.0,pronos.adme.com.uy,false,
2023-01-01 10:00:00,Uruguay,Uruguay,UY,0.0,37.56,100.0,100.0,pronos.adme.com.uy,false,
2023-01-01 11:00:00,Uruguay,Uruguay,UY,21.84,74.77,94.62,94.62,pronos.adme.com.uy,false,
2023-01-01 12:00:00,Uruguay,Uruguay,UY,24.37,78.8,94.0,94.0,pronos.adme.com.uy,false,
2023-01-01 13:00:00,Uruguay,Uruguay,UY,22.73,75.39,94.4,94.4,pronos.adme.com.uy,false,
2023-01-01 14:00:00,Uruguay,Uruguay,UY,21.09,72.68,94.81,94.81,pronos.adme.com.uy,false,
2023-01-01 15:00:00,Uruguay,Uruguay,UY,19.72,69.78,95.14,95.14,pronos.adme.com.uy,false,
2023-01-01 16:00:00,Uruguay,Uruguay,UY,18.59,66.98,95.42,95.42,pronos.adme.com.uy,false,
2023-01-01 17:00:00,Uruguay,Uruguay,UY,18.29,66.11,95.49,95.49,pronos.adme.com.uy,false,
2023-01-01 18:00:00,Uruguay,Uruguay,UY,25.83,78.09,93.64,93.64,pronos.adme.com.uy,false,
2023-01-01 19:00:00,Uruguay,Uruguay,UY,54.1,121.74,86.68,86.68,pronos.adme.com.uy,false,
2023-01-01 20:00:00,Uruguay,Uruguay,UY,37.29,93.99,90.82,90.82,pronos.adme.com.uy,false,
2023-01-01 21:00:00,Uruguay,Uruguay,UY,19.41,62.92,95.22,95.22,pronos.adme.com.uy,false,
2023-01-01 22:00:00,Uruguay,Uruguay,UY,1.82,33.98,99.55,99.55,pronos.adme.com.uy,false,
2023-01-01 23:00:00,Uruguay,Uruguay,UY,11.02,49.92,97.29,97.29,pronos.adme.com.uy,false,
2023-01-02 00:00:00,Uruguay,Uruguay,UY,41.61,99.69,89.75,89.75,pronos.adme.com.uy,false,
2023-01-02 01:00:00,Uruguay,Uruguay,UY,94.04,183.44,76.84,76.84,pronos.adme.com.uy,false,
2023-01-02 02:00:00,Uruguay,Uruguay,UY,93.98,183.68,76.85,76.85,pronos.adme.com.uy,false,
2023-01-02 03:00:00,Uruguay,Uruguay,UY,82.6,167.24,79.65,79.65,pronos.adme.com.uy,false,
2023-01-02 04:00:00,Uruguay,Uruguay,UY,87.17,175.51,78.53,78.53,pronos.adme.com.uy,false,
2023-01-02 05:00:00,Uruguay,Uruguay,UY,74.3,156.25,81.7,81.7,pronos.adme.com.uy,false,
2023-01-02 06:00:00,Uruguay,Uruguay,UY,25.92,80.33,93.62,93.62,pronos.adme.com.uy,false,
2023-01-02 07:00:00,Uruguay,Uruguay,UY,0.01,37.48,100.0,100.0,pronos.adme.com.uy,false,
2023-01-02 08:00:00,Uruguay,Uruguay,UY,0.0,34.61,100.0,100.0,pronos.adme.com.uy,false,
2023-01-02 09:00:00,Uruguay,Uruguay,UY,0.0,33.87,100.0,100.0,pronos.adme.com.uy,false,
2023-01-02 10:00:00,Uruguay,Uruguay,UY,0.0,32.54,100.0,100.0,pronos.adme.com.uy,false,
2023-01-02 11:00:00,Uruguay,Uruguay,UY,0.0,31.6,100.0,100.0,pronos.adme.com.uy,false,
2023-01-02 12:00:00,Uruguay,Uruguay,UY,0.0,32.2,100.0,100.0,pronos.adme.com.uy,false,
2023-01-02 13:00:00,Uruguay,Uruguay,UY,0.0,32.14,100.0,100.0,pronos.adme.com.uy,false,
2023-01-02 14:00:00,Uruguay,Uruguay,UY,0.0,32.73,100.0,100.0,pronos.adme.com.uy,false,
2023-01-02 15:00:00,Uruguay,Uruguay,UY,0.0,31.53,100.0,100.0,pronos.adme.com.uy,false,
2023-01-02 16:00:00,Uruguay,Uruguay,UY,0.0,30.58,100.0,100.0,pronos.adme.com.uy,false,
2023-01-02 17:00:00,Uruguay,Uruguay,UY,5.65,37.31,98.97,98.89,pronos.adme.com.uy,false,
2023-01-02 18:00:00,Uruguay,Uruguay,UY,13.33,47.72,97.37,97.23,pronos.adme.com.uy,false,
2023-01-02 19:00:00,Uruguay,Uruguay,UY,15.73,51.84,96.7,96.58,pronos.adme.com.uy,false,
2023-01-02 20:00:00,Uruguay,Uruguay,UY,16.02,54.53,96.37,96.31,pronos.adme.com.uy,false,
2023-01-02 21:00:00,Uruguay,Uruguay,UY,22.93,68.37,94.35,94.35,pronos.adme.com.uy,false,
2023-01-02 22:00:00,Uruguay,Uruguay,UY,44.12,102.35,89.13,89.13,pronos.adme.com.uy,false,
2023-01-02 23:00:00,Uruguay,Uruguay,UY,65.93,136.79,83.76,83.76,pronos.adme.com.uy,false,
2023-01-03 00:00:00,Uruguay,Uruguay,UY,81.22,160.39,80.0,80.0,pronos.adme.com.uy,false,
2023-01-03 01:00:00,Uruguay,Uruguay,UY,89.96,174.67,77.84,77.84,pronos.adme.com.uy,false,
2023-01-03 02:00:00,Uruguay,Uruguay,UY,91.48,178.01,77.47,77.47,pronos.adme.com.uy,false,
2023-01-03 03:00:00,Uruguay,Uruguay,UY,79.4,160.6,80.44,80.44,pronos.adme.com.uy,false,
2023-01-03 04:00:00,Uruguay,Uruguay,UY,82.97,168.31,79.57,79.56,pronos.adme.com.uy,false,
2023-01-03 05:00:00,Uruguay,Uruguay,UY,89.69,180.34,77.91,77.91,pronos.adme.com.uy,false,
2023-01-03 06:00:00,Uruguay,Uruguay,UY,94.2,187.87,76.8,76.8,pronos.adme.com.uy,false,
2023-01-03 07:00:00,Uruguay,Uruguay,UY,95.27,188.91,76.54,76.54,pronos.adme.com.uy,false,
2023-01-03 08:00:00,Uruguay,Uruguay,UY,96.89,191.28,76.14,76.14,pronos.adme.com.uy,false,
2023-01-03 09:00:00,Uruguay,Uruguay,UY,103.66,201.41,74.47,74.47,pronos.adme.com.uy,false,
2023-01-03 10:00:00,Uruguay,Uruguay,UY,108.94,209.26,73.17,73.17,pronos.adme.com.uy,false,
2023-01-03 11:00:00,Uruguay,Uruguay,UY,102.13,199.99,74.84,74.84,pronos.adme.com.uy,false,
2023-01-03 12:00:00,Uruguay,Uruguay,UY,93.6,186.3,76.95,76.95,pronos.adme.com.uy,false,
2023-01-03 13:00:00,Uruguay,Uruguay,UY,88.25,177.47,78.26,78.26,pronos.adme.com.uy,false,
2023-01-03 14:00:00,Uruguay,Uruguay,UY,84.06,170.56,79.3,79.3,pronos.adme.com.uy,false,
2023-01-03 15:00:00,Uruguay,Uruguay,UY,80.67,164.86,80.13,80.13,pronos.adme.com.uy,false,
2023-01-03 16:00:00,Uruguay,Uruguay,UY,77.99,159.93,80.79,80.79,pronos.adme.com.uy,false,
2023-01-03 17:00:00,Uruguay,Uruguay,UY,77.39,158.33,80.94,80.94,pronos.adme.com.uy,false,
2023-01-03 18:00:00,Uruguay,Uruguay,UY,92.08,180.05,77.32,77.32,pronos.adme.com.uy,false,
2023-01-03 19:00:00,Uruguay,Uruguay,UY,99.79,191.38,75.42,75.42,pronos.adme.com.uy,false,
2023-01-03 20:00:00,Uruguay,Uruguay,UY,97.87,187.94,75.89,75.89,pronos.adme.com.uy,false,
