Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Kosovo,Kosovo,XK,577.43,629.13,23.44,18.47,entsoe.eu,false,
2023-01-01 01:00:00,Kosovo,Kosovo,XK,597.69,650.79,20.71,16.04,entsoe.eu,false,
2023-01-01 02:00:00,Kosovo,Kosovo,XK,621.07,675.48,17.61,13.5,entsoe.eu,false,
2023-01-01 03:00:00,Kosovo,Kosovo,XK,611.12,664.13,18.98,16.42,entsoe.eu,false,
2023-01-01 04:00:00,Kosovo,Kosovo,XK,623.93,677.75,17.28,14.82,entsoe.eu,false,
2023-01-01 05:00:00,Kosovo,Kosovo,XK,628.71,682.81,16.65,14.23,entsoe.eu,false,
2023-01-01 06:00:00,Kosovo,Kosovo,XK,636.51,690.92,15.66,13.64,entsoe.eu,false,
2023-01-01 07:00:00,Kosovo,Kosovo,XK,631.61,685.94,16.28,13.95,entsoe.eu,false,
2023-01-01 08:00:00,Kosovo,Kosovo,XK,605.0,657.81,19.81,16.91,entsoe.eu,false,
2023-01-01 09:00:00,Kosovo,Kosovo,XK,590.39,642.86,21.68,17.57,entsoe.eu,false,
2023-01-01 10:00:00,Kosovo,Kosovo,XK,586.11,638.71,22.21,17.86,entsoe.eu,false,
2023-01-01 11:00:00,Kosovo,Kosovo,XK,584.68,636.99,22.43,18.1,entsoe.eu,false,
2023-01-01 12:00:00,Kosovo,Kosovo,XK,587.51,639.9,22.0,17.93,entsoe.eu,false,
2023-01-01 13:00:00,Kosovo,Kosovo,XK,586.18,638.55,22.07,17.88,entsoe.eu,false,
2023-01-01 14:00:00,Kosovo,Kosovo,XK,572.19,623.46,23.89,20.14,entsoe.eu,false,
2023-01-01 15:00:00,Kosovo,Kosovo,XK,540.66,589.62,28.12,24.41,entsoe.eu,false,
2023-01-01 16:00:00,Kosovo,Kosovo,XK,523.87,571.18,30.51,26.81,entsoe.eu,false,
2023-01-01 17:00:00,Kosovo,Kosovo,XK,538.96,587.29,28.51,25.03,entsoe.eu,false,
2023-01-01 18:00:00,Kosovo,Kosovo,XK,533.7,581.43,29.33,25.66,entsoe.eu,false,
2023-01-01 19:00:00,Kosovo,Kosovo,XK,543.97,592.73,27.88,24.12,entsoe.eu,false,
2023-01-01 20:00:00,Kosovo,Kosovo,XK,558.92,608.93,25.81,22.04,entsoe.eu,false,
2023-01-01 21:00:00,Kosovo,Kosovo,XK,557.61,607.72,25.96,22.08,entsoe.eu,false,
2023-01-01 22:00:00,Kosovo,Kosovo,XK,470.09,515.33,37.33,31.96,entsoe.eu,false,
2023-01-01 23:00:00,Kosovo,Kosovo,XK,571.12,622.84,24.24,18.39,entsoe.eu,false,
2023-01-02 00:00:00,Kosovo,Kosovo,XK,586.51,639.36,22.16,16.36,entsoe.eu,false,
2023-01-02 01:00:00,Kosovo,Kosovo,XK,596.07,649.53,20.82,15.66,entsoe.eu,false,
2023-01-02 02:00:00,Kosovo,Kosovo,XK,602.69,656.67,19.9,15.07,entsoe.eu,false,
