source_as,target_as,path_length
10075-BD-D,2914-US-,1
14642-CA-BC,174-US-NY,1
4134-CN-GD,28917-RU-,1
3356-US-,32661-US-IN,1
400068-US-NJ,209-US-ID,1
12400-IL-TA,3356-US-CA,1
399205-US-,174-US-CA,1
3320-DE-NW,213141-DE-,1
3356-US-TX,141167-US-CA,1
701-US-MD,21529-US-UT,1
3269-IT-25,47136-IT-25,1
701-US-VA,30066-US-NY,1
174-US-CA,12779-IT-,1
4766-KR-11,38663-KR-,1
5713-ZA-WC,10158-KR-,1
4134-CN-,140278-CN-,1
3356-US-,20141-US-,1
4766-KR-,16638-US-,1
8167-BR-GO,4230-BR-,1
24429-TH-10,3356-US-TX,1
3356-US-CA,394984-US-TX,1
701-US-VA,19514-US-CA,1
3356-US-,46956-US-VA,1
46006-KR-,4766-KR-41,1
209-US-OR,395036-US-GA,1
13491-US-,3356-US-TX,1
26487-US-TX,3356-US-,1
138982-CN-,4134-CN-GD,1
209-US-UT,4179-US-CO,1
49959-SE-,2497-JP-13,1
2018-ZA-FS,4134-CN-GD,1
3320-DE-BW,7713-ID-JB,1
3356-US-CA,29750-US-WA,1
2119-NO-42,63949-GB-ENG,1
1221-AU-NSW,55256-US-CA,1
3356-US-TX,62804-US-NY,1
4800-ID-,2914-US-NY,1
7922-US-IN,3257-US-CA,1
3356-US-TX,263444-BR-,1
393579-US-FL,3356-US-TX,1
701-US-NJ,27174-US-CA,1
701-US-NJ,53585-US-NJ,1
11804-US-,174-US-NY,1
204174-GB-ENG,174-US-CA,1
46846-US-NM,701-US-VA,1
46259-US-CA,3356-US-TX,1
701-US-NJ,53787-US-NV,1
4766-KR-41,18211-NL-,1
3356-US-TX,9009-FR-IDF,1
25653-US-,174-US-NY,1
15830-BR-RJ,3462-TW-TPE,1
36765-US-,701-US-NY,1
3356-US-TX,23177-US-CA,1
209-US-WA,399184-US-WA,1
701-US-NY,13778-US-,1
23764-CN-,6057-UY-MO,1
3356-US-TX,6580-US-SD,1
46616-SE-,3356-US-TX,1
31898-JP-27,3320-DE-BY,1
702-FR-IDF,4837-CN-SD,1
32273-US-MD,701-US-NJ,1
3356-US-CA,21965-US-PA,1
198139-DE-,3320-DE-NI,1
680-DE-SN,60098-RU-CHE,1
47661-DE-HE,3320-DE-NW,1
4766-KR-41,17580-KR-11,1
22822-ES-MD,3320-DE-HE,1
209-US-ID,396921-NL-,1
132146-SG-,3257-US-NY,1
4134-CN-GD,20940-US-,1
207168-RU-,3303-CH-GE,1
19631-US-GA,701-US-NY,1
3356-US-CA,395463-US-TN,1
174-US-CA,28971-ES-MD,1
174-US-CA,395774-US-MD,1
174-GB-ENG,25934-US-,1
147049-CA-QC,174-US-CA,1
5617-PL-12,202948-PL-14,1
3216-RU-MOW,680-DE-NW,1
17219-US-MN,701-US-NY,1
34290-CH-GE,3257-US-NY,1
174-US-NY,58092-US-NY,1
702-FR-IDF,3257-US-,1
3356-US-,54152-US-CA,1
1267-IT-34,24994-IT-,1
57695-SG-,1267-IT-34,1
174-US-CA,14575-US-VA,1
394972-US-NV,209-US-WA,1
197347-DE-,3320-DE-NW,1
11158-US-,4134-CN-GD,1
3352-ES-MD,51753-ES-,1
701-US-NY,398937-US-MD,1
2860-PT-13,3320-DE-NW,1
5639-TT-ARI,174-US-CA,1
15625-NL-,702-NL-,1
174-US-NY,17685-JP-,1
174-US-CA,33554-CA-ON,1
198355-ES-,3352-ES-MD,1
46990-US-,174-US-CA,1
23190-PA-8,701-US-VA,1
4755-IN-MH,151085-IN-,1
2914-JP-,9621-JP-47,1
3356-US-CA,20896-NL-,1
3356-US-CA,18013-HK-,1
2914-US-NY,25577-GB-ENG,1
174-US-NY,22645-US-,1
701-US-PA,39947-US-IL,1
3356-US-,46118-US-,1
5650-US-TX,23297-US-CA,1
209-US-AZ,46506-US-AL,1
42730-DE-BE,3356-US-,1
174-US-CA,20053-US-PA,1
174-GB-ENG,21159-DE-,1
8445-AT-5,3356-US-CA,1
701-US-NJ,22527-US-,1
15169-US-,1403-CA-QC,1
399037-US-NC,174-GB-ENG,1
202282-GB-NIR,174-GB-ENG,1
55630-KR-,4766-KR-41,1
106-US-AZ,3356-US-CA,1
3320-DE-NW,44194-DE-RP,1
199190-FR-IDF,3356-US-CA,1
31883-US-CO,209-US-FL,1
10982-US-,3356-US-TX,1
207132-IT-21,3269-IT-72,1
21568-US-VA,3356-US-,1
3356-US-,59395-GB-ENG,1
174-GB-ENG,50903-FR-GES,1
5535-IT-62,3269-IT-25,1
9690-KR-41,4766-KR-,1
3356-US-,54086-US-MI,1
11528-US-CA,174-US-NY,1
3320-DE-BW,50508-DE-,1
3356-US-,61761-BR-RJ,1
22822-US-TX,701-US-PA,1
4366-US-CA,3356-US-TX,1
197226-PL-28,3257-GB-ENG,1
56456-CZ-80,1239-US-VA,1
3356-US-CA,14340-US-,1
174-US-NY,399090-US-FL,1
58473-AU-NSW,3257-US-,1
393442-US-MO,174-US-NY,1
6128-US-NJ,3356-US-,1
701-US-MD,16509-US-,1
36569-US-IL,701-US-NJ,1
174-US-NY,63375-US-,1
3356-US-,33111-US-,1
399731-US-IL,701-US-NY,1
36503-US-TX,174-US-NY,1
209-US-FL,53940-US-,1
174-US-NY,2018-ZA-FS,1
1547-MD-SN,8400-RS-VO,1
852-CA-AB,7029-US-PA,1
17676-JP-27,4651-TH-10,1
3356-US-TX,10122-SG-,1
2912-US-,3356-US-TX,1
4766-KR-41,38417-KR-11,1
3356-US-TX,30741-FR-,1
174-US-CA,201746-ES-AN,1
42947-ES-VC,1267-IT-82,1
2516-JP-13,7682-JP-,1
174-GB-ENG,18880-US-CA,1
13620-US-CO,3356-US-CA,1
701-US-NY,32366-US-MD,1
197515-GR-B,174-US-NY,1
701-US-NJ,26988-US-VA,1
2698-US-IA,3257-US-CA,1
174-US-CA,57112-NL-NH,1
55251-US-UT,209-US-FL,1
2119-NO-46,4134-CN-GD,1
174-GB-ENG,56675-BE-VLG,1
29037-DE-HE,3320-DE-NI,1
3356-US-CA,54683-US-,1
1103-NL-NB,2018-ZA-GP,1
701-US-PA,2559-US-NY,1
174-US-CA,7138-US-,1
174-US-NY,64442-CH-,1
174-GB-ENG,20645-IL-,1
394459-US-TX,209-US-IA,1
701-US-VA,394144-US-CA,1
3257-GB-ENG,41095-HK-,1
35826-GB-ENG,1267-IT-45,1
3356-US-TX,22764-US-SC,1
395839-US-NY,174-GB-ENG,1
4766-KR-,23556-KR-,1
33608-US-DC,3356-US-CA,1
63888-HK-,174-US-NY,1
3356-US-,39522-GB-SCT,1
209-US-MN,20940-KR-11,1
393714-US-CA,174-US-CA,1
395133-US-GA,209-US-FL,1
701-US-MD,32342-US-TX,1
48871-FR-IDF,3356-US-,1
5713-ZA-EC,7979-US-,1
26864-US-UT,209-US-OR,1
1103-NL-NB,212635-DE-SH,1
29094-IT-36,3269-IT-62,1
3320-DE-NW,4809-CN-,1
3356-US-CA,26647-US-PA,1
3356-US-,36054-US-TX,1
51110-GP-,174-US-NY,1
3320-DE-HE,13445-NL-NH,1
174-GB-ENG,400101-US-,1
3356-US-CA,33603-US-MI,1
396253-US-TX,3356-US-,1
174-US-NY,46887-US-NY,1
210321-ES-CT,3257-US-,1
3356-US-CA,46275-US-,1
271825-CO-DC,3816-CO-BOY,1
4766-KR-41,4651-TH-10,1
400339-US-NJ,174-US-NY,1
11710-US-NM,209-US-MN,1
3320-DE-NI,12731-DE-,1
10695-US-AR,209-US-FL,1
6998-US-TN,701-US-NJ,1
213205-GB-,3356-US-CA,1
26671-US-,209-US-FL,1
174-GB-ENG,203927-FR-,1
18632-US-CA,3356-US-,1
701-US-PA,399707-US-FL,1
17253-US-MS,3356-US-,1
131235-PH-,4755-IN-,1
1239-US-,22822-US-NY,1
24027-KR-26,3786-KR-11,1
16940-US-,2914-GB-,1
1239-US-,138915-MY-14,1
263881-BR-SP,3356-US-CA,1
174-US-CA,19628-US-IA,1
24295-JP-,1828-US-,1
31133-RU-,2119-NO-38,1
174-GB-ENG,399103-US-TX,1
3462-TW-TPE,24506-TW-TAO,1
2119-SE-AB,394354-CA-,1
174-US-NY,395408-US-MA,1
1140-NL-,20940-KR-11,1
40744-US-CO,209-US-MN,1
19356-US-AZ,209-US-WA,1
40470-CA-QC,174-GB-ENG,1
8075-US-AZ,1103-NL-NB,1
9318-KR-11,4817-SG-,1
174-US-NY,17279-US-KS,1
852-CA-BC,26930-US-,1
56984-DE-BW,3320-DE-NI,1
3356-US-CA,46928-US-TX,1
22822-CA-BC,2516-JP-,1
9318-KR-11,2500-JP-,1
3356-US-,14602-US-,1
20940-US-GA,4134-CN-GD,1
701-US-MD,13729-CA-ON,1
174-US-NY,16557-US-FL,1
23088-GB-ENG,3356-US-,1
38056-HK-,3356-US-,1
3257-US-NY,141167-KR-,1
2856-GB-ENG,13458-GB-ENG,1
14114-US-,701-US-VA,1
174-US-NY,5392-IT-25,1
132388-IN-KA,4755-IN-MH,1
13414-US-CA,701-US-MD,1
9541-PK-,174-US-NY,1
38087-KR-48,4766-KR-,1
174-US-CA,62887-US-NC,1
25375-CH-TG,174-GB-ENG,1
9857-KR-,4766-KR-41,1
3223-NL-NH,52925-BR-SP,1
209-US-AZ,31998-US-MT,1
265865-AR-J,3356-US-TX,1
714-US-,1221-AU-NSW,1
3209-DE-NW,15726-DE-,1
399586-US-FL,209-US-UT,1
7922-US-TX,2516-JP-,1
3320-DE-HE,201543-DE-,1
53720-US-,3356-US-TX,1
174-US-NY,2107-SI-061,1
22892-US-,174-US-NY,1
2914-JP-,59253-SG-,1
1267-IT-21,48642-RU-SVE,1
400190-NL-NH,3356-US-,1
209-US-MN,17054-US-,1
3303-CH-VD,208414-SE-,1
3269-IT-52,56320-IT-,1
7029-US-KY,5650-US-TX,1
25189-RU-,2854-RU-MOW,1
26931-US-NY,209-US-AZ,1
4637-JP-,7922-US-MA,1
398911-US-UT,174-GB-ENG,1
60382-GB-,5089-GB-ENG,1
5650-US-CA,14790-US-IN,1
174-US-CA,39505-BG-,1
3320-DE-HE,702-IT-25,1
60171-BF-,1267-IT-75,1
2518-JP-12,54890-JP-,1
20940-FR-IDF,4804-AU-QLD,1
3356-US-TX,204922-GB-,1
174-US-NY,32634-US-PA,1
20764-RU-TVE,3462-TW-TPE,1
2852-CZ-32,20940-US-NJ,1
701-US-MD,14852-US-MI,1
3257-US-CA,43519-GB-,1
39090-DE-BY,1239-US-,1
210728-NL-,1267-IT-62,1
4766-KR-,18028-KR-48,1
209231-LV-RIX,174-US-NY,1
396145-US-IL,3356-US-CA,1
395891-US-CO,209-US-AZ,1
46111-US-,209-US-OR,1
27178-US-,209-US-CO,1
701-US-PA,10790-US-NY,1
12993-LV-RIX,6057-UY-MO,1
174-GB-ENG,38983-NL-,1
701-US-PA,7046-US-NY,1
1103-NL-NB,4761-ID-,1
12778-SI-153,174-US-NY,1
3292-DK-85,6805-DE-HH,1
14652-US-DC,174-US-CA,1
20940-ID-JK,2119-NO-30,1
3356-US-CA,11733-US-,1
