source_as,target_as,path_length
701-US-VA,3257-US-CA,1
9829-IN-KL,3356-US-,1
12389-RU-,5400-FR-IDF,1
3303-CH-GE,4837-CN-,1
852-CA-BC,4766-KR-41,1
701-US-NJ,7018-US-FL,1
4181-US-TN,4766-KR-,1
1239-US-VA,7018-US-,1
2119-NO-34,3320-DE-NI,1
7922-US-MI,174-GB-ENG,1
4134-CN-GD,9924-TW-TPE,1
701-US-NY,13900-US-VA,1
4837-CN-SD,4538-CN-,1
209-US-OR,701-US-NJ,1
4134-CN-,20940-JP-27,1
701-US-NJ,7922-US-MA,1
22822-CA-BC,701-US-NJ,1
2497-JP-13,3320-DE-BW,1
7018-US-TX,209-US-WA,1
7792-US-MN,3356-US-TX,1
7545-AU-QLD,174-US-CA,1
209-US-MN,174-US-CA,1
4134-CN-,3462-TW-KHH,1
701-US-NY,3356-US-TX,1
8881-DE-BE,3320-DE-BY,1
174-US-NY,3303-CH-VD,1
6167-US-TX,209-US-UT,1
3356-US-TX,6128-US-NY,1
4134-CN-GD,701-US-NJ,1
4134-CN-,2119-NO-50,1
4134-CN-,4837-CN-SD,1
3356-US-,3302-IT-52,1
3356-US-TX,6998-US-DC,1
4230-BR-MG,3356-US-,1
3257-US-,7922-US-TX,1
701-US-MD,3320-DE-NI,1
209-US-FL,20940-US-,1
209-US-AZ,6830-PL-14,1
6805-DE-BE,4134-CN-GD,1
7497-CN-BJ,4134-CN-GD,1
174-US-CA,4837-CN-SD,1
4766-KR-11,8075-IN-MH,1
3303-CH-GE,3292-DK-82,1
1239-US-,1257-SE-AB,1
60068-US-FL,4766-KR-11,1
4837-CN-SD,3320-DE-BW,1
16509-US-,852-CA-AB,1
4134-CN-GD,680-DE-SN,1
7922-US-MI,2516-JP-,1
31898-US-AZ,3320-DE-BY,1
1257-SE-M,3356-US-TX,1
2854-RU-MOW,20940-US-GA,1
54253-OM-MA,174-US-NY,1
9924-TW-CHA,4134-CN-,1
174-US-CA,702-FR-IDF,1
3320-DE-BY,701-US-NJ,1
701-US-PA,20940-HK-,1
7018-US-CA,701-US-PA,1
174-US-NY,3320-DE-NI,1
4766-KR-11,20940-KR-11,1
4134-CN-GD,3303-CH-VD,1
5378-GB-ENG,36351-US-,1
4134-CN-,174-US-CA,1
2914-US-NY,7018-US-FL,1
714-US-,3303-CH-GE,1
6830-PL-14,3303-CH-ZH,1
714-US-,1267-IT-45,1
7018-US-TX,174-GB-ENG,1
14061-GB-ENG,4134-CN-GD,1
7922-US-CA,3356-US-TX,1
3320-DE-BY,20940-US-,1
4134-CN-GD,174-US-CA,1
50266-NL-ZH,174-GB-ENG,1
8926-MD-CU,3356-US-TX,1
3356-US-CA,8167-BR-RS,1
7545-AU-WA,174-US-NY,1
3320-DE-NI,2516-JP-13,1
7018-US-TX,2497-JP-,1
1221-AU-VIC,3356-US-CA,1
852-CA-QC,20940-DE-HE,1
5466-IE-L,20940-ID-JK,1
4766-KR-41,20940-US-,1
7922-US-TN,4766-KR-41,1
701-US-NY,7922-US-GA,1
1273-GB-,4134-CN-,1
7922-US-MA,5400-DE-HE,1
4804-AU-,20940-US-GA,1
1273-GB-ENG,701-US-MD,1
