source_as,target_as,path_length,emissions,path
1103-NL-,20766-FR-IDF,1,136.12,1103-NL- -> 20766-FR-IDF
1267-IT-82,12552-SE-AB,1,257.40000000000003,1267-IT-82 -> 12552-SE-AB
2611-BE-,14061-DE-HE,1,315.76,2611-BE- -> 14061-DE-HE
200086-DE-BE,206266-DE-NW,2,631.83,200086-DE-BE -> 3320-DE-BW -> 206266-DE-NW
48942-SE-O,1653-SE-,2,4.23,48942-SE-O -> 1257-SE-AB -> 1653-SE-
200576-DE-NI,12801-DE-MV,2,631.83,200576-DE-NI -> 3320-DE-BW -> 12801-DE-MV
12316-DE-,209729-DE-,2,631.83,12316-DE- -> 3320-DE-BW -> 209729-DE-
288-DE-,197829-ES-NC,2,437.93,288-DE- -> 766-ES-AN -> 197829-ES-NC
39372-AT-3,42652-DE-,2,320.36,39372-AT-3 -> 1299-SE- -> 42652-DE-
202870-IT-25,3214-DE-NW,2,468.0100000000001,202870-IT-25 -> 1299-SE- -> 3214-DE-NW
5405-NL-NH,5466-IE-L,2,531.3000000000001,5405-NL-NH -> 1299-SE- -> 5466-IE-L
61307-EE-68,51013-SK-BL,2,256.21000000000004,61307-EE-68 -> 1299-SE- -> 51013-SK-BL
41307-DE-BY,60948-DE-,2,631.83,41307-DE-BY -> 3320-DE-BW -> 60948-DE-
205809-FR-IDF,31477-NL-NH,2,137.53,205809-FR-IDF -> 1299-SE- -> 31477-NL-NH
22822-NL-NH,209428-FR-,2,158.01,22822-NL-NH -> 4455-FR- -> 209428-FR-
41073-IE-L,61296-CZ-80,2,901.33,41073-IE-L -> 4455-FR- -> 61296-CZ-80
15695-DE-HE,200587-SE-,2,213.43,15695-DE-HE -> 1299-SE- -> 200587-SE-
21430-CZ-41,3249-EE-37,2,500.66,21430-CZ-41 -> 1299-SE- -> 3249-EE-37
8881-DE-BE,21147-EE-37,2,281.55,8881-DE-BE -> 3327-EE-37 -> 21147-EE-37
39020-ES-AN,35064-NL-,2,249.78000000000003,39020-ES-AN -> 4455-FR- -> 35064-NL-
56672-AT-4,198710-DE-,2,320.36,56672-AT-4 -> 1299-SE- -> 198710-DE-
208414-CZ-,210492-FR-IDF,2,487.08,208414-CZ- -> 1299-SE- -> 210492-FR-IDF
207265-FI-18,60051-SE-,2,14.99,207265-FI-18 -> 1299-SE- -> 60051-SE-
60385-SE-,207161-SE-,2,4.23,60385-SE- -> 1299-SE- -> 207161-SE-
47261-DE-NI,200567-DE-,2,631.83,47261-DE-NI -> 3320-DE-BW -> 200567-DE-
8544-CY-05,62240-DE-BE,2,839.17,8544-CY-05 -> 1299-SE- -> 62240-DE-BE
202395-SE-,4229-DE-HE,2,213.43,202395-SE- -> 1299-SE- -> 4229-DE-HE
8657-PT-11,39063-DE-,2,358.04,8657-PT-11 -> 1299-SE- -> 39063-DE-
12741-PL-14,51466-BE-,2,738.75,12741-PL-14 -> 5400-FR-IDF -> 51466-BE-
63199-DE-HE,35661-FR-IDF,2,233.91000000000005,63199-DE-HE -> 1299-SE- -> 35661-FR-IDF
209081-DE-BW,28716-IT-25,2,677.21,209081-DE-BW -> 3320-DE-BW -> 28716-IT-25
1267-IT-45,60032-FR-IDF,2,279.29,1267-IT-45 -> 1299-SE- -> 60032-FR-IDF
205151-SE-,39603-PL-14,2,614.5300000000001,205151-SE- -> 1299-SE- -> 39603-PL-14
51108-RO-,15435-NL-OV,2,651.03,51108-RO- -> 5606-RO- -> 15435-NL-OV
12741-PL-02,60269-SE-AB,2,614.53,12741-PL-02 -> 2119-SE-AB -> 60269-SE-AB
50462-DE-HE,205769-DE-RP,2,631.83,50462-DE-HE -> 3320-DE-BW -> 205769-DE-RP
44002-CZ-10,24785-NL-,2,579.42,44002-CZ-10 -> 1299-SE- -> 24785-NL-
57317-DE-,51417-DE-BW,2,631.83,57317-DE- -> 3320-DE-BW -> 51417-DE-BW
210792-DK-,61397-DK-84,2,79.38,210792-DK- -> 3292-DK-82 -> 61397-DK-84
29119-ES-AN,199893-AT-9,2,330.34000000000003,29119-ES-AN -> 1764-AT- -> 199893-AT-9
12552-SE-,199496-ES-CT,2,136.96,12552-SE- -> 4455-FR- -> 199496-ES-CT
31554-RO-,34628-FR-,2,291.7,31554-RO- -> 1299-SE- -> 34628-FR-
8674-SE-,211143-DE-HE,2,213.43,8674-SE- -> 1299-SE- -> 211143-DE-HE
48951-DE-HE,47957-FR-,2,443.11,48951-DE-HE -> 3320-DE-BW -> 47957-FR-
60749-FR-HDF,35625-FR-HDF,2,65.67,60749-FR-HDF -> 3215-FR- -> 35625-FR-HDF
15735-MT-04,59866-HR-,2,441.92,15735-MT-04 -> 1299-SE- -> 59866-HR-
43186-DE-,6855-SK-ZI,2,640.5500000000001,43186-DE- -> 3320-DE-BW -> 6855-SK-ZI
206264-NL-NH,13046-HR-21,2,291.01,206264-NL-NH -> 1299-SE- -> 13046-HR-21
62336-DE-,48659-PL-18,2,823.73,62336-DE- -> 1299-SE- -> 48659-PL-18
5410-FR-ARA,20918-DE-,2,443.11,5410-FR-ARA -> 3320-DE-BW -> 20918-DE-
44973-DE-,2611-BE-BRU,2,337.65,44973-DE- -> 4455-FR- -> 2611-BE-BRU
49769-SE-,196819-DE-RP,2,213.43,49769-SE- -> 1299-SE- -> 196819-DE-RP
34428-IT-,42473-DE-HE,2,468.0100000000001,34428-IT- -> 1299-SE- -> 42473-DE-HE
8727-SI-103,2119-SE-O,2,417.87,8727-SI-103 -> 5603-SI-061 -> 2119-SE-O
49294-DE-,13058-DE-BE,2,631.83,49294-DE- -> 3320-DE-BW -> 13058-DE-BE
204940-IT-,202017-IT-72,2,767.97,204940-IT- -> 3302-IT-25 -> 202017-IT-72
25394-DE-HE,44066-DE-,2,631.83,25394-DE-HE -> 3320-DE-BW -> 44066-DE-
25113-FR-,1136-NL-GE,2,158.01,25113-FR- -> 5511-FR- -> 1136-NL-GE
31134-SI-103,1267-IT-21,2,672.45,31134-SI-103 -> 5603-SI-061 -> 1267-IT-21
20710-NL-,29119-ES-CT,2,249.78,20710-NL- -> 4455-FR- -> 29119-ES-CT
20917-FR-IDF,41951-FR-,2,65.67,20917-FR-IDF -> 5511-FR- -> 41951-FR-
42515-IT-62,8544-CY-01,2,1139.13,42515-IT-62 -> 1267-IT- -> 8544-CY-01
49285-BE-,43012-SE-D,2,107.97,49285-BE- -> 1299-SE- -> 43012-SE-D
49844-FR-,56665-LU-LU,2,141.63,49844-FR- -> 4455-FR- -> 56665-LU-LU
6830-IE-L,22918-SE-,2,418.4800000000001,6830-IE-L -> 1299-SE- -> 22918-SE-
211882-FR-,202829-ES-AN,2,157.44,211882-FR- -> 4455-FR- -> 202829-ES-AN
205184-DE-,20886-DE-NW,2,422.63,205184-DE- -> 1299-SE- -> 20886-DE-NW
12931-DE-BY,24940-DE-BW,2,631.83,12931-DE-BY -> 3320-DE-BW -> 24940-DE-BW
199163-DE-,209216-DE-HE,2,631.83,199163-DE- -> 3320-DE-BW -> 209216-DE-HE
25441-IE-,6834-DK-84,2,464.01,25441-IE- -> 4455-FR- -> 6834-DK-84
8881-DE-NW,200308-FR-,2,233.91000000000005,8881-DE-NW -> 1299-SE- -> 200308-FR-
29314-PL-14,212021-SE-M,2,614.53,29314-PL-14 -> 2119-SE-AB -> 212021-SE-M
207044-IE-C,24940-FI-18,2,449.72,207044-IE-C -> 4455-FR- -> 24940-FI-18
31287-BG-22,8473-SE-AB,2,268.68000000000006,31287-BG-22 -> 1299-SE- -> 8473-SE-AB
205112-DE-NW,208689-AT-,2,427.2900000000001,205112-DE-NW -> 3330-AT- -> 208689-AT-
49127-NL-NH,49222-SE-,2,117.05,49127-NL-NH -> 1299-SE- -> 49222-SE-
288-DE-,25198-RO-,2,593.24,288-DE- -> 1103-NL- -> 25198-RO-
25540-FR-,57112-NL-NB,2,137.53,25540-FR- -> 1299-SE- -> 57112-NL-NB
201962-DE-,15557-FR-ARA,2,254.39,201962-DE- -> 4455-FR- -> 15557-FR-ARA
31550-DE-RP,20918-DE-BB,2,631.83,31550-DE-RP -> 3320-DE-BW -> 20918-DE-BB
12731-DE-HH,47754-SE-,2,213.43,12731-DE-HH -> 1299-SE- -> 47754-SE-
8544-CY-01,39603-PL-14,2,1240.27,8544-CY-01 -> 1299-SE- -> 39603-PL-14
201568-HU-BU,43467-DE-,2,390.19,201568-HU-BU -> 1299-SE- -> 43467-DE-
199434-DE-,48299-FI-,2,224.19,199434-DE- -> 1299-SE- -> 48299-FI-
394382-SE-,200873-IT-,2,258.81,394382-SE- -> 1299-SE- -> 200873-IT-
14061-DE-HE,209323-FR-,2,233.91000000000005,14061-DE-HE -> 1299-SE- -> 209323-FR-
35574-IT-62,205166-SE-AB,2,258.81000000000006,35574-IT-62 -> 1299-SE- -> 205166-SE-AB
35717-FR-IDF,199976-ES-,2,157.44,35717-FR-IDF -> 4455-FR- -> 199976-ES-
57723-PL-14,43885-ES-PV,2,747.26,57723-PL-14 -> 4455-FR- -> 43885-ES-PV
205493-IT-,31087-IT-,2,767.97,205493-IT- -> 1267-IT- -> 31087-IT-
203489-IT-45,202196-NL-NH,2,371.63000000000005,203489-IT-45 -> 1299-SE- -> 202196-NL-NH
41327-IT-82,16128-FR-,2,279.29,41327-IT-82 -> 1299-SE- -> 16128-FR-
50467-PL-02,210026-IT-,2,869.11,50467-PL-02 -> 1299-SE- -> 210026-IT-
51865-IE-,208476-NL-NH,2,644.12,51865-IE- -> 3214-NL-NH -> 208476-NL-NH
202120-NL-NH,62313-SE-AB,2,117.05,202120-NL-NH -> 1299-SE- -> 62313-SE-AB
54253-IE-L,12709-MT-56,2,682.21,54253-IE-L -> 1299-SE- -> 12709-MT-56
196755-BE-WAL,14722-SE-,2,107.97,196755-BE-WAL -> 1299-SE- -> 14722-SE-
20710-NL-,213018-FR-IDF,2,158.01,20710-NL- -> 4455-FR- -> 213018-FR-IDF
47583-NL-DR,30781-FR-IDF,2,137.53,47583-NL-DR -> 1299-SE- -> 30781-FR-IDF
24635-DE-HE,208606-DE-NW,2,631.83,24635-DE-HE -> 3320-DE-BW -> 208606-DE-NW
209081-DE-BW,198205-DE-NI,2,631.83,209081-DE-BW -> 3320-DE-BW -> 198205-DE-NI
47467-SE-G,6769-LT-VL,2,110.42,47467-SE-G -> 1257-SE-AB -> 6769-LT-VL
211666-AT-,9009-RO-,2,485.08,211666-AT- -> 1764-AT- -> 9009-RO-
13110-PL-30,13150-DE-HE,2,823.73,13110-PL-30 -> 1299-SE- -> 13150-DE-HE
31165-PL-,20763-PL-10,2,1835.13,31165-PL- -> 5617-PL-02 -> 20763-PL-10
5410-FR-ARA,47754-FR-,2,45.19,5410-FR-ARA -> 1299-SE- -> 47754-FR-
41236-RO-,41832-RO-,2,805.1999999999999,41236-RO- -> 5606-RO- -> 41832-RO-
44447-SE-BD,42251-SE-T,2,4.23,44447-SE-BD -> 3301-SE-AB -> 42251-SE-T
39790-CZ-,197451-CZ-52,2,1391.34,39790-CZ- -> 2852-CZ-10 -> 197451-CZ-52
39526-BE-,15935-CZ-63,2,570.3399999999999,39526-BE- -> 1299-SE- -> 15935-CZ-63
48408-BE-VLG,39912-AT-2,2,214.9,48408-BE-VLG -> 1299-SE- -> 39912-AT-2
12709-MT-51,29447-FR-,2,288.44,12709-MT-51 -> 1299-SE- -> 29447-FR-
31242-PL-24,60806-PL-12,2,1835.13,31242-PL-24 -> 5617-PL-02 -> 60806-PL-12
203724-DE-HE,47515-AT-,2,427.2900000000001,203724-DE-HE -> 1764-AT- -> 47515-AT-
22822-DE-HE,3302-IT-52,2,488.49,22822-DE-HE -> 4455-FR- -> 3302-IT-52
35548-DE-,29014-DE-,2,422.63,35548-DE- -> 1299-SE- -> 29014-DE-
44512-IT-32,55256-FR-IDF,2,299.77,44512-IT-32 -> 4455-FR- -> 55256-FR-IDF
39855-ES-MD,199434-DE-,2,325.68,39855-ES-MD -> 1299-SE- -> 199434-DE-
5398-IT-25,20917-FR-IDF,2,299.77,5398-IT-25 -> 4455-FR- -> 20917-FR-IDF
198726-DE-BY,24724-PL-,2,823.73,198726-DE-BY -> 1299-SE- -> 24724-PL-
51580-IT-,3262-ES-CT,2,391.54,51580-IT- -> 4455-FR- -> 3262-ES-CT
202550-ES-CT,208414-SE-,2,116.48,202550-ES-CT -> 1299-SE- -> 208414-SE-
199244-HR-,29244-BG-02,2,442.64,199244-HR- -> 1299-SE- -> 29244-BG-02
202766-ES-AN,210111-CZ-,2,599.3299999999999,202766-ES-AN -> 4455-FR- -> 210111-CZ-
34431-PL-14,51879-PL-22,2,1835.13,34431-PL-14 -> 5617-PL-02 -> 51879-PL-22
22822-DE-HE,202605-CZ-71,2,696.28,22822-DE-HE -> 4455-FR- -> 202605-CZ-71
39702-DE-BW,201731-SE-,2,213.43,39702-DE-BW -> 1299-SE- -> 201731-SE-
49285-BE-,12843-DE-BW,2,317.17,49285-BE- -> 1299-SE- -> 12843-DE-BW
24641-CZ-,208591-ES-,2,578.85,24641-CZ- -> 1299-SE- -> 208591-ES-
202046-DE-BW,29119-ES-MC,2,325.68,202046-DE-BW -> 1299-SE- -> 29119-ES-MC
57684-DE-,211286-DE-,2,631.83,57684-DE- -> 3320-DE-BW -> 211286-DE-
207044-IE-M,25151-NL-,2,551.78,207044-IE-M -> 4455-FR- -> 25151-NL-
8540-AT-3,2906-DE-HE,2,340.84000000000003,8540-AT-3 -> 4455-FR- -> 2906-DE-HE
31027-DK-84,49222-SE-,2,29.28,31027-DK-84 -> 1299-SE- -> 49222-SE-
44901-BG-22,57353-DE-RP,2,477.88000000000005,44901-BG-22 -> 1299-SE- -> 57353-DE-RP
20886-DE-NW,25198-RO-,2,480.42,20886-DE-NW -> 1299-SE- -> 25198-RO-
1888-NL-UT,20940-DE-HE,2,439.0700000000001,1888-NL-UT -> 1103-NL- -> 20940-DE-HE
50319-NL-NH,60068-DE-HE,2,326.25,50319-NL-NH -> 1299-SE- -> 60068-DE-HE
201869-SE-AB,207322-SE-,2,4.23,201869-SE-AB -> 3301-SE-AB -> 207322-SE-
25248-CZ-10,20647-DE-,2,675.8,25248-CZ-10 -> 1299-SE- -> 20647-DE-
6855-SK-NI,25220-DE-,2,431.35,6855-SK-NI -> 1299-SE- -> 25220-DE-
206266-DE-,12748-DE-NI,2,631.83,206266-DE- -> 3320-DE-BW -> 12748-DE-NI
17071-NL-,201460-NL-NH,2,250.35,17071-NL- -> 702-FR-IDF -> 201460-NL-NH
12734-IT-21,3242-IT-,2,767.97,12734-IT-21 -> 3269-IT-21 -> 3242-IT-
60144-NL-NH,199544-SE-,2,117.05,60144-NL-NH -> 1299-SE- -> 199544-SE-
41966-PL-14,34471-ES-AN,2,747.26,41966-PL-14 -> 4455-FR- -> 34471-ES-AN
207137-IT-,207137-EE-37,2,292.87,207137-IT- -> 1299-SE- -> 207137-EE-37
52106-PL-10,48021-PL-14,2,1835.13,52106-PL-10 -> 5617-PL-02 -> 48021-PL-14
196819-DE-BY,31287-BG-,2,477.88,196819-DE-BY -> 1299-SE- -> 31287-BG-
13293-PL-10,8487-FR-,2,635.01,13293-PL-10 -> 1299-SE- -> 8487-FR-
47583-NL-DR,207398-FR-,2,137.53,47583-NL-DR -> 1299-SE- -> 207398-FR-
29624-DE-,200576-DE-NI,2,631.83,29624-DE- -> 3320-DE-BW -> 200576-DE-NI
43623-DE-,42249-DE-NW,2,631.83,43623-DE- -> 3320-DE-BW -> 42249-DE-NW
28854-SE-F,43809-SE-D,2,4.23,28854-SE-F -> 1257-SE-AB -> 43809-SE-D
201737-PL-10,206685-PL-06,2,1835.13,201737-PL-10 -> 5617-PL-02 -> 206685-PL-06
2792-DE-,12460-DE-NI,2,631.83,2792-DE- -> 3320-DE-BW -> 12460-DE-NI
49362-DK-,47869-NL-NH,2,142.1,49362-DK- -> 1299-SE- -> 47869-NL-NH
51879-PL-10,41455-PL-04,2,1835.13,51879-PL-10 -> 5617-PL-02 -> 41455-PL-04
3215-FR-ARA,12479-ES-MD,2,157.44,3215-FR-ARA -> 5511-FR- -> 12479-ES-MD
28876-DE-BY,8437-AT-4,2,529.5600000000001,28876-DE-BY -> 3320-DE-BW -> 8437-AT-4
3223-RO-,20773-DE-HE,2,480.42,3223-RO- -> 1299-SE- -> 20773-DE-HE
35227-DE-,34309-DE-,2,631.83,35227-DE- -> 3320-DE-BW -> 34309-DE-
28788-NL-,13135-DE-,2,326.25,28788-NL- -> 1299-SE- -> 13135-DE-
10158-SE-,42929-FR-,2,45.19,10158-SE- -> 4455-FR- -> 42929-FR-
3214-NL-NH,44133-AT-,2,330.91,3214-NL-NH -> 1764-AT- -> 44133-AT-
208482-FR-IDF,61086-FR-,2,65.67,208482-FR-IDF -> 3215-FR- -> 61086-FR-
29301-FR-IDF,39636-IT-21,2,299.77,29301-FR-IDF -> 4455-FR- -> 39636-IT-21
3249-EE-37,201568-HU-BU,2,215.05,3249-EE-37 -> 1299-SE- -> 201568-HU-BU
42390-SE-AB,39771-FR-ARA,2,24.71,42390-SE-AB -> 1299-SE- -> 39771-FR-ARA
203148-BE-,15435-NL-OV,2,220.79,203148-BE- -> 1299-SE- -> 15435-NL-OV
48546-LV-047,44105-LV-,2,405.24,48546-LV-047 -> 2588-LV- -> 44105-LV-
209996-SI-103,57532-SI-175,2,624.6899999999999,209996-SI-103 -> 5603-SI-061 -> 57532-SI-175
42605-DE-HE,60063-DE-NI,2,631.83,42605-DE-HE -> 3320-DE-BW -> 60063-DE-NI
12762-AT-8,41915-AT-,2,325.02,12762-AT-8 -> 1853-AT-1 -> 41915-AT-
44239-AT-,44134-DK-84,2,136.21,44239-AT- -> 1299-SE- -> 44134-DK-84
198651-LT-,25152-DE-,2,432.44,198651-LT- -> 1103-NL- -> 25152-DE-
61189-EE-,14061-DE-HE,2,281.55,61189-EE- -> 3327-EE-37 -> 14061-DE-HE
15912-SE-,205180-SE-,2,4.23,15912-SE- -> 1257-SE-AB -> 205180-SE-
198531-DK-82,201078-DK-82,2,79.38,198531-DK-82 -> 3292-DK-82 -> 201078-DK-82
29396-NL-ZH,13280-IE-,2,551.78,29396-NL-ZH -> 4455-FR- -> 13280-IE-
57913-IT-52,34516-GR-,3,1173.7,57913-IT-52 -> 5398-IT-25 -> 1241-GR-B -> 34516-GR-
197662-FR-,45002-SI-038,3,460.24,197662-FR- -> 4455-FR- -> 5603-SI-061 -> 45002-SI-038
44760-AT-,24940-DE-HE,3,428.7000000000001,44760-AT- -> 1764-AT- -> 1299-SE- -> 24940-DE-HE
197662-FR-,42757-SI-061,3,460.24,197662-FR- -> 4455-FR- -> 5603-SI-061 -> 42757-SI-061
8878-DE-,31078-DE-,3,530.97,8878-DE- -> 1299-SE- -> 5405-AT-9 -> 31078-DE-
31313-RO-,210595-FR-,3,313.59,31313-RO- -> 5511-FR- -> 1299-SE- -> 210595-FR-
8723-FR-OCC,29551-DE-NW,3,255.8,8723-FR-OCC -> 5511-FR- -> 1299-SE- -> 29551-DE-NW
199271-DE-,42873-DE-BW,3,842.44,199271-DE- -> 3320-DE-BW -> 553-DE-BW -> 42873-DE-BW
57030-DK-83,199801-DE-BW,3,264.94,57030-DK-83 -> 3292-DK-82 -> 1299-SE- -> 199801-DE-BW
2593-IT-,51512-PT-11,3,569.92,2593-IT- -> 4455-FR- -> 2860-PT-11 -> 51512-PT-11
206597-DE-,211884-SI-140,3,837.6800000000001,206597-DE- -> 3320-DE-BW -> 5603-SI-061 -> 211884-SI-140
51681-ES-VC,50824-DE-HE,3,556.77,51681-ES-VC -> 4455-FR- -> 3209-DE-BW -> 50824-DE-HE
29145-DE-,21000-FR-,3,465.0,29145-DE- -> 3320-DE-BW -> 5400-FR-IDF -> 21000-FR-
