source_as,target_as,path_length
397849,24139,3
9394,9753,3
14522,6059,2
1293,62810,3
197451,12430,3
23229,4788,3
7713,18779,2
19108,31357,3
1341,10695,3
13876,37564,2
6855,9829,2
23352,10455,3
28220,3352,3
4771,21928,3
133041,15557,2
749,23155,3
8308,31042,2
24608,2504,5
17676,61213,3
46473,9808,3
17858,33703,5
11975,8374,2
20115,38466,3
25255,12302,4
23724,5650,3
4804,37937,5
749,198347,2
33055,24835,3
51964,38333,3
63581,683,4
45753,9269,2
4766,26658,2
12322,33383,3
14238,5603,3
714,24467,3
4538,23089,2
18671,8926,3
38466,1267,2
9317,701,2
2856,4668,3
20115,134773,3
1221,38880,1
9808,577,3
20055,8426,2
4134,151645,3
5713,12912,1
1221,56043,3
36947,6461,2
207153,16509,2
4230,9498,2
13280,12430,2
24324,46887,3
12703,9394,3
8346,32577,3
8362,18403,2
18077,135097,3
749,397369,2
1221,46841,4
7862,3356,2
3327,8151,2
749,30031,2
9674,3758,3
45403,8167,3
4766,55616,1
2635,4685,2
6735,9394,3
8452,19037,2
12322,6406,4
7671,1103,3
20055,8346,2
6167,53062,3
18046,8151,2
16713,9829,2
1741,20804,2
22742,37670,2
721,7726,3
41589,4837,2
17956,22616,3
59437,9394,3
2516,197991,2
38851,73,4
20115,9753,2
41648,8151,3
396362,8075,2
134548,43709,3
1239,18305,2
7203,44814,2
3671,4637,2
29551,12430,3
136190,4713,3
4230,24608,3
11174,36992,3
224,98,4
3128,6830,2
680,63474,2
37518,395954,2
14080,270,4
714,199484,3
397353,19108,3
9595,8371,3
3209,14061,2
33771,34878,3
137697,6453,3
18268,559,3
7687,36994,3
54177,3320,2
4837,12898,2
24961,33363,3
1257,19200,4
39927,1267,2
9808,9042,3
201047,721,3
43542,2856,2
7552,9371,2
10846,12083,3
15802,28201,2
37480,7018,3
12182,6079,2
399356,9318,2
8103,9145,2
10474,10778,3
395877,3292,2
55380,4766,3
53850,12479,3
9790,7843,2
8402,20011,3
2116,35847,2
35994,3462,2
35038,4766,4
2200,8422,2
22768,2856,3
3512,3257,2
399610,17676,2
9708,5089,3
21859,327934,3
36992,29484,4
17845,4766,1
2152,54329,3
12576,14398,2
760,12302,5
2907,17639,1
30722,198612,3
984,38333,3
40170,2828,1
24835,11816,3
134143,3215,3
8918,14265,3
18759,17676,2
6282,4837,2
28222,61323,3
19133,749,3
2609,35977,3
702,22742,2
7029,41307,3
3734,174,3
15682,16509,3
30722,51580,3
5713,9930,1
140903,8764,3
37356,4788,2
4788,1828,1
41264,7922,2
17511,12750,3
12322,72,2
11888,5639,2
3257,199081,1
23969,266511,4
8368,7377,4
668,513,3
29702,701,2
7713,7738,2
394289,7155,4
62810,278,3
7029,55720,3
3786,16481,2
37168,4837,2
10455,3301,2
7377,6772,4
12083,55430,3
55990,1241,3
54098,22534,3
7018,8262,2
22773,44381,3
3833,2119,2
328633,29571,3
45899,395610,3
13716,749,2
22085,11232,3
31399,12843,2
64022,134548,2
24126,749,3
9158,22363,2
54706,17511,2
10010,8866,2
14550,721,3
1226,6859,3
209,23158,2
35467,39521,2
8309,7552,2
3303,7616,2
3352,21449,3
9808,131628,4
749,28598,2
7018,46303,2
36375,5713,4
243,5723,2
24157,11404,3
4058,37130,2
14981,2860,3
14080,15557,2
37541,2497,2
749,51847,3
13649,3762,3
131159,7922,4
3301,6325,3
31581,3356,3
14852,22085,3
4538,267587,3
266391,17858,3
202087,16509,2
49505,22644,3
46281,9321,3
39737,2200,3
6306,12576,2
28573,50572,4
20645,4134,2
4134,203296,3
9335,7922,3
51551,53850,2
31621,12479,3
198440,1273,2
398754,6057,2
139154,209,3
11995,21928,3
15517,9829,2
25878,328422,3
7540,9269,2
3209,42908,2
2609,7162,3
7018,200651,3
10355,4847,3
7049,3786,2
1798,3356,1
21928,137694,3
38158,11830,2
16097,17676,2
55685,297,3
18881,34177,2
4837,39931,2
10455,24139,3
33194,45090,3
1239,206067,1
12576,84,4
15743,6805,3
4565,984,2
8324,8075,3
1221,136440,2
131627,11830,4
12322,10794,2
7792,680,2
7922,13325,3
22313,749,3
25129,33363,4
12479,11432,2
4621,174,2
8402,12643,3
12389,2607,3
52583,12083,3
2200,1239,2
22773,8551,2
18,209,2
17429,668,4
3352,393425,4
19901,7029,3
577,5639,2
6805,37963,3
47377,292,3
16509,12849,2
55610,2828,3
7552,3562,3
4780,111,3
4134,58461,1
2134,4808,3
3562,9808,4
273027,4538,4
9534,26854,3
37662,13285,2
1136,7671,2
4837,56384,2
1226,10796,2
4134,8299,3
7545,49758,3
1982,26662,3
22244,4134,2
27274,714,3
9506,45899,3
37963,29119,3
5378,9597,3
46887,72,2
38735,12479,3
29156,12322,3
5650,10754,2
9829,48176,3
6319,8151,2
10474,3741,1
7922,131161,3
11492,9749,3
6400,31399,3
9158,23089,2
46453,6805,3
17858,35432,4
53316,7377,3
6855,5495,3
6057,12816,3
13489,28952,2
1221,22356,3
270,15703,3
3249,14861,3
7557,26615,3
12331,6805,3
60333,8151,3
31042,13213,2
21079,3320,3
1213,21334,3
14793,55990,3
46606,4847,3
2914,35271,2
58541,18881,3
197081,9808,3
6167,10343,3
6830,12455,2
18271,9318,2
45899,206067,2
3782,9498,2
6306,2764,3
11686,749,3
20412,2828,2
19165,10879,3
6400,12657,3
8447,2110,3
21246,37492,3
297,29863,3
7713,38365,3
8612,37457,3
4760,20676,3
7922,26,2
32899,17858,3
237,44034,3
48416,4538,3
395228,262287,3
207441,36947,3
8103,4766,2
8147,15169,2
46887,27947,2
48249,398914,3
35916,47377,3
5466,22523,3
9829,13194,2
37963,18419,4
31399,15967,2
45528,9829,2
12322,21054,3
9814,3462,3
37963,8879,3
2518,4249,3
6805,16989,3
271773,1273,3
2856,116,4
9226,12044,3
37457,4760,2
12576,12969,2
4134,395054,3
10796,55900,2
12552,15557,2
174,3369,2
8468,16019,3
9842,553,3
36884,13513,2
38496,4515,2
31242,8075,2
47236,14080,3
9312,12322,3
84,2914,2
31399,17253,2
3215,47794,2
19752,17816,3
12312,28810,4
15169,16637,2
30083,7018,2
4565,25369,2
59729,11663,3
2609,6620,3
14551,7922,2
398564,26218,2
21928,209781,3
18779,749,3
38438,4249,3
14051,2518,2
21859,23089,2
43142,174,1
14962,6697,2
1267,25935,3
47720,3215,3
22773,11442,4
40913,16989,3
8151,200350,2
7377,14398,3
195,19397,3
12322,26,2
10594,7303,2
5432,2857,3
23175,24916,2
15735,45102,2
4847,62371,3
17983,2843,5
3748,7641,4
5617,39603,2
29918,203223,2
41701,23268,4
5378,37963,3
4538,15048,3
15169,31972,2
2116,8560,2
17506,10583,3
55990,28685,4
12119,2907,3
18059,2907,3
18125,1103,2
17421,9306,4
19108,2510,4
5605,6128,2
17557,23024,3
9829,23889,2
4134,47608,2
61430,4694,3
5607,58563,3
2158,12912,3
3320,400692,2
12479,16363,2
64050,55990,3
12322,203593,3
4773,1290,3
32666,36884,4
24137,9808,2
14962,158,2
16019,12334,3
13325,12576,3
31399,48832,3
39122,209,2
4766,199811,2
36443,8075,2
40021,1101,4
18566,20473,2
22047,1938,3
8452,33662,2
3356,5080,1
4134,15191,2
1741,17858,3
1226,14265,2
3303,8767,1
21784,9394,3
38195,17402,3
17511,12389,2
20012,397659,3
4583,133414,3
4808,17983,4
12741,3329,3
3356,37919,2
204284,17676,2
20485,3561,2
6830,197197,2
8926,9658,2
721,6653,3
12302,31655,3
33771,2686,2
52613,131901,3
7535,9318,3
25310,6128,3
749,27370,3
6713,8447,3
15169,43898,2
55720,2518,1
27947,268391,2
9808,17204,3
5391,786,2
13285,11279,3
23470,37693,3
8447,1798,2
703,19871,2
4809,10429,2
5410,27715,2
53187,11404,4
37119,25255,3
22809,7377,4
4837,134771,2
7538,2860,3
5410,12483,3
135354,139646,2
43205,9269,2
1103,6289,3
4808,6580,3
10692,17676,3
4729,40627,3
26462,12479,3
2516,34772,2
3685,714,2
2037,8075,3
12479,396128,5
4788,45899,1
21859,8075,2
9924,8469,2
328608,7270,2
5432,45352,3
15695,21718,3
3737,133118,3
8151,197942,3
17435,6306,3
46841,4673,3
53380,25840,2
18071,9198,3
3301,57030,3
8374,36351,3
5410,20326,2
749,18121,3
1257,10000,2
13776,12389,2
13237,2609,2
9371,12709,3
4788,14615,2
4618,12874,3
9304,14080,2
27947,133774,3
3303,15925,2
23808,668,3
5466,203061,2
38851,13433,4
16637,6650,3
714,31865,2
209,213373,2
23470,27064,4
749,11271,3
21430,81,2
45083,1103,4
30722,13357,3
36874,36992,3
16922,38191,4
3356,137702,2
7029,1798,3
104,12083,3
28220,3,2
13156,5606,2
4583,6325,3
16509,198949,2
29695,9269,2
49834,13285,3
4538,48176,3
32851,3292,3
135377,4812,3
13092,11830,3
36315,139203,3
10474,9506,4
17421,6130,3
55303,8075,2
12148,12709,4
11659,12148,5
8151,13695,2
5430,14742,2
62,9394,3
7922,7497,2
5713,12390,1
200350,4771,3
17622,15659,3
73,37153,4
1781,9808,3
1930,22773,4
8728,6079,3
38652,749,4
13429,714,4
8262,20412,3
46158,2516,4
8167,3152,3
3292,24961,2
4766,31726,3
33438,26053,2
7524,6400,2
8717,24835,3
4538,53723,3
19429,12187,3
15173,33771,3
701,6758,2
7843,22463,2
1226,29063,3
28573,17709,3
5089,9619,4
12389,19149,2
55013,5617,4
4237,8717,3
3292,8426,1
12400,205881,2
8426,4270,2
11830,31200,2
7738,23065,3
206557,7250,4
14374,36925,2
14022,3462,2
680,199077,2
6233,4766,2
122,4847,3
32234,5617,4
5607,9650,3
22847,7922,3
9146,12808,2
3257,5511,1
4766,18077,2
4788,21054,2
12390,132199,3
3923,42689,3
9824,29863,3
62313,749,3
4134,200512,2
395177,4134,2
3257,51978,2
4515,6621,3
10796,12874,2
18515,20473,2
8717,134762,3
19901,54994,2
21575,33771,2
29357,10429,2
17858,30404,3
23309,8151,2
208905,19,2
16637,18087,3
1267,24592,2
45090,30612,3
1930,4812,4
12389,33616,2
210000,209,3
16074,9394,3
21331,15943,2
4134,26827,2
22724,3999,3
39176,4808,3
21928,703,2
13237,21034,2
3292,23673,3
9506,4809,3
3482,7018,2
53508,7575,2
22773,15943,2
85,22593,2
33604,5617,3
28299,6621,2
714,24155,2
721,34663,4
4155,209110,4
6057,3221,2
2119,28252,3
24863,9198,3
12876,19037,2
4134,58542,1
683,1136,3
8426,29968,2
9299,39134,2
6619,137695,3
4788,53811,2
31399,14799,3
19108,1982,2
7679,1239,2
4538,51492,3
3209,12334,3
749,48815,3
13977,600,3
749,10162,3
24863,3999,3
9500,209237,3
62240,13115,2
7922,11659,3
9145,12400,2
2381,10396,2
3320,25021,2
8569,3356,1
137,5619,3
45062,2828,3
11279,25512,2
17621,12479,3
7303,57871,3
4788,2572,2
63335,9674,4
3512,11232,2
198878,4538,3
2828,24139,3
109,201290,2
27897,3320,3
24268,13695,4
4766,199277,2
55990,27336,3
8167,11939,2
6167,3329,3
18403,9658,2
21334,53508,3
2903,4788,4
45102,34946,3
31863,33363,3
23844,714,3
8717,9506,4
36925,52323,3
28703,8167,3
37662,4134,2
1303,16527,3
4760,37492,3
2828,8469,2
37457,13999,3
701,5639,1
