#hour whislo q1 median q3 whishi mean
0 0.000000 0.000000 0.000000 0.000000 0.000000 0.177814
1 0.000000 0.000000 0.000000 0.000000 0.000000 0.205634
2 0.000000 0.000000 0.000000 0.000000 0.000000 0.204137
3 0.000000 0.000000 0.000000 0.000000 0.000000 0.212891
4 0.000000 0.000000 0.000000 0.000000 0.000000 0.183485
5 0.000000 0.000000 0.000000 0.000000 0.000000 0.164851
6 0.000000 0.000000 0.000000 0.000000 0.000000 0.155317
7 0.000000 0.000000 0.000000 0.000000 0.000000 0.151898
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.156424
9 0.000000 0.000000 0.000000 0.000000 0.000000 0.155338
10 0.000000 0.000000 0.000000 0.000000 0.000000 0.155780
11 0.000000 0.000000 0.000000 0.000000 0.000000 0.158366
12 0.000000 0.000000 0.000000 0.000000 0.000000 0.158641
13 0.000000 0.000000 0.000000 0.000000 0.000000 0.159874
14 0.000000 0.000000 0.000000 0.000000 0.000000 0.163462
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.157309
16 0.000000 0.000000 0.000000 0.000000 0.000000 0.156210
17 0.000000 0.000000 0.000000 0.000000 0.000000 0.154046
18 0.000000 0.000000 0.000000 0.000000 0.000000 0.156464
19 0.000000 0.000000 0.000000 0.000000 0.000000 0.157212
20 0.000000 0.000000 0.000000 0.000000 0.000000 0.158241
21 0.000000 0.000000 0.000000 0.000000 0.000000 0.157248
22 0.000000 0.000000 0.000000 0.000000 0.000000 0.173714
23 0.000000 0.000000 0.000000 0.000000 0.000000 0.194499
